type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Joints-Elbow RT-Flexion","s",0.0000,200,5108,"deg"

time,value
0.0000,5.202949833
0.0050,5.207769634
0.0100,5.2125892
0.0150,5.217408532
0.0200,5.222684117
0.0250,5.228399126
0.0300,5.234531636
0.0350,5.241055939
0.0400,5.24794349
0.0450,5.255163915
0.0500,5.262685963
0.0550,5.270478026
0.0600,5.278508292
0.0650,5.286744327
0.0700,5.295151948
0.0750,5.303694514
0.0800,5.312333847
0.0850,5.321031637
0.0900,5.329749727
0.0950,5.338449623
0.1000,5.347091383
0.1050,5.355631577
0.1100,5.36402231
0.1150,5.372212768
0.1200,5.380151588
0.1250,5.387788605
0.1300,5.395075818
0.1350,5.401967964
0.1400,5.408423443
0.1450,5.41440554
0.1500,5.419883436
0.1550,5.430297778
0.1600,5.44007494
0.1650,5.449261277
0.1700,5.457668909
0.1750,5.465485948
0.1800,5.472651598
0.1850,5.479088686
0.1900,5.48496299
0.1950,5.490106693
0.2000,5.494611632
0.2050,5.498692267
0.2100,5.502087803
0.2150,5.50515689
0.2200,5.507746035
0.2250,5.509848364
0.2300,5.51156759
0.2350,5.513008861
0.2400,5.514179837
0.2450,5.514890306
0.2500,5.515673275
0.2550,5.516298137
0.2600,5.516785155
0.2650,5.517048281
0.2700,5.517306029
0.2750,5.517442632
0.2800,5.517765466
0.2850,5.518055612
0.2900,5.518323039
0.2950,5.518725387
0.3000,5.519082275
0.3050,5.5195149
0.3100,5.519835963
0.3150,5.520156884
0.3200,5.520312245
0.3250,5.520500364
0.3300,5.520821982
0.3350,5.521052635
0.3400,5.521331642
0.3450,5.521514164
0.3500,5.521608113
0.3550,5.521844715
0.3600,5.521872224
0.3650,5.521803395
0.3700,5.521710939
0.3750,5.52157421
0.3800,5.521412969
0.3850,5.521092637
0.3900,5.520440795
0.3950,5.519698123
0.4000,5.518996009
0.4050,5.517950346
0.4100,5.516769403
0.4150,5.515495919
0.4200,5.514012984
0.4250,5.512405677
0.4300,5.51048502
0.4350,5.508488231
0.4400,5.506309072
0.4450,5.503728454
0.4500,5.5010903
0.4550,5.498474067
0.4600,5.495653476
0.4650,5.492858745
0.4700,5.489982008
0.4750,5.487159722
0.4800,5.484087854
0.4850,5.481336317
0.4900,5.478469791
0.4950,5.475793283
0.5000,5.473036903
0.5050,5.470457488
0.5100,5.468117571
0.5150,5.465656038
0.5200,5.463374278
0.5250,5.461421035
0.5300,5.459456438
0.5350,5.457642406
0.5400,5.456120021
0.5450,5.454833312
0.5500,5.453643417
0.5550,5.45259017
0.5600,5.451521719
0.5650,5.450863521
0.5700,5.450447531
0.5750,5.450206261
0.5800,5.450060225
0.5850,5.450148082
0.5900,5.450420255
0.5950,5.450903985
0.6000,5.4515602
0.6050,5.452335481
0.6100,5.453255787
0.6150,5.454366967
0.6200,5.455811566
0.6250,5.457141297
0.6300,5.458543257
0.6350,5.460013968
0.6400,5.461682392
0.6450,5.463528976
0.6500,5.465313015
0.6550,5.467217613
0.6600,5.469120739
0.6650,5.471256967
0.6700,5.47351713
0.6750,5.475838368
0.6800,5.478315076
0.6850,5.480648262
0.6900,5.483011647
0.6950,5.485268669
0.7000,5.487424901
0.7050,5.489717147
0.7100,5.491931331
0.7150,5.494400254
0.7200,5.496703034
0.7250,5.498781972
0.7300,5.500890812
0.7350,5.502733434
0.7400,5.504480505
0.7450,5.50609409
0.7500,5.507396519
0.7550,5.508438322
0.7600,5.509613773
0.7650,5.510575222
0.7700,5.511631918
0.7750,5.512575147
0.7800,5.513615346
0.7850,5.51452953
0.7900,5.515565354
0.7950,5.516766929
0.8000,5.517995879
0.8050,5.519128922
0.8100,5.52020574
0.8150,5.521532988
0.8200,5.522691092
0.8250,5.523775357
0.8300,5.52480951
0.8350,5.525825635
0.8400,5.526926021
0.8450,5.528036573
0.8500,5.529224115
0.8550,5.530453974
0.8600,5.531826425
0.8650,5.532986345
0.8700,5.534144294
0.8750,5.53551591
0.8800,5.53689996
0.8850,5.538322566
0.8900,5.540115137
0.8950,5.541912033
0.9000,5.543952454
0.9050,5.546165073
0.9100,5.548479679
0.9150,5.550839576
0.9200,5.553361678
0.9250,5.556171632
0.9300,5.558982038
0.9350,5.561925426
0.9400,5.564699711
0.9450,5.567468578
0.9500,5.570313511
0.9550,5.572991117
0.9600,5.575771304
0.9650,5.578267075
0.9700,5.580750373
0.9750,5.583080195
0.9800,5.585044928
0.9850,5.587099243
0.9900,5.589259385
0.9950,5.591330098
1.0000,5.593235872
1.0050,5.595042869
1.0100,5.596752682
1.0150,5.598294957
1.0200,5.599937463
1.0250,5.601678326
1.0300,5.603293601
1.0350,5.604961045
1.0400,5.606521143
1.0450,5.60805316
1.0500,5.609506178
1.0550,5.610969761
1.0600,5.612070675
1.0650,5.613081411
1.0700,5.613869197
1.0750,5.614575012
1.0800,5.615464436
