type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Forearm RT-Acceleration","s",0.0000,200,5108,"mG"

time,x,y,z
0.0000,4.467502887,0.1801767083,-2.073751198
0.0050,3.637829718,9.819625689,-8.765964729
0.0100,11.81932036,10.49700014,2.885222169
0.0150,13.91840101,10.46914441,-3.310824972
0.0200,16.11277879,-0.3668945467,-2.896868544
0.0250,12.43004098,12.69706325,-6.626415317
0.0300,9.147829564,-10.22303426,-2.145128245
0.0350,7.961367286,0.3611791441,-2.11132684
0.0400,9.07097981,10.30704802,3.503895272
0.0450,17.48720392,7.371000908,-0.9609919491
0.0500,5.262073053,10.6240084,3.142836577
0.0550,6.257717236,-2.233047658,-3.635716664
0.0600,-0.3732907412,6.601523691,-5.21869704
0.0650,12.50332993,-0.5552660362,0.4884001146
0.0700,-0.2181610061,-2.387194499,-6.196876566
0.0750,-2.052842702,-4.056379026,-5.669775129
0.0800,5.335403283,-3.78900995,-5.484075217
0.0850,-2.697815761,3.553145638,-11.13588891
0.0900,13.27739739,-1.883032877,-0.001464255423
0.0950,15.60120365,-9.919223619,-5.14957789
0.1000,13.42406221,-12.09796698,-7.206985109
0.1050,15.5990445,-17.78637068,-4.919049684
0.1100,11.52958477,0.7042032349,-6.568863203
0.1150,9.674714948,6.154934513,-10.29371161
0.1200,10.82092705,-7.742537131,-3.350692614
0.1250,3.69651039,-9.329374822,-4.679347526
0.1300,10.93066463,10.29547263,-3.533851454
0.1350,10.9241132,5.085789511,-6.901598285
0.1400,12.02824084,7.382672507,0.420549693
0.1450,9.633382661,12.7309928,-9.778511713
0.1500,12.0039021,14.55206728,-3.199279302
0.1550,7.880467312,-10.2161613,-7.544874464
0.1600,15.00683021,4.985041516,-4.695928201
0.1650,10.67436751,-6.248391378,-12.10043378
0.1700,13.11416871,-5.083559477,-5.666303694
0.1750,14.12981523,-10.83045767,-2.791891083
0.1800,-4.15657611,7.788826167,-10.07830395
0.1850,6.326472787,1.6250549,-7.486466065
0.1900,5.804678148,-4.994777374,-5.0734189
0.1950,7.430469906,4.340314957,-9.543730984
0.2000,2.920903299,-1.89400269,-8.571985175
0.2050,13.55256023,-1.950356762,-4.404868117
0.2100,22.65917367,6.01278065,2.383591584
0.2150,5.163311571,-5.904007079,-17.00992477
0.2200,8.73660991,2.156625435,-8.493450139
0.2250,12.58241159,-0.04470693619,-8.884202336
0.2300,10.08394661,-4.492078829,-12.34777366
0.2350,8.413590848,-0.5684697547,-12.90702806
0.2400,14.95002767,3.829072849,-6.431031905
0.2450,10.10421928,-1.771130067,-3.320649267
0.2500,7.136420587,0.381784491,-7.01362403
0.2550,7.523220777,11.78998756,-4.516599109
0.2600,11.76096071,-2.6041016,-2.163676691
0.2650,16.06951121,0.4417744834,-3.167509107
0.2700,13.67561251,-5.429622593,-8.405977679
0.2750,16.23763015,-6.996072543,-0.9974642093
0.2800,11.79299088,-2.945000624,-4.693878843
0.2850,11.2863356,-11.7195067,-10.21805672
0.2900,15.49684293,7.423296547,-2.774917655
0.2950,13.50300734,-9.913552815,1.361996755
0.3000,10.05190766,-0.6161067268,-0.02806084626
0.3050,16.08185498,2.765040584,3.806994846
0.3100,11.08578677,3.295140959,4.549050866
0.3150,9.613604027,4.808720686,-2.509241123
0.3200,6.621560764,4.109577663,-2.752603901
0.3250,11.40615061,-0.2570397572,-1.675215707
0.3300,16.01567386,0.9335191171,-0.5535825591
0.3350,11.56249053,-4.061226458,-9.385753472
0.3400,21.78263945,5.12186874,-6.577926014
0.3450,11.90100959,-20.05269467,-6.335254958
0.3500,16.06944163,5.355077628,-9.283884887
0.3550,17.66564705,-3.901750551,-8.679841496
0.3600,20.66217917,-3.047397002,-9.393056426
0.3650,17.14066059,-1.860964094,-13.72720965
0.3700,14.44226335,-1.803293573,-16.38805148
0.3750,13.19716068,-1.905768458,-14.26375939
0.3800,9.173326226,-0.4157674061,-10.97414532
0.3850,4.222266327,8.711144714,-17.21295932
0.3900,0.5578787846,-4.11520001,-11.56090776
0.3950,-4.885943204,3.278827002,-11.52881382
0.4000,7.778344157,10.09033598,2.0421385
0.4050,0.9617301356,0.6549246132,3.729223121
0.4100,9.337373116,12.76344508,11.32406987
0.4150,8.392581568,11.34784188,5.151527846
0.4200,6.482797229,17.23663542,12.93866968
0.4250,-0.1092308983,10.43794733,0.5474949082
