type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Course","s",0.0000,200,5108,"deg"

time,value
0.0000,-19.0082681
0.0050,-19.01791482
0.0100,-19.02756178
0.0150,-19.03720901
0.0200,-19.04734093
0.0250,-19.05785535
0.0300,-19.06864863
0.0350,-19.07962047
0.0400,-19.09067661
0.0450,-19.10172974
0.0500,-19.11269979
0.0550,-19.12351465
0.0600,-19.13411083
0.0650,-19.14443314
0.0700,-19.15443383
0.0750,-19.16407233
0.0800,-19.17331588
0.0850,-19.18213975
0.0900,-19.19052627
0.0950,-19.19846305
0.1000,-19.20594125
0.1050,-19.21295482
0.1100,-19.21950063
0.1150,-19.22557796
0.1200,-19.23118676
0.1250,-19.23632607
0.1300,-19.24099419
0.1350,-19.24519007
0.1400,-19.24891524
0.1450,-19.25217549
0.1500,-19.25498193
0.1550,-19.2624037
0.1600,-19.26899805
0.1650,-19.27468772
0.1700,-19.27947947
0.1750,-19.28357457
0.1800,-19.28702354
0.1850,-19.28992713
0.1900,-19.29246615
0.1950,-19.29464005
0.2000,-19.29630394
0.2050,-19.29758978
0.2100,-19.29844165
0.2150,-19.29898013
0.2200,-19.29923914
0.2250,-19.29902189
0.2300,-19.29844484
0.2350,-19.29743715
0.2400,-19.29612633
0.2450,-19.29444565
0.2500,-19.29233785
0.2550,-19.28992989
0.2600,-19.28714009
0.2650,-19.28415076
0.2700,-19.28111602
0.2750,-19.27783076
0.2800,-19.27447715
0.2850,-19.27090703
0.2900,-19.26717765
0.2950,-19.26336089
0.3000,-19.25937008
0.3050,-19.25523652
0.3100,-19.25085801
0.3150,-19.24642183
0.3200,-19.24176605
0.3250,-19.23702246
0.3300,-19.23219901
0.3350,-19.2272445
0.3400,-19.22229603
0.3450,-19.21730695
0.3500,-19.21205334
0.3550,-19.20674096
0.3600,-19.20135655
0.3650,-19.19583236
0.3700,-19.19021513
0.3750,-19.18463675
0.3800,-19.17897597
0.3850,-19.17324991
0.3900,-19.16768935
0.3950,-19.16237282
0.4000,-19.15721931
0.4050,-19.15237715
0.4100,-19.14782512
0.4150,-19.14372494
0.4200,-19.13998254
0.4250,-19.1364652
0.4300,-19.133447
0.4350,-19.13099402
0.4400,-19.12896481
0.4450,-19.12749303
0.4500,-19.12646277
0.4550,-19.12582776
0.4600,-19.12545448
0.4650,-19.12533888
0.4700,-19.1254459
0.4750,-19.12561649
0.4800,-19.12576528
0.4850,-19.12574906
0.4900,-19.12553244
0.4950,-19.12494977
0.5000,-19.12418122
0.5050,-19.12303299
0.5100,-19.12150986
0.5150,-19.11971272
0.5200,-19.11753556
0.5250,-19.11517886
0.5300,-19.11259005
0.5350,-19.1097712
0.5400,-19.1067123
0.5450,-19.1035268
0.5500,-19.10027027
0.5550,-19.09669586
0.5600,-19.09290984
0.5650,-19.08898178
0.5700,-19.08462783
0.5750,-19.07995078
0.5800,-19.07495247
0.5850,-19.06968706
0.5900,-19.06435811
0.5950,-19.05883263
0.6000,-19.05338372
0.6050,-19.04782051
0.6100,-19.04226532
0.6150,-19.03677421
0.6200,-19.03127444
0.6250,-19.02567304
0.6300,-19.02005192
0.6350,-19.01444621
0.6400,-19.00887119
0.6450,-19.00334637
0.6500,-18.99792819
0.6550,-18.99258384
0.6600,-18.9874615
0.6650,-18.98267376
0.6700,-18.97820262
0.6750,-18.9739978
0.6800,-18.97031355
0.6850,-18.96695537
0.6900,-18.96417905
0.6950,-18.96197854
0.7000,-18.96045632
0.7050,-18.95957711
0.7100,-18.95941209
0.7150,-18.95980844
0.7200,-18.96088275
0.7250,-18.9628621
0.7300,-18.96565113
0.7350,-18.96906388
0.7400,-18.97320492
0.7450,-18.97802997
0.7500,-18.98358282
0.7550,-18.9898094
0.7600,-18.9966037
0.7650,-19.00394859
0.7700,-19.01173215
0.7750,-19.01993778
0.7800,-19.02865266
0.7850,-19.03793596
0.7900,-19.04761999
0.7950,-19.05789134
0.8000,-19.06866627
0.8050,-19.07989882
0.8100,-19.09182681
0.8150,-19.10411519
0.8200,-19.11678477
0.8250,-19.12965269
0.8300,-19.14270876
0.8350,-19.15583841
0.8400,-19.16924316
0.8450,-19.18260345
0.8500,-19.19593672
0.8550,-19.20937969
0.8600,-19.22281772
0.8650,-19.23623032
0.8700,-19.24954431
0.8750,-19.26291353
0.8800,-19.27596478
0.8850,-19.28883293
0.8900,-19.30128765
0.8950,-19.31335434
0.9000,-19.32494102
0.9050,-19.33610278
0.9100,-19.34680857
0.9150,-19.35693511
0.9200,-19.36669708
0.9250,-19.37613341
0.9300,-19.38544612
0.9350,-19.39472871
0.9400,-19.40376057
0.9450,-19.41270828
0.9500,-19.42172546
0.9550,-19.43078753
0.9600,-19.43965246
0.9650,-19.44847906
0.9700,-19.4573275
0.9750,-19.46597361
0.9800,-19.47442734
0.9850,-19.48274459
0.9900,-19.49084692
0.9950,-19.49872594
1.0000,-19.50643876
1.0050,-19.5139979
1.0100,-19.52129922
1.0150,-19.5283117
1.0200,-19.5350277
1.0250,-19.54139922
1.0300,-19.54733568
1.0350,-19.55267632
1.0400,-19.55771543
1.0450,-19.56229318
1.0500,-19.5663581
1.0550,-19.56994393
1.0600,-19.57338668
1.0650,-19.5764578
1.0700,-19.57938624
1.0750,-19.58206298
1.0800,-19.58435333
1.0850,-19.58619932
1.0900,-19.5874486
1.0950,-19.58804754
1.1000,-19.58793805
1.1050,-19.58720422
1.1100,-19.58583085
1.1150,-19.58394934
1.1200,-19.58164441
1.1250,-19.57896723
