type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Pitch","s",0.0000,200,5108,"deg"

time,value
0.0000,9.351160046
0.0050,9.361039567
0.0100,9.370919101
0.0150,9.380798645
0.0200,9.391575751
0.0250,9.403211716
0.0300,9.415658201
0.0350,9.428859751
0.0400,9.44275552
0.0450,9.45728005
0.0500,9.472363595
0.0550,9.487932387
0.0600,9.503908962
0.0650,9.52021267
0.0700,9.536760002
0.0750,9.553464644
0.0800,9.570238225
0.0850,9.586991608
0.0900,9.603635557
0.0950,9.62008105
0.1000,9.636239796
0.1050,9.652024356
0.1100,9.667348201
0.1150,9.68212669
0.1200,9.69627885
0.1250,9.709729028
0.1300,9.722408035
0.1350,9.734254437
0.1400,9.745216549
0.1450,9.755254628
0.1500,9.764342623
0.1550,9.783087472
0.1600,9.8006821
0.1650,9.817080779
0.1700,9.832224714
0.1750,9.846236715
0.1800,9.859062756
0.1850,9.870829314
0.1900,9.881622722
0.1950,9.891406939
0.2000,9.900300517
0.2050,9.908463165
0.2100,9.915674848
0.2150,9.922256938
0.2200,9.928156606
0.2250,9.933358711
0.2300,9.93776566
0.2350,9.941670594
0.2400,9.945028167
0.2450,9.947758385
0.2500,9.950133091
0.2550,9.95209721
0.2600,9.953718611
0.2650,9.955010551
0.2700,9.955871804
0.2750,9.956454732
0.2800,9.956793053
0.2850,9.95689841
0.2900,9.956652236
0.2950,9.956172084
0.3000,9.955500977
0.3050,9.954569283
0.3100,9.953372604
0.3150,9.951935832
0.3200,9.950166415
0.3250,9.948278212
0.3300,9.946151055
0.3350,9.943793252
0.3400,9.941253398
0.3450,9.938534241
0.3500,9.935452961
0.3550,9.932276667
0.3600,9.928850731
0.3650,9.925193123
0.3700,9.921338266
0.3750,9.917291919
0.3800,9.913269039
0.3850,9.909074829
0.3900,9.904638403
0.3950,9.899994069
0.4000,9.895299922
0.4050,9.890317264
0.4100,9.885320707
0.4150,9.880251792
0.4200,9.87500193
0.4250,9.869574666
0.4300,9.86395969
0.4350,9.858335166
0.4400,9.852600879
0.4450,9.846700312
0.4500,9.840668078
0.4550,9.834678025
0.4600,9.828583599
0.4650,9.822543273
0.4700,9.816481056
