type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Roll","s",0.0000,200,5108,"deg"

time,value
0.0000,1.908593027
0.0050,1.908694991
0.0100,1.90879527
0.0150,1.908893866
0.0200,1.909125959
0.0250,1.909516004
0.0300,1.91008803
0.0350,1.91086466
0.0400,1.911866533
0.0450,1.913112055
0.0500,1.914617056
0.0550,1.916394525
0.0600,1.918454105
0.0650,1.920800857
0.0700,1.923433763
0.0750,1.926344354
0.0800,1.92951571
0.0850,1.932922095
0.0900,1.936529228
0.0950,1.94029541
0.1000,1.944173572
0.1050,1.94811321
0.1100,1.952061746
0.1150,1.955965913
0.1200,1.959773443
0.1250,1.963434674
0.1300,1.966904034
0.1350,1.970141636
0.1400,1.97311442
0.1450,1.975796442
0.1500,1.978168785
0.1550,1.982297831
0.1600,1.986180972
0.1650,1.989729592
0.1700,1.993015971
0.1750,1.995967137
0.1800,1.998742198
0.1850,2.001370076
0.1900,2.00369214
0.1950,2.00579728
0.2000,2.007744471
0.2050,2.009489071
0.2100,2.011169446
0.2150,2.012782728
0.2200,2.01441155
0.2250,2.016088219
0.2300,2.017702042
0.2350,2.019343992
0.2400,2.021081274
0.2450,2.022821798
0.2500,2.024555743
0.2550,2.026343175
0.2600,2.02812858
0.2650,2.029983619
0.2700,2.031701556
0.2750,2.033437628
0.2800,2.035106732
0.2850,2.036743099
0.2900,2.038496429
0.2950,2.040232755
0.3000,2.042156839
0.3050,2.044174423
0.3100,2.046392623
0.3150,2.048720968
0.3200,2.051161431
0.3250,2.053926369
0.3300,2.056813643
0.3350,2.059740395
0.3400,2.062865502
0.3450,2.066097682
0.3500,2.06940061
0.3550,2.072712595
0.3600,2.076140125
0.3650,2.079579245
0.3700,2.083080839
0.3750,2.086590968
0.3800,2.090132344
0.3850,2.093693761
0.3900,2.097186486
0.3950,2.100397242
0.4000,2.103337689
0.4050,2.10615605
0.4100,2.108731575
0.4150,2.110934025
0.4200,2.112828636
0.4250,2.114436853
0.4300,2.115736754
0.4350,2.116783743
0.4400,2.117675082
0.4450,2.118406239
0.4500,2.118853208
0.4550,2.119091116
0.4600,2.119211597
0.4650,2.119281913
0.4700,2.119487657
0.4750,2.119662049
0.4800,2.119989882
0.4850,2.120293875
0.4900,2.120864314
0.4950,2.121797308
0.5000,2.123038648
0.5050,2.124786455
0.5100,2.126834872
0.5150,2.129275854
0.5200,2.132035128
0.5250,2.135137027
0.5300,2.138619903
0.5350,2.142470969
0.5400,2.146616495
0.5450,2.151098122
0.5500,2.155870945
0.5550,2.161011404
0.5600,2.166463101
0.5650,2.172159643
0.5700,2.178133121
0.5750,2.184435047
0.5800,2.191106484
0.5850,2.197968425
0.5900,2.205199736
0.5950,2.212619254
0.6000,2.220198708
0.6050,2.227975754
0.6100,2.235956439
0.6150,2.244223938
0.6200,2.252529545
0.6250,2.261106346
0.6300,2.269909175
0.6350,2.279093085
0.6400,2.288409322
0.6450,2.297911782
0.6500,2.307680776
0.6550,2.317690944
0.6600,2.327818274
0.6650,2.338183755
0.6700,2.348497617
0.6750,2.358832432
0.6800,2.369136615
0.6850,2.379307212
0.6900,2.389394247
0.6950,2.399317117
0.7000,2.409016589
0.7050,2.418488744
