type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Forearm RT-Sensor Acceleration","s",0.0000,200,5108,"mG"

time,x,y,z
0.0000,-977.0507813,172.3632813,107.421875
0.0050,-968.75,175.78125,115.234375
0.0100,-980.9570313,170.8984375,120.6054688
0.0150,-975.0976563,167.96875,121.09375
0.0200,-977.5390625,162.109375,112.3046875
0.0250,-971.1914063,169.921875,122.5585938
0.0300,-979.0039063,165.0390625,101.0742188
0.0350,-977.0507813,170.4101563,110.3515625
0.0400,-980.9570313,174.3164063,120.6054688
0.0450,-978.0273438,165.0390625,121.09375
0.0500,-979.9804688,178.2226563,119.6289063
0.0550,-975.5859375,171.3867188,107.9101563
0.0600,-971.6796875,180.6640625,113.28125
0.0650,-979.9804688,167.4804688,112.7929688
0.0700,-972.1679688,177.2460938,105.46875
0.0750,-972.65625,178.7109375,103.515625
0.0800,-973.6328125,172.3632813,106.9335938
0.0850,-965.8203125,181.640625,109.8632813
0.0900,-979.4921875,167.4804688,112.7929688
0.0950,-976.0742188,161.6210938,105.9570313
0.1000,-974.1210938,162.5976563,103.0273438
0.1050,-977.5390625,159.1796875,99.12109375
0.1100,-972.1679688,169.921875,114.2578125
0.1150,-967.2851563,173.3398438,118.1640625
0.1200,-976.5625,168.4570313,106.9335938
0.1250,-974.609375,174.3164063,102.5390625
0.1300,-973.1445313,175.78125,123.5351563
0.1350,-970.703125,173.3398438,118.6523438
0.1400,-977.5390625,174.8046875,122.0703125
0.1450,-966.3085938,177.2460938,125
0.1500,-972.65625,177.2460938,128.4179688
0.1550,-972.1679688,170.8984375,104.0039063
0.1600,-973.1445313,170.8984375,121.09375
0.1650,-967.2851563,169.4335938,108.3984375
0.1700,-973.6328125,168.9453125,111.328125
0.1750,-977.5390625,166.5039063,106.9335938
0.1800,-964.84375,188.9648438,115.7226563
0.1850,-969.7265625,177.734375,114.7460938
0.1900,-973.1445313,176.2695313,108.8867188
0.1950,-967.2851563,177.734375,117.6757813
0.2000,-968.75,179.6875,110.3515625
0.2050,-974.1210938,170.8984375,115.234375
0.2100,-980.46875,166.9921875,126.953125
0.2150,-961.4257813,174.8046875,106.9335938
0.2200,-968.75,176.2695313,116.6992188
0.2250,-969.2382813,171.875,116.2109375
0.2300,-966.3085938,171.875,110.8398438
0.2350,-964.84375,174.8046875,113.7695313
0.2400,-971.1914063,171.875,121.09375
0.2450,-974.609375,174.8046875,114.2578125
0.2500,-970.2148438,177.734375,114.7460938
0.2550,-970.703125,182.1289063,125.4882813
0.2600,-976.0742188,173.3398438,114.2578125
0.2650,-975.0976563,170.4101563,118.6523438
0.2700,-970.703125,169.4335938,111.8164063
0.2750,-978.515625,167.96875,112.3046875
0.2800,-973.6328125,172.8515625,113.7695313
0.2850,-969.7265625,168.9453125,104.9804688
0.2900,-974.1210938,173.828125,125
0.2950,-980.9570313,169.921875,108.8867188
0.3000,-977.5390625,176.2695313,115.7226563
0.3050,-981.4453125,172.8515625,121.5820313
0.3100,-981.4453125,177.734375,120.1171875
0.3150,-974.1210938,178.2226563,120.1171875
0.3200,-973.6328125,180.6640625,118.1640625
0.3250,-976.0742188,174.8046875,116.2109375
0.3300,-977.5390625,171.3867188,119.140625
0.3350,-969.2382813,171.875,111.8164063
0.3400,-971.6796875,166.5039063,124.5117188
0.3450,-975.0976563,166.015625,97.65625
0.3500,-968.2617188,171.3867188,122.0703125
0.3550,-970.703125,166.5039063,114.2578125
0.3600,-970.2148438,164.0625,116.2109375
0.3650,-965.3320313,166.9921875,115.234375
0.3700,-962.4023438,168.9453125,113.7695313
0.3750,-964.3554688,170.4101563,113.28125
0.3800,-966.796875,175.2929688,113.28125
0.3850,-958.4960938,182.1289063,118.6523438
0.3900,-965.8203125,181.640625,105.9570313
0.3950,-963.8671875,189.453125,110.3515625
0.4000,-977.5390625,183.1054688,123.046875
0.4050,-979.9804688,186.0351563,111.8164063
0.4100,-986.328125,184.5703125,126.953125
0.4150,-980.46875,183.59375,124.5117188
0.4200,-986.8164063,188.9648438,129.8828125
0.4250,-975.0976563,189.9414063,119.6289063
0.4300,-980.9570313,182.1289063,131.3476563
0.4350,-978.0273438,175.2929688,120.1171875
0.4400,-976.0742188,174.8046875,114.2578125
0.4450,-975.0976563,170.8984375,108.8867188
0.4500,-967.7734375,182.1289063,113.28125
0.4550,-972.1679688,176.2695313,112.3046875
0.4600,-961.9140625,185.0585938,113.28125
0.4650,-969.2382813,179.1992188,111.328125
0.4700,-972.65625,176.2695313,113.7695313
0.4750,-971.1914063,173.3398438,109.375
0.4800,-969.7265625,181.640625,117.1875
0.4850,-977.5390625,173.828125,123.046875
0.4900,-974.1210938,182.6171875,115.234375
0.4950,-977.0507813,172.3632813,118.6523438
0.5000,-967.7734375,175.2929688,119.6289063
0.5050,-969.7265625,171.3867188,109.8632813
0.5100,-962.890625,180.1757813,112.7929688
0.5150,-969.7265625,173.828125,107.421875
0.5200,-963.8671875,182.6171875,102.5390625
0.5250,-975.0976563,173.3398438,99.609375
0.5300,-977.0507813,170.8984375,108.8867188
0.5350,-978.515625,166.9921875,107.421875
0.5400,-986.328125,169.921875,104.9804688
0.5450,-981.4453125,184.0820313,106.4453125
0.5500,-987.3046875,178.7109375,109.375
0.5550,-978.515625,190.9179688,114.7460938
0.5600,-981.9335938,183.59375,111.8164063
0.5650,-980.9570313,191.8945313,107.421875
0.5700,-973.1445313,193.359375,105.9570313
0.5750,-979.4921875,186.5234375,106.4453125
0.5800,-981.9335938,178.2226563,119.140625
0.5850,-982.9101563,171.875,110.8398438
0.5900,-975.0976563,176.2695313,112.7929688
0.5950,-973.6328125,173.3398438,104.0039063
0.6000,-977.0507813,172.8515625,113.28125
0.6050,-974.609375,171.3867188,93.75
0.6100,-975.5859375,169.921875,99.609375
0.6150,-966.3085938,179.6875,101.0742188
0.6200,-973.1445313,173.828125,108.8867188
0.6250,-971.1914063,176.2695313,104.0039063
0.6300,-973.6328125,179.6875,104.4921875
0.6350,-974.609375,177.734375,112.7929688
0.6400,-975.0976563,180.6640625,105.9570313
0.6450,-968.2617188,189.9414063,115.234375
0.6500,-980.9570313,180.6640625,108.3984375
0.6550,-976.0742188,184.5703125,109.375
0.6600,-972.65625,183.1054688,112.7929688
0.6650,-979.9804688,182.1289063,118.6523438
0.6700,-982.9101563,176.2695313,108.8867188
0.6750,-979.4921875,175.78125,110.3515625
0.6800,-973.1445313,178.7109375,121.5820313
0.6850,-972.65625,172.3632813,97.16796875
0.6900,-966.3085938,181.640625,113.7695313
0.6950,-978.515625,168.9453125,90.8203125
0.7000,-979.9804688,180.1757813,100.0976563
0.7050,-972.1679688,191.8945313,108.8867188
0.7100,-986.8164063,187.0117188,104.4921875
0.7150,-976.0742188,201.6601563,104.0039063
0.7200,-977.0507813,198.2421875,121.09375
0.7250,-972.1679688,193.8476563,104.4921875
0.7300,-977.5390625,199.21875,114.2578125
0.7350,-980.46875,185.0585938,111.328125
0.7400,-978.0273438,191.8945313,118.1640625
0.7450,-982.9101563,176.7578125,103.515625
0.7500,-979.0039063,183.59375,110.8398438
