type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Upper arm RT-Acceleration","s",0.0000,200,5108,"mG"

time,x,y,z
0.0000,0.4777944347,32.65048725,-8.710449136
0.0050,-13.2388965,28.66901209,-5.508871802
0.0100,0.154232159,28.64727795,-12.73240817
0.0150,-9.992186411,23.00714859,-6.328454082
0.0200,-2.732948638,18.51747744,-7.428406267
0.0250,-9.262586241,27.91335503,-14.80885591
0.0300,-8.93998982,20.51164779,-1.111992519
0.0350,-18.25528239,23.61033348,-7.60296968
0.0400,-4.648794357,23.41514705,-4.394920587
0.0450,-8.101935394,25.64752053,-0.09910517921
0.0500,-12.8200271,32.44448033,-1.897043157
0.0550,-3.085757205,29.95698996,-3.913310388
0.0600,-5.196931596,30.68481998,-4.443679252
0.0650,-2.400009347,30.90911872,1.496948528
0.0700,-2.241329788,25.50335532,-0.6622044512
0.0750,-8.075153199,25.82104317,2.060322788
0.0800,-4.296077077,31.77288892,-4.486208565
0.0850,-11.37380226,28.13181336,-2.632023483
0.0900,1.64189356,23.10596711,1.573446983
0.0950,-13.91097896,30.27022869,-1.961467777
0.1000,-1.665789678,22.40787044,-3.679805595
0.1050,-22.84742213,22.88457998,-3.268579303
0.1100,-15.41129403,28.86698104,-8.11403367
0.1150,-12.04919547,28.52775207,-2.284442462
0.1200,-12.09308565,29.30890824,-9.738459831
0.1250,-21.65755851,30.91404303,-3.686277486
0.1300,-15.06529381,28.88001056,-1.573994592
0.1350,-19.41180948,42.09331539,-5.751718711
0.1400,-15.76526641,33.56224878,-1.223601604
0.1450,-17.31212744,31.53607404,0.5488785164
0.1500,-18.36760279,27.54299062,0.1554493533
0.1550,-16.02636107,35.99665437,-5.545026559
0.1600,-15.63465602,24.5740101,-2.427798831
0.1650,-10.03279799,28.05505741,-4.942527542
0.1700,-17.05307017,31.94431688,-7.839265333
0.1750,-16.64623559,25.32745652,-2.090110201
0.1800,-11.54115047,29.50909061,-11.00504312
0.1850,-11.99808358,28.23960384,-4.420710606
0.1900,-4.484036972,22.55902126,-10.10189962
0.1950,-17.11190382,30.23969197,-6.235081959
0.2000,-20.79717287,33.68906628,-9.834664443
0.2050,-12.64506971,31.67816933,-5.069429971
0.2100,-24.80635064,32.9960596,-3.972612073
0.2150,-1.096831915,33.48289821,-5.85305553
0.2200,-9.0654783,31.95472079,-6.692574813
0.2250,-5.24050612,32.75746386,-3.910425736
0.2300,-12.68829987,36.75455195,-7.172597319
0.2350,-4.840174846,30.88304364,-6.456191452
0.2400,-12.1195971,28.85539368,-4.438043814
0.2450,-9.617799509,28.64246657,-0.433890845
0.2500,-3.744007265,34.07011977,-4.432659242
0.2550,-8.580031116,29.53189366,2.4659316
0.2600,-13.87590252,42.91004074,-6.456406986
0.2650,-4.429504119,27.12234668,-0.8947936962
0.2700,-16.18234803,31.32898956,2.229935517
0.2750,-12.89521162,40.75378248,-1.63111832
0.2800,-6.092438987,26.59036097,-1.459143733
0.2850,-5.52974157,34.14354372,-8.800114548
0.2900,-13.4641993,25.59062855,2.133224402
0.2950,-2.517136192,30.10912066,-1.481552858
0.3000,-13.12513542,24.62851002,1.631757148
0.3050,-8.659267416,32.56596936,0.9599205228
0.3100,-16.33384845,33.51387728,1.653856235
0.3150,-1.419376388,33.28925517,9.529783263
0.3200,1.565265322,39.40098596,4.597149678
0.3250,-1.989203647,39.54444787,5.401151947
0.3300,0.6380188236,24.04001414,14.87108987
0.3350,-8.210582703,36.90509646,-1.313755098
0.3400,-5.938860044,25.75925843,-3.590116429
0.3450,11.4948756,30.38111459,-10.65935619
0.3500,-0.1030407663,23.39433048,-2.873324516
0.3550,-17.67090004,29.91849412,-5.911430859
0.3600,-6.681252975,24.74347968,-12.32882546
0.3650,-18.78980209,25.15279078,-6.699281858
0.3700,-11.2911752,29.79361291,-11.64443076
0.3750,-5.081080421,25.17343372,-11.58694502
0.3800,-19.22238184,34.35589122,-21.76735182
0.3850,-13.38974518,28.85586979,-14.15101598
0.3900,-15.20247312,24.78480797,-5.3323667
0.3950,-13.18893533,28.45349354,-10.619559
0.4000,-21.19575095,26.28603701,0.06527558285
0.4050,-29.55360715,35.67460789,-0.3057432144
