type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Course","s",0.0000,200,5108,"deg"

time,value
0.0000,-1.784660162
0.0050,-1.789245508
0.0100,-1.793830769
0.0150,-1.798415947
0.0200,-1.803232588
0.0250,-1.808232067
0.0300,-1.813366153
0.0350,-1.818589458
0.0400,-1.823861257
0.0450,-1.829146927
0.0500,-1.834418377
0.0550,-1.839653567
0.0600,-1.844835744
0.0650,-1.84995263
0.0700,-1.854995614
0.0750,-1.859959091
0.0800,-1.864839915
0.0850,-1.869636723
0.0900,-1.874348875
0.0950,-1.878975633
0.1000,-1.883516065
0.1050,-1.887968939
0.1100,-1.892332045
0.1150,-1.896601579
0.1200,-1.900771821
0.1250,-1.90483446
0.1300,-1.908777596
0.1350,-1.912585299
0.1400,-1.916238163
0.1450,-1.919714308
0.1500,-1.922990726
0.1550,-1.929021822
0.1600,-1.934567998
0.1650,-1.939697047
0.1700,-1.944305999
0.1750,-1.948322237
0.1800,-1.951991487
0.1850,-1.955148404
0.1900,-1.957884737
0.1950,-1.960122107
0.2000,-1.962052988
0.2050,-1.963610295
0.2100,-1.96480953
0.2150,-1.965734099
0.2200,-1.966315143
0.2250,-1.966565526
0.2300,-1.966509467
0.2350,-1.966147188
0.2400,-1.965567195
0.2450,-1.964601139
0.2500,-1.963369713
0.2550,-1.961863699
0.2600,-1.960168278
0.2650,-1.958039729
0.2700,-1.955936699
0.2750,-1.953597645
0.2800,-1.951320521
0.2850,-1.948844132
0.2900,-1.946359962
0.2950,-1.943716916
0.3000,-1.94089762
0.3050,-1.937912333
0.3100,-1.934750871
0.3150,-1.93133276
0.3200,-1.927728042
0.3250,-1.924023776
0.3300,-1.920234712
0.3350,-1.916414052
0.3400,-1.912587343
0.3450,-1.908739298
0.3500,-1.905061974
0.3550,-1.901556833
0.3600,-1.898065267
0.3650,-1.894520004
0.3700,-1.891031514
0.3750,-1.887617131
0.3800,-1.884284248
0.3850,-1.880978853
0.3900,-1.877789363
0.3950,-1.874593465
0.4000,-1.871406678
0.4050,-1.868487269
0.4100,-1.865589597
0.4150,-1.862978873
0.4200,-1.860488703
0.4250,-1.858365341
0.4300,-1.856585124
0.4350,-1.855065484
0.4400,-1.853790874
0.4450,-1.852733123
0.4500,-1.851994697
0.4550,-1.85130912
0.4600,-1.850909247
0.4650,-1.850708903
0.4700,-1.850698183
0.4750,-1.85092335
0.4800,-1.851185134
0.4850,-1.851566275
0.4900,-1.851834431
0.4950,-1.852298016
0.5000,-1.852579407
0.5050,-1.852899677
0.5100,-1.853132639
0.5150,-1.853261327
0.5200,-1.85342333
0.5250,-1.85360727
0.5300,-1.853639034
0.5350,-1.853702941
0.5400,-1.853829621
0.5450,-1.854044428
0.5500,-1.854277296
0.5550,-1.85465121
0.5600,-1.855105733
0.5650,-1.855760834
0.5700,-1.856361479
0.5750,-1.857085729
0.5800,-1.857694544
0.5850,-1.858452286
0.5900,-1.859253332
0.5950,-1.860347463
0.6000,-1.861557584
0.6050,-1.863131455
0.6100,-1.865056247
0.6150,-1.867437658
0.6200,-1.870040271
0.6250,-1.872928602
0.6300,-1.876123362
0.6350,-1.879571291
0.6400,-1.883135567
0.6450,-1.886937732
0.6500,-1.890887941
0.6550,-1.8951273
0.6600,-1.899575532
0.6650,-1.904332552
0.6700,-1.909485559
0.6750,-1.915204792
0.6800,-1.921348058
0.6850,-1.927969833
0.6900,-1.935104427
0.6950,-1.94298166
0.7000,-1.951379796
0.7050,-1.960337456
0.7100,-1.969953808
0.7150,-1.980109495
0.7200,-1.990894396
0.7250,-2.002174493
0.7300,-2.013992172
0.7350,-2.02634576
0.7400,-2.039165944
0.7450,-2.052612422
0.7500,-2.066407902
0.7550,-2.080850767
0.7600,-2.095664032
0.7650,-2.110890375
0.7700,-2.126410316
0.7750,-2.142089319
0.7800,-2.158083612
0.7850,-2.174185281
0.7900,-2.190632428
0.7950,-2.207073619
0.8000,-2.223733565
0.8050,-2.240575009
0.8100,-2.257595265
0.8150,-2.274701307
0.8200,-2.291756532
0.8250,-2.308816872
0.8300,-2.325913985
0.8350,-2.342933514
0.8400,-2.359825932
0.8450,-2.376394036
0.8500,-2.392758968
0.8550,-2.408796506
0.8600,-2.424656023
0.8650,-2.440217436
0.8700,-2.45547922
0.8750,-2.470456811
0.8800,-2.485119978
0.8850,-2.499496216
0.8900,-2.513441229
0.8950,-2.52696312
