type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Pitch","s",0.0000,200,5108,"deg"

time,value
0.0000,3.169396019
0.0050,3.173568267
0.0100,3.177740628
0.0150,3.181913099
0.0200,3.186425043
0.0250,3.191253183
0.0300,3.196370397
0.0350,3.201746928
0.0400,3.207351179
0.0450,3.213149565
0.0500,3.219105993
0.0550,3.225181589
0.0600,3.231334922
0.0650,3.237523251
0.0700,3.243704451
0.0750,3.249838143
0.0800,3.255885713
0.0850,3.261810174
0.0900,3.267576417
0.0950,3.273151744
0.1000,3.278506969
0.1050,3.283618042
0.1100,3.288466596
0.1150,3.293038893
0.1200,3.297324733
0.1250,3.30131686
0.1300,3.305010521
0.1350,3.308403481
0.1400,3.311496528
0.1450,3.314294212
0.1500,3.316805547
0.1550,3.322925114
0.1600,3.328688595
0.1650,3.334046888
0.1700,3.339100914
0.1750,3.343777884
0.1800,3.348056048
0.1850,3.352100489
0.1900,3.355870121
0.1950,3.359464727
0.2000,3.362914499
0.2050,3.366154895
0.2100,3.369200305
0.2150,3.371998342
0.2200,3.374616499
0.2250,3.377055018
0.2300,3.379143485
0.2350,3.381033274
0.2400,3.382650761
0.2450,3.384129298
0.2500,3.385212221
0.2550,3.386047962
0.2600,3.386712651
0.2650,3.387246446
0.2700,3.387423161
0.2750,3.387452243
0.2800,3.38709289
0.2850,3.386555532
0.2900,3.385682288
0.2950,3.384448567
0.3000,3.383019312
0.3050,3.381235005
0.3100,3.379252773
0.3150,3.376990015
0.3200,3.374543653
0.3250,3.37184961
0.3300,3.368755473
0.3350,3.365529213
0.3400,3.362017989
0.3450,3.358400967
0.3500,3.354542814
0.3550,3.350469302
0.3600,3.346337949
0.3650,3.342086196
0.3700,3.337663284
0.3750,3.333102093
0.3800,3.328591407
0.3850,3.324077482
0.3900,3.319681095
0.3950,3.315241527
0.4000,3.31078328
0.4050,3.30642624
0.4100,3.30224195
0.4150,3.298180475
0.4200,3.294229129
0.4250,3.290333079
0.4300,3.286651893
0.4350,3.283087465
0.4400,3.279632111
0.4450,3.276438648
0.4500,3.273252757
0.4550,3.270119083
0.4600,3.267127807
0.4650,3.264172312
0.4700,3.261232495
0.4750,3.258393514
0.4800,3.255783046
0.4850,3.253001005
0.4900,3.250350076
0.4950,3.247693182
