type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Roll","s",0.0000,200,5108,"deg"

time,value
0.0000,8.211746982
0.0050,8.213150105
0.0100,8.214552899
0.0150,8.215955364
0.0200,8.21764849
0.0250,8.219654982
0.0300,8.221993012
0.0350,8.224674774
0.0400,8.227704854
0.0450,8.231078791
0.0500,8.234782968
0.0550,8.238796555
0.0600,8.243094379
0.0650,8.247648637
0.0700,8.25242894
0.0750,8.257401846
0.0800,8.262530836
0.0850,8.267776774
0.0900,8.273098256
0.0950,8.278451851
0.1000,8.283793018
0.1050,8.289077627
0.1100,8.294263181
0.1150,8.29930935
0.1200,8.304177931
0.1250,8.308832692
0.1300,8.313239696
0.1350,8.317368715
0.1400,8.321195388
0.1450,8.324703375
0.1500,8.327886032
0.1550,8.337629748
0.1600,8.347160829
0.1650,8.356648056
0.1700,8.366133487
0.1750,8.375472144
0.1800,8.38488006
0.1850,8.39413916
0.1900,8.403453939
0.1950,8.412861212
0.2000,8.422065391
0.2050,8.431266781
0.2100,8.440418447
0.2150,8.449943023
0.2200,8.45959676
0.2250,8.469326498
0.2300,8.479190929
0.2350,8.48901132
0.2400,8.499031512
0.2450,8.50916192
0.2500,8.519304287
0.2550,8.529514464
0.2600,8.539795103
0.2650,8.550214592
0.2700,8.560604975
0.2750,8.571124873
0.2800,8.581538398
0.2850,8.591913373
0.2900,8.602231874
0.2950,8.61234562
0.3000,8.622335218
0.3050,8.632366581
0.3100,8.642250883
0.3150,8.652082094
0.3200,8.661858112
0.3250,8.671585678
0.3300,8.681278172
0.3350,8.691010974
0.3400,8.700655112
0.3450,8.710290987
0.3500,8.719840717
0.3550,8.729491357
0.3600,8.738986685
0.3650,8.748490461
0.3700,8.757904094
0.3750,8.767234137
0.3800,8.776353438
0.3850,8.785282602
0.3900,8.794142169
0.3950,8.802823533
0.4000,8.811389087
0.4050,8.819713134
0.4100,8.82786188
0.4150,8.835738235
0.4200,8.84340262
0.4250,8.850918566
0.4300,8.858207567
0.4350,8.865209152
0.4400,8.872013541
0.4450,8.8786395
0.4500,8.885030302
0.4550,8.891307084
0.4600,8.897417255
0.4650,8.903463023
0.4700,8.909376973
0.4750,8.915359065
0.4800,8.921249174
0.4850,8.927338005
0.4900,8.933571667
0.4950,8.939886923
0.5000,8.946483762
0.5050,8.953227558
0.5100,8.960148824
0.5150,8.967021675
0.5200,8.974051693
0.5250,8.98131613
0.5300,8.988682116
0.5350,8.996342351
0.5400,9.004025386
0.5450,9.011725797
0.5500,9.019612825
0.5550,9.027581096
0.5600,9.035520174
0.5650,9.043669979
0.5700,9.052003732
0.5750,9.060420418
0.5800,9.069046667
0.5850,9.077616086
0.5900,9.086353778
0.5950,9.095210845
0.6000,9.104341947
0.6050,9.113364512
0.6100,9.122503108
0.6150,9.131400037
0.6200,9.140121489
0.6250,9.148682093
0.6300,9.15699546
0.6350,9.16510861
0.6400,9.172998702
0.6450,9.180555382
0.6500,9.187942481
0.6550,9.194908743
0.6600,9.201625133
0.6650,9.208184558
0.6700,9.214464779
0.6750,9.220482181
0.6800,9.226305551
0.6850,9.232120754
0.6900,9.237746004
0.6950,9.243218427
