type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Upper arm RT-Sensor Acceleration","s",0.0000,200,5108,"mG"

time,x,y,z
0.0000,970.2148438,-59.08203125,-197.265625
0.0050,970.703125,-55.17578125,-211.4257813
0.0100,966.3085938,-55.17578125,-196.7773438
0.0150,970.703125,-49.8046875,-208.0078125
0.0200,971.1914063,-45.41015625,-200.6835938
0.0250,962.4023438,-54.6875,-205.5664063
0.0300,976.0742188,-47.8515625,-208.0078125
0.0350,967.7734375,-50.78125,-215.8203125
0.0400,973.6328125,-50.78125,-203.125
0.0450,977.0507813,-53.22265625,-207.5195313
0.0500,974.1210938,-60.05859375,-211.9140625
0.0550,974.1210938,-57.6171875,-202.1484375
0.0600,973.1445313,-58.59375,-204.1015625
0.0650,979.4921875,-59.08203125,-202.6367188
0.0700,977.5390625,-53.7109375,-202.1484375
0.0750,979.0039063,-54.19921875,-208.4960938
0.0800,973.1445313,-60.05859375,-203.6132813
0.0850,973.6328125,-56.640625,-210.9375
0.0900,980.46875,-51.7578125,-199.21875
0.0950,973.6328125,-59.08203125,-213.8671875
0.1000,974.609375,-51.26953125,-201.6601563
0.1050,970.703125,-51.7578125,-222.65625
0.1100,967.2851563,-57.6171875,-214.3554688
0.1150,973.6328125,-57.6171875,-212.4023438
0.1200,966.3085938,-58.10546875,-210.9375
0.1250,970.2148438,-60.05859375,-221.6796875
0.1300,973.6328125,-58.10546875,-215.8203125
0.1350,968.2617188,-71.2890625,-219.2382813
0.1400,973.6328125,-62.98828125,-216.796875
0.1450,975.0976563,-61.03515625,-218.75
0.1500,974.609375,-57.12890625,-219.7265625
0.1550,969.2382813,-65.4296875,-216.3085938
0.1600,972.65625,-54.19921875,-216.796875
0.1650,971.1914063,-57.6171875,-210.9375
0.1700,966.796875,-61.5234375,-217.2851563
0.1750,972.65625,-55.17578125,-218.2617188
0.1800,964.84375,-59.08203125,-211.4257813
0.1850,971.1914063,-58.10546875,-213.3789063
0.1900,967.2851563,-52.24609375,-205.078125
