type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Body center of mass","s",0.0000,200,5108,"mm"

time,x,y,z
0.0000,1.580081015,16.4839632,1075.069098
0.0050,1.579266012,16.48536612,1075.069383
0.0100,1.578450859,16.4867689,1075.069668
0.0150,1.577635557,16.48817153,1075.069953
0.0200,1.576710759,16.48969473,1075.070268
0.0250,1.575673241,16.49133164,1075.070611
0.0300,1.574521102,16.49307399,1075.070981
0.0350,1.573253978,16.49491243,1075.071377
0.0400,1.571873327,16.49683684,1075.071799
0.0450,1.570382723,16.49883631,1075.072243
0.0500,1.56878789,16.50089905,1075.072708
0.0550,1.567096264,16.50301233,1075.073192
0.0600,1.565316369,16.50516256,1075.073691
0.0650,1.563457505,16.50733564,1075.074204
0.0700,1.561529839,16.50951748,1075.074726
0.0750,1.55954461,16.51169428,1075.075256
0.0800,1.55751417,16.51385266,1075.075791
0.0850,1.555451883,16.51597966,1075.076326
0.0900,1.553372041,16.51806295,1075.076859
0.0950,1.551289763,16.52009089,1075.077387
0.1000,1.549220671,16.52205281,1075.077906
0.1050,1.547180417,16.52393933,1075.078414
0.1100,1.545184312,16.52574244,1075.078907
0.1150,1.543247119,16.52745534,1075.079383
0.1200,1.541382953,16.52907223,1075.079838
0.1250,1.539605219,16.53058833,1075.080271
0.1300,1.537926423,16.5319998,1075.080679
0.1350,1.536357693,16.53330379,1075.08106
0.1400,1.534908126,16.53449859,1075.081413
0.1450,1.533584176,16.5355839,1075.081735
0.1500,1.532389204,16.53656103,1075.082027
0.1550,1.529225548,16.53878114,1075.082707
0.1600,1.526176822,16.54087016,1075.083354
0.1650,1.523213072,16.54281392,1075.083971
0.1700,1.520321723,16.54463164,1075.084557
0.1750,1.517535072,16.54631794,1075.085112
0.1800,1.514791228,16.54785336,1075.085638
0.1850,1.512133407,16.54928738,1075.086136
0.1900,1.509519662,16.55061495,1075.086611
0.1950,1.506936786,16.55185561,1075.087064
0.2000,1.504445377,16.55302208,1075.087493
0.2050,1.501998243,16.5541098,1075.087904
0.2100,1.499602568,16.55510525,1075.088291
0.2150,1.497152868,16.55601085,1075.088669
0.2200,1.494699502,16.55683996,1075.089034
0.2250,1.492256522,16.55759261,1075.089383
0.2300,1.489818911,16.55822486,1075.089714
0.2350,1.487414668,16.55878966,1075.090031
0.2400,1.484982187,16.55926092,1075.090337
0.2450,1.482551988,16.55967073,1075.090631
0.2500,1.480142509,16.55997759,1075.090912
0.2550,1.477734751,16.56020884,1075.091184
0.2600,1.475330334,16.56038604,1075.091447
0.2650,1.472907668,16.56052083,1075.091706
0.2700,1.470513776,16.56055091,1075.09195
0.2750,1.468104799,16.56053549,1075.092189
0.2800,1.465733445,16.56041866,1075.092417
0.2850,1.463386401,16.56025406,1075.092636
0.2900,1.461058118,16.55999053,1075.092843
0.2950,1.458788899,16.55963732,1075.093037
0.3000,1.456546632,16.55922992,1075.093221
0.3050,1.454302143,16.55872819,1075.093397
0.3100,1.452092005,16.55816746,1075.093561
0.3150,1.449898244,16.5575324,1075.093716
0.3200,1.447724966,16.55683856,1075.093861
0.3250,1.445548455,16.55607731,1075.093999
0.3300,1.44338264,16.55521078,1075.094127
0.3350,1.4412142,16.5543004,1075.09425
0.3400,1.439058618,16.55331066,1075.094363
0.3450,1.436903535,16.55228424,1075.094472
0.3500,1.434776297,16.55117778,1075.094568
0.3550,1.432628424,16.55001242,1075.094662
0.3600,1.430515086,16.5488172,1075.094747
0.3650,1.428408479,16.54758217,1075.094826
0.3700,1.426324801,16.54629493,1075.094898
0.3750,1.424262904,16.54496307,1075.094962
0.3800,1.422246144,16.54364424,1075.095022
0.3850,1.420275654,16.54231499,1075.095076
0.3900,1.418325104,16.54099526,1075.095124
0.3950,1.416433505,16.53965914,1075.095164
0.4000,1.414583752,16.5383217,1075.0952
0.4050,1.412792729,16.53698527,1075.095226
0.4100,1.411050234,16.53569157,1075.09525
0.4150,1.409382158,16.53442217,1075.095269
0.4200,1.407776904,16.53316967,1075.09528
0.4250,1.406218845,16.5319162,1075.095285
0.4300,1.404720978,16.53069672,1075.095284
0.4350,1.403289658,16.52950116,1075.095277
0.4400,1.401903391,16.52831972,1075.095266
0.4450,1.400556033,16.52718278,1075.09525
0.4500,1.399270908,16.52603708,1075.095226
0.4550,1.398015525,16.52490756,1075.095201
0.4600,1.396798253,16.52379904,1075.095173
0.4650,1.395589886,16.52269724,1075.095144
0.4700,1.394395934,16.5215895,1075.095113
0.4750,1.393180939,16.52050741,1075.095087
0.4800,1.391974347,16.51947477,1075.095063
0.4850,1.390725031,16.51840851,1075.095045
0.4900,1.389427588,16.51737449,1075.095033
0.4950,1.388086993,16.51634473,1075.095029
0.5000,1.38666904,16.51530057,1075.095031
0.5050,1.38518758,16.51423539,1075.09504
0.5100,1.383648433,16.51317769,1075.095059
0.5150,1.382102502,16.51210136,1075.095076
0.5200,1.380502337,16.51102676,1075.095101
0.5250,1.378821188,16.5099606,1075.09514
0.5300,1.377092746,16.50892615,1075.095187
0.5350,1.375273404,16.50788455,1075.095246
0.5400,1.373426988,16.50684199,1075.095311
0.5450,1.371550354,16.5057923,1075.095382
0.5500,1.369609019,16.50474882,1075.095462
0.5550,1.367627046,16.50368718,1075.095546
0.5600,1.365633411,16.50261759,1075.095631
0.5650,1.363573637,16.5014934,1075.095723
0.5700,1.361457596,16.50037234,1075.095825
0.5750,1.359301781,16.49924643,1075.095932
0.5800,1.357082278,16.49808136,1075.096045
0.5850,1.354867778,16.49685951,1075.096154
0.5900,1.352589844,16.49559816,1075.096268
0.5950,1.350275038,16.49427228,1075.096382
0.6000,1.347887748,16.49287662,1075.0965
0.6050,1.345512024,16.49142881,1075.096613
0.6100,1.343093666,16.48992843,1075.096727
0.6150,1.340706764,16.48835114,1075.096833
0.6200,1.338358716,16.48668033,1075.096929
0.6250,1.336033422,16.48495507,1075.097016
0.6300,1.333747487,16.48318697,1075.097095
0.6350,1.331481447,16.48135,1075.097167
0.6400,1.329257221,16.47945317,1075.09723
0.6450,1.327096784,16.477472,1075.097281
0.6500,1.324954621,16.47546607,1075.097326
0.6550,1.322891503,16.47337868,1075.097356
0.6600,1.320875408,16.47123076,1075.097375
0.6650,1.318869296,16.46901849,1075.09739
0.6700,1.316920974,16.46676561,1075.097396
0.6750,1.315021411,16.464473,1075.097394
0.6800,1.313157269,16.46210428,1075.097382
0.6850,1.311296565,16.45971743,1075.097368
0.6900,1.309471342,16.45727982,1075.097344
0.6950,1.307671714,16.45485935,1075.097319
0.7000,1.305893241,16.45243484,1075.097291
0.7050,1.304126482,16.44997623,1075.09726
0.7100,1.302364016,16.44749536,1075.097226
0.7150,1.30059645,16.44496792,1075.097191
0.7200,1.29883126,16.44243957,1075.097155
0.7250,1.297062952,16.43990694,1075.097116
0.7300,1.295304509,16.43734063,1075.097074
0.7350,1.293560728,16.43477101,1075.097027
0.7400,1.291844183,16.43218767,1075.096975
0.7450,1.290167531,16.4295895,1075.096915
0.7500,1.288513858,16.42698989,1075.09685
0.7550,1.286884311,16.42439312,1075.09678
0.7600,1.285271077,16.42180095,1075.096711
0.7650,1.28374437,16.41921354,1075.09663
0.7700,1.282264578,16.41662567,1075.096546
0.7750,1.280806567,16.41404515,1075.096459
0.7800,1.279401448,16.41143437,1075.096365
0.7850,1.278057612,16.40882374,1075.096263
0.7900,1.276807456,16.40620371,1075.096152
0.7950,1.27560511,16.40357505,1075.096037
0.8000,1.274490361,16.40095198,1075.095914
0.8050,1.273441646,16.39837354,1075.095787
0.8100,1.272435873,16.39579308,1075.095654
0.8150,1.27148721,16.39320701,1075.095519
0.8200,1.270602138,16.39065826,1075.095378
0.8250,1.269792274,16.38812936,1075.09523
0.8300,1.269029228,16.38564406,1075.095081
0.8350,1.268321472,16.38317781,1075.094928
0.8400,1.267621684,16.38073617,1075.094778
0.8450,1.267006166,16.3783115,1075.09462
0.8500,1.266433072,16.37590597,1075.094461
0.8550,1.265922839,16.37353992,1075.0943
0.8600,1.265453847,16.37117149,1075.094136
0.8650,1.265074131,16.36884878,1075.093964
0.8700,1.264738071,16.36653629,1075.093788
0.8750,1.264442898,16.36419919,1075.093608
0.8800,1.264185509,16.36192147,1075.09343
0.8850,1.263934262,16.35965528,1075.093253
0.8900,1.263700826,16.35742406,1075.093083
0.8950,1.263450094,16.35525153,1075.092921
0.9000,1.263247501,16.35308198,1075.092757
0.9050,1.263017705,16.3509613,1075.092604
0.9100,1.262784427,16.34886308,1075.092455
0.9150,1.262497966,16.34681175,1075.092317
0.9200,1.262165977,16.34484293,1075.092194
0.9250,1.261833608,16.34289826,1075.092078
0.9300,1.261494395,16.34101162,1075.091969
0.9350,1.261114134,16.33919936,1075.091873
0.9400,1.26071001,16.33744714,1075.091784
0.9450,1.260285235,16.33574781,1075.091702
0.9500,1.259826212,16.33411179,1075.091632
0.9550,1.259291753,16.33257566,1075.091578
0.9600,1.258708717,16.33111293,1075.091537
0.9650,1.258142282,16.32972413,1075.091499
0.9700,1.257518059,16.32840245,1075.091473
