type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Elbow RT","s",0.0000,200,5108,"mm"

time,x,y,z
0.0000,197.077936,-42.87186235,1233.044129
0.0050,197.0674951,-42.84993743,1233.045882
0.0100,197.0570525,-42.82801346,1233.047636
0.0150,197.0466081,-42.80609042,1233.049393
0.0200,197.0342993,-42.78234873,1233.051384
0.0250,197.0200086,-42.75690569,1233.053615
0.0300,197.0036462,-42.72990066,1233.056091
0.0350,196.9851578,-42.70148881,1233.05881
0.0400,196.9645335,-42.67183704,1233.061767
0.0450,196.9418163,-42.64112535,1233.064952
0.0500,196.9171024,-42.60955005,1233.068348
0.0550,196.8905296,-42.57732557,1233.071934
0.0600,196.862261,-42.54468335,1233.075686
0.0650,196.832474,-42.51186433,1233.079578
0.0700,196.8013603,-42.47910707,1233.083583
0.0750,196.7691286,-42.44664054,1233.087672
0.0800,196.7360047,-42.41468376,1233.091817
0.0850,196.7022292,-42.38344635,1233.095986
0.0900,196.6680552,-42.35312651,1233.100148
0.0950,196.6337478,-42.32390753,1233.104272
0.1000,196.5995778,-42.29595132,1233.108327
0.1050,196.5658127,-42.26938905,1233.112283
0.1100,196.5327095,-42.24431776,1233.116114
0.1150,196.5005117,-42.22080647,1233.119798
0.1200,196.4694504,-42.19890252,1233.123312
0.1250,196.4397451,-42.17863471,1233.126638
0.1300,196.4116022,-42.1600155,1233.129758
0.1350,196.3852072,-42.143041,1233.132658
0.1400,196.3607111,-42.12768877,1233.135326
0.1450,196.3382173,-42.11391457,1233.137757
0.1500,196.3177712,-42.10164933,1233.139952
0.1550,196.2566416,-42.07109586,1233.146596
0.1600,196.1969858,-42.0423414,1233.153062
0.1650,196.137781,-42.01575397,1233.159421
0.1700,196.0787929,-41.99068132,1233.165742
0.1750,196.0209258,-41.96748261,1233.171909
0.1800,195.9628204,-41.94647235,1233.178036
0.1850,195.9058034,-41.92652296,1233.184062
0.1900,195.848629,-41.90797972,1233.190076
0.1950,195.7910865,-41.89021006,1233.196142
0.2000,195.7348748,-41.87307374,1233.202099
0.2050,195.6788318,-41.85696635,1233.208023
0.2100,195.623234,-41.84179401,1233.213909
0.2150,195.5655412,-41.82802106,1233.219952
0.2200,195.5072216,-41.81514583,1233.226049
0.2250,195.4485883,-41.80316061,1233.232169
0.2300,195.3893141,-41.79310599,1233.238284
0.2350,195.3304392,-41.78404157,1233.244337
0.2400,195.2704959,-41.77651226,1233.250438
0.2450,195.2100449,-41.76960408,1233.256595
0.2500,195.1496831,-41.76489578,1233.262633
0.2550,195.0890538,-41.76150855,1233.268648
0.2600,195.0280964,-41.75903978,1233.274665
0.2650,194.9664773,-41.75712367,1233.280743
0.2700,194.9050899,-41.75733177,1233.286697
0.2750,194.8430337,-41.75830421,1233.292695
0.2800,194.7816664,-41.76159279,1233.298501
0.2850,194.7206264,-41.76580821,1233.304239
0.2900,194.6599939,-41.77199468,1233.309844
0.2950,194.6007046,-41.7801776,1233.315214
0.3000,194.5422558,-41.78938272,1233.320459
0.3050,194.4836811,-41.80060402,1233.325616
0.3100,194.4260834,-41.81285414,1233.330639
0.3150,194.3689417,-41.82659962,1233.335548
0.3200,194.3122258,-41.84130228,1233.340385
0.3250,194.2558864,-41.8573983,1233.345119
0.3300,194.1998617,-41.87580609,1233.3497
0.3350,194.1436301,-41.89497982,1233.354278
0.3400,194.087988,-41.9158139,1233.358716
0.3450,194.032423,-41.93725194,1233.363131
0.3500,193.977361,-41.96019399,1233.367432
0.3550,193.9216794,-41.98453607,1233.371722
0.3600,193.8669325,-42.00918259,1233.375925
0.3650,193.8121719,-42.03450502,1233.380112
0.3700,193.7579623,-42.06084917,1233.3842
0.3750,193.7042522,-42.08803152,1233.388208
0.3800,193.6517628,-42.11490739,1233.39212
0.3850,193.6003983,-42.14176592,1233.395939
0.3900,193.5493879,-42.1679682,1233.399788
0.3950,193.4994431,-42.19437429,1233.403533
0.4000,193.4501815,-42.22086514,1233.407212
0.4050,193.4022556,-42.24684957,1233.410813
0.4100,193.3553309,-42.27177393,1233.414384
0.4150,193.3099104,-42.29607456,1233.417848
0.4200,193.2656896,-42.31973809,1233.421244
0.4250,193.2222216,-42.34325664,1233.424586
0.4300,193.1799555,-42.36564794,1233.42789
0.4350,193.1392987,-42.38743526,1233.431072
0.4400,193.0997208,-42.40867402,1233.43419
0.4450,193.0610921,-42.42844065,1233.437317
0.4500,193.0237612,-42.4483016,1233.440316
0.4550,192.987082,-42.46785815,1233.443268
0.4600,192.9512811,-42.48670208,1233.446184
0.4650,192.9157969,-42.50544119,1233.449076
0.4700,192.8810438,-42.52417162,1233.451902
0.4750,192.8457921,-42.54246515,1233.454803
0.4800,192.8110413,-42.55939955,1233.457741
0.4850,192.7750969,-42.57747738,1233.460728
0.4900,192.7383058,-42.59473843,1233.463856
0.4950,192.7009763,-42.61217811,1233.467022
0.5000,192.6620377,-42.62979746,1233.470356
0.5050,192.6222409,-42.648082,1233.473739
0.5100,192.5814237,-42.66654905,1233.477208
0.5150,192.5409462,-42.68520963,1233.480646
0.5200,192.4995318,-42.70408771,1233.484163
0.5250,192.4567269,-42.72324883,1233.487796
0.5300,192.4133541,-42.74174008,1233.491529
0.5350,192.3682329,-42.76058713,1233.495424
0.5400,192.3229748,-42.77985306,1233.499299
0.5450,192.2776078,-42.79958011,1233.503155
0.5500,192.2311285,-42.8193116,1233.507128
0.5550,192.184144,-42.83959954,1233.511123
0.5600,192.1373202,-42.86001977,1233.515103
0.5650,192.0892307,-42.88212211,1233.519113
0.5700,192.0400739,-42.9045027,1233.523215
0.5750,191.9903999,-42.9272243,1233.52735
0.5800,191.9395492,-42.95086987,1233.531566
0.5850,191.8890401,-42.97599131,1233.535666
0.5900,191.8375556,-43.00216085,1233.539815
0.5950,191.7853188,-43.02994208,1233.543959
0.6000,191.7314659,-43.05938219,1233.548194
0.6050,191.6781894,-43.09004342,1233.552308
0.6100,191.6241552,-43.1219758,1233.556442
0.6150,191.5714866,-43.15571791,1233.560339
0.6200,191.5198733,-43.19181494,1233.563996
0.6250,191.4691703,-43.22884743,1233.567527
0.6300,191.4198874,-43.26683556,1233.570865
0.6350,191.3717823,-43.3062942,1233.57401
0.6400,191.3250282,-43.34722598,1233.576936
0.6450,191.2802627,-43.39009551,1233.579552
0.6500,191.2364909,-43.43336,1233.582056
0.6550,191.1952125,-43.47841789,1233.584206
0.6600,191.1554115,-43.52468232,1233.586149
0.6650,191.1165193,-43.57255306,1233.587912
0.6700,191.0792115,-43.62140942,1233.589458
0.6750,191.0433369,-43.67114977,1233.590813
0.6800,191.0085586,-43.72263609,1233.591967
0.6850,190.9736961,-43.77429984,1233.593141
0.6900,190.939858,-43.82702537,1233.594163
0.6950,190.9067005,-43.87925858,1233.595152
0.7000,190.8740065,-43.93143304,1233.596111
0.7050,190.8415453,-43.98449022,1233.597006
