type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle RT","s",0.0000,200,5108,"mm"

time,x,y,z
0.0000,223.8465159,-35.13543792,1233.278802
0.0050,223.8354787,-35.11141982,1233.279553
0.0100,223.8244396,-35.08740245,1233.280306
0.0150,223.8133984,-35.06338582,1233.28106
0.0200,223.8004652,-35.03745206,1233.281922
0.0250,223.7855291,-35.00974148,1233.282894
0.0300,223.7685068,-34.98041592,1233.283974
0.0350,223.7493501,-34.94965142,1233.285161
0.0400,223.7280544,-34.91763316,1233.286448
0.0450,223.7046669,-34.88455615,1233.287823
0.0500,223.6792872,-34.85062841,1233.289271
0.0550,223.6520556,-34.81607308,1233.290776
0.0600,223.623137,-34.78112784,1233.292315
0.0650,223.5927099,-34.74603798,1233.293869
0.0700,223.5609669,-34.71104491,1233.295419
0.0750,223.5281169,-34.67637934,1233.296947
0.0800,223.4943859,-34.6422612,1233.298441
0.0850,223.4600144,-34.60890067,1233.299887
0.0900,223.4252558,-34.57649668,1233.301276
0.0950,223.3903751,-34.5452336,1233.302602
0.1000,223.3556434,-34.51527475,1233.30386
0.1050,223.3213285,-34.48675286,1233.30505
0.1100,223.2876875,-34.45976687,1233.306173
0.1150,223.2549649,-34.4343883,1233.307235
0.1200,223.2233923,-34.41066775,1233.308243
0.1250,223.1931903,-34.38863834,1233.309202
0.1300,223.1645671,-34.36831818,1233.310119
0.1350,223.1377099,-34.34971058,1233.310999
0.1400,223.1127723,-34.33280152,1233.311847
0.1450,223.0898604,-34.31755608,1233.312666
0.1500,223.0690224,-34.30391491,1233.313465
0.1550,223.007222,-34.27099743,1233.317247
0.1600,222.9469599,-34.24010654,1233.321051
0.1650,222.8872116,-34.21160449,1233.325009
0.1700,222.827752,-34.18486965,1233.329143
0.1750,222.7694953,-34.16029504,1233.333332
0.1800,222.7110499,-34.13808229,1233.33764
0.1850,222.6537561,-34.11715033,1233.341957
0.1900,222.5963652,-34.09783425,1233.34643
0.1950,222.5386719,-34.07952023,1233.351072
0.2000,222.4823462,-34.06196778,1233.35574
0.2050,222.4262411,-34.04562489,1233.360495
0.2100,222.370624,-34.03036538,1233.365284
0.2150,222.3129556,-34.01665569,1233.37028
0.2200,222.2547039,-34.00399274,1233.375334
0.2250,222.1961799,-33.99236235,1233.38043
0.2300,222.1370587,-33.9828136,1233.385578
0.2350,222.078376,-33.97438947,1233.390682
0.2400,222.0186549,-33.9676029,1233.395813
0.2450,221.9584755,-33.96160752,1233.401016
0.2500,221.8984267,-33.95795471,1233.406129
0.2550,221.8381477,-33.95575033,1233.411207
0.2600,221.7775685,-33.95456129,1233.416322
0.2650,221.7163835,-33.95411585,1233.421441
0.2700,221.6554325,-33.9558045,1233.426521
0.2750,221.5938462,-33.95837272,1233.431643
0.2800,221.5329461,-33.96324933,1233.436626
0.2850,221.4724015,-33.96915013,1233.441564
0.2900,221.4122647,-33.97702296,1233.446343
0.2950,221.353493,-33.98696826,1233.450888
0.3000,221.2955796,-33.99799577,1233.455226
0.3050,221.2375644,-34.01112207,1233.45943
0.3100,221.1805429,-34.02533391,1233.463422
