type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Medial humeral epicondyle RT","s",0.0000,200,5108,"mm"

time,x,y,z
0.0000,170.7074074,-42.0114001,1234.699918
0.0050,170.6970323,-41.9918215,1234.703935
0.0100,170.6866559,-41.97224427,1234.707953
0.0150,170.6762782,-41.95266839,1234.711974
0.0200,170.6640475,-41.93139645,1234.716467
0.0250,170.6498471,-41.90852189,1234.72144
0.0300,170.6335881,-41.88416041,1234.726889
0.0350,170.6152164,-41.85844497,1234.73281
0.0400,170.5947226,-41.83152263,1234.739191
0.0450,170.5721496,-41.80355655,1234.746011
0.0500,170.5475934,-41.77472948,1234.753245
0.0550,170.5211916,-41.74524506,1234.760857
0.0600,170.4931066,-41.7153263,1234.768811
0.0650,170.4635151,-41.68520749,1234.777063
0.0700,170.4326079,-41.65512194,1234.785568
0.0750,170.4005923,-41.62529451,1234.794274
0.0800,170.3676926,-41.59594083,1234.803127
0.0850,170.3341477,-41.56726753,1234.812068
0.0900,170.3002088,-41.53946979,1234.821032
0.0950,170.2661387,-41.51272749,1234.829954
0.1000,170.2322059,-41.48719891,1234.838768
0.1050,170.1986757,-41.46301146,1234.847405
0.1100,170.1658025,-41.44025816,1234.855802
0.1150,170.1338277,-41.41900342,1234.8639
0.1200,170.1029797,-41.3992893,1234.87164
0.1250,170.073476,-41.38113847,1234.878969
0.1300,170.0455212,-41.36455599,1234.88584
0.1350,170.0192989,-41.3495293,1234.892212
0.1400,169.9949592,-41.33602622,1234.898052
0.1450,169.9726044,-41.32399221,1234.903341
0.1500,169.9522796,-41.31334779,1234.908069
0.1550,169.8914127,-41.28566649,1234.919902
0.1600,169.8320057,-41.25952807,1234.931217
0.1650,169.7730314,-41.23530618,1234.942028
0.1700,169.7142583,-41.21231517,1234.952434
0.1750,169.6565926,-41.19088418,1234.96234
0.1800,169.5986745,-41.17143623,1234.971897
0.1850,169.5418356,-41.15280047,1234.981105
0.1900,169.4848271,-41.13533615,1234.990014
0.1950,169.4274412,-41.11838963,1234.998725
0.2000,169.3713741,-41.10192438,1235.007083
0.2050,169.3154673,-41.08628885,1235.015197
0.2100,169.2599974,-41.07141274,1235.023074
0.2150,169.2024283,-41.0577682,1235.030973
0.2200,169.1442305,-41.04485199,1235.038825
0.2250,169.0857161,-41.03266294,1235.046586
0.2300,169.0265545,-41.02223079,1235.054177
0.2350,168.9677907,-41.01264048,1235.061618
0.2400,168.9079581,-41.00446582,1235.06905
0.2450,168.8476161,-40.99672429,1235.076435
0.2500,168.7873627,-40.99103125,1235.083623
0.2550,168.7268427,-40.98651994,1235.090741
0.2600,168.6659923,-40.98282143,1235.097783
0.2650,168.6044863,-40.9794748,1235.104887
0.2700,168.5432034,-40.97823052,1235.111731
0.2750,168.4812528,-40.97762782,1235.118581
0.2800,168.4199856,-40.97934229,1235.125159
0.2850,168.3590452,-40.98188061,1235.131614
0.2900,168.2985111,-40.98637707,1235.137912
0.2950,168.2393202,-40.9927874,1235.143939
0.3000,168.1809752,-41.00015262,1235.149889
0.3050,168.1225075,-41.00944299,1235.155752
0.3100,168.065021,-41.01969593,1235.161513
0.3150,168.0079965,-41.03132845,1235.167192
0.3200,167.9513995,-41.04383566,1235.172785
0.3250,167.8951884,-41.05770877,1235.178396
0.3300,167.8392949,-41.07384359,1235.183871
0.3350,167.7831931,-41.09072128,1235.189309
0.3400,167.727685,-41.10926333,1235.194665
0.3450,167.6722553,-41.12840388,1235.200011
0.3500,167.6173212,-41.14911355,1235.205163
0.3550,167.5617637,-41.17127707,1235.21027
0.3600,167.50714,-41.1937673,1235.215285
0.3650,167.4525008,-41.21690068,1235.22024
0.3700,167.3984105,-41.24107916,1235.225074
0.3750,167.3448167,-41.26612704,1235.229794
0.3800,167.2924418,-41.2909202,1235.234415
0.3850,167.2411888,-41.31572064,1235.238907
0.3900,167.1902833,-41.33992715,1235.243361
0.3950,167.1404351,-41.36432436,1235.247583
0.4000,167.0912631,-41.38879537,1235.251633
0.4050,167.0434155,-41.41289655,1235.255503
0.4100,166.9965632,-41.43595453,1235.259263
0.4150,166.9512002,-41.45851552,1235.262761
0.4200,166.9070256,-41.48049424,1235.266051
0.4250,166.8635872,-41.5024802,1235.269116
0.4300,166.8213348,-41.523502,1235.271992
0.4350,166.7806821,-41.54404972,1235.274667
0.4400,166.7410997,-41.56417229,1235.277208
0.4450,166.7024579,-41.58294694,1235.279693
0.4500,166.6651002,-41.60195549,1235.281918
0.4550,166.6283905,-41.6206839,1235.284052
0.4600,166.5925493,-41.63884031,1235.286074
0.4650,166.5570213,-41.65698664,1235.288065
0.4700,166.5222248,-41.67523463,1235.290046
0.4750,166.4869257,-41.69314831,1235.292092
0.4800,166.4521299,-41.70975363,1235.294231
0.4850,166.4161388,-41.72752277,1235.296405
0.4900,166.3793103,-41.74444538,1235.298839
0.4950,166.3419496,-41.76164778,1235.301446
0.5000,166.3029911,-41.7789558,1235.304351
0.5050,166.2631875,-41.7969656,1235.307509
0.5100,166.2223751,-41.81512272,1235.310902
0.5150,166.1819121,-41.83345821,1235.314398
0.5200,166.1405206,-41.85203188,1235.318104
0.5250,166.0977518,-41.87090513,1235.322121
0.5300,166.0544293,-41.8890709,1235.326426
0.5350,166.0093693,-41.90761199,1235.331059
0.5400,165.9641815,-41.92661166,1235.335818
0.5450,165.9188943,-41.94613044,1235.340722
0.5500,165.8725047,-41.96567428,1235.345894
0.5550,165.8256166,-41.98584998,1235.351219
0.5600,165.7788947,-42.00621653,1235.356634
0.5650,165.7309126,-42.02833895,1235.362189
0.5700,165.6818727,-42.05071358,1235.36796
0.5750,165.6323227,-42.07349474,1235.373891
0.5800,165.5816075,-42.09715176,1235.380047
0.5850,165.5312351,-42.1223466,1235.386129
0.5900,165.4798986,-42.14861816,1235.39243
0.5950,165.4278081,-42.17661705,1235.398757
0.6000,165.3741052,-42.2063081,1235.405237
0.6050,165.3209754,-42.23738791,1235.411624
0.6100,165.2670868,-42.26989084,1235.418083
0.6150,165.2145624,-42.30442585,1235.424382
0.6200,165.1630898,-42.34139946,1235.430427
0.6250,165.1125255,-42.37945699,1235.436382
0.6300,165.0633803,-42.41862862,1235.442198
0.6350,165.0154176,-42.45941283,1235.447947
0.6400,164.9688075,-42.50172993,1235.453522
0.6450,164.9241857,-42.54610536,1235.458831
0.6500,164.8805618,-42.59097371,1235.464128
0.6550,164.8394309,-42.63779119,1235.469129
0.6600,164.7997762,-42.68592546,1235.473946
0.6650,164.7610341,-42.73582216,1235.478703
0.6700,164.7238686,-42.78688691,1235.483206
0.6750,164.688126,-42.83909898,1235.487483
0.6800,164.6534729,-42.89324619,1235.491541
0.6850,164.6187223,-42.94777775,1235.495515
0.6900,164.5849859,-43.00360413,1235.499288
0.6950,164.5519133,-43.05927983,1235.502934
0.7000,164.5192907,-43.11513092,1235.506455
0.7050,164.4868881,-43.17210031,1235.509825
0.7100,164.4545159,-43.22970599,1235.513087
0.7150,164.4216503,-43.28882691,1235.516193
0.7200,164.3886616,-43.34802039,1235.519217
0.7250,164.3555802,-43.40721264,1235.522214
0.7300,164.3224161,-43.46735393,1235.525044
0.7350,164.2892288,-43.52743455,1235.527747
0.7400,164.2561205,-43.58785677,1235.530236
0.7450,164.2237263,-43.6486741,1235.532496
0.7500,164.1917045,-43.7092477,1235.534652
0.7550,164.160127,-43.76970129,1235.536672
0.7600,164.1287569,-43.83040402,1235.538572
0.7650,164.0991262,-43.89089996,1235.54013
0.7700,164.0704267,-43.95166092,1235.541474
0.7750,164.0418439,-44.01218131,1235.542701
0.7800,164.0144686,-44.07358009,1235.543681
0.7850,163.9884814,-44.13484514,1235.544454
0.7900,163.9644951,-44.19661471,1235.544835
0.7950,163.9416337,-44.25876907,1235.545039
0.8000,163.9204832,-44.32093554,1235.544887
0.8050,163.9007153,-44.38214927,1235.544529
0.8100,163.8818751,-44.44339854,1235.544002
0.8150,163.8644939,-44.50513458,1235.543267
0.8200,163.8487609,-44.5658627,1235.542399
0.8250,163.8345821,-44.62608622,1235.541284
0.8300,163.8215471,-44.68537906,1235.540065
0.8350,163.8097965,-44.74422524,1235.538694
0.8400,163.7981323,-44.80262453,1235.537318
0.8450,163.788174,-44.86053896,1235.535684
