type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Radial styloid process RT","s",0.0000,200,5108,"mm"

time,x,y,z
0.0000,191.2944402,35.37431165,982.1297819
0.0050,191.2562465,35.43612124,982.1448782
0.0100,191.2180452,35.49792302,982.1599845
0.0150,191.1798361,35.55971698,982.1751007
0.0200,191.1372281,35.62680488,982.1916322
0.0250,191.0901913,35.69888228,982.2095268
0.0300,191.0387415,35.77558355,982.2287161
0.0350,190.9829419,35.85649954,982.2491186
0.0400,190.9229087,35.94118942,982.2706417
0.0450,190.8588174,36.02918292,982.293182
0.0500,190.7909048,36.11997888,982.3166251
0.0550,190.7194568,36.21304495,982.3408475
0.0600,190.6447927,36.30782071,982.3657182
0.0650,190.5672599,36.40372911,982.3911013
0.0700,190.4872403,36.50019192,982.4168576
0.0750,190.4051597,36.5966391,982.442845
0.0800,190.3214902,36.69251376,982.4689198
0.0850,190.2367468,36.78727737,982.4949389
0.0900,190.1514851,36.88041422,982.5207607
0.0950,190.0662968,36.97143488,982.5462455
0.1000,189.9817969,37.05988186,982.5712561
0.1050,189.8986069,37.14533683,982.5956593
0.1100,189.8173416,37.22742209,982.6193256
0.1150,189.7385992,37.30579663,982.6421305
0.1200,189.6629547,37.38015491,982.6639561
0.1250,189.5909542,37.45022837,982.6846923
0.1300,189.5231044,37.5157858,982.7042382
0.1350,189.4598544,37.57663617,982.722504
0.1400,189.4015716,37.6326371,982.7394149
0.1450,189.348522,37.68370652,982.7549154
0.1500,189.3008556,37.72983289,982.7689731
0.1550,189.1846881,37.83109298,982.8002851
0.1600,189.0738582,37.92623343,982.8299269
0.1650,188.9679121,38.01484136,982.8579355
0.1700,188.8663812,38.09722104,982.8842576
0.1750,188.7700247,38.17360721,982.9089763
0.1800,188.6768121,38.24322868,982.9320708
0.1850,188.5876126,38.30767961,982.9536353
0.1900,188.5014983,38.3671826,982.9739357
0.1950,188.4179267,38.42209074,982.9929437
0.2000,188.3383664,38.47297033,983.0106466
0.2050,188.2614396,38.52013756,983.0273636
0.2100,188.1872189,38.56258169,983.042725
0.2150,188.1125575,38.60116102,983.0573855
0.2200,188.0385855,38.63603207,983.0711326
0.2250,187.9657739,38.66711993,983.0839048
0.2300,187.8942558,38.69312956,983.09558
0.2350,187.8243468,38.71608983,983.1064797
0.2400,187.7541826,38.73515589,983.1166301
0.2450,187.6849275,38.7510493,983.1259474
0.2500,187.6169093,38.76334631,983.1346652
0.2550,187.5494114,38.77258972,983.1427692
0.2600,187.4826311,38.7795537,983.1503981
0.2650,187.4156477,38.78452825,983.1575982
0.2700,187.3501785,38.78580871,983.1641289
0.2750,187.2847214,38.78518281,983.1703074
0.2800,187.2206932,38.78134383,983.1759936
0.2850,187.1577748,38.77569366,983.1813012
0.2900,187.0954895,38.76647641,983.1859547
0.2950,187.0350766,38.75433793,983.1900664
0.3000,186.975207,38.74014171,983.1937287
0.3050,186.9153858,38.72274174,983.1969184
0.3100,186.8563941,38.70296182,983.1995391
0.3150,186.7978058,38.68054587,983.2016808
0.3200,186.7399433,38.65566575,983.2032477
0.3250,186.6813434,38.62844793,983.2044449
0.3300,186.622984,38.59777151,983.2051316
0.3350,186.5647636,38.56533767,983.2054804
0.3400,186.5065231,38.53020823,983.20538
0.3450,186.4482086,38.49358526,983.2049709
0.3500,186.3909818,38.45389804,983.203925
0.3550,186.3333189,38.4124185,983.2027458
0.3600,186.2765422,38.36944408,983.2010903
0.3650,186.2202291,38.32483876,983.1990922
0.3700,186.1646056,38.27832096,983.1967075
0.3750,186.10966,38.23015717,983.1939768
0.3800,186.0558712,38.18236253,983.1911743
0.3850,186.0034481,38.13385498,983.1880313
0.3900,185.951785,38.08507348,983.1845905
0.3950,185.9023561,38.03560029,983.1808515
0.4000,185.8546176,37.98620367,983.1770705
0.4050,185.8087094,37.93624822,983.1728383
0.4100,185.7644572,37.88760091,983.1686308
0.4150,185.7227851,37.83975072,983.1643363
0.4200,185.6833949,37.79217864,983.1598161
0.4250,185.6459326,37.74439675,983.1550875
0.4300,185.6105683,37.69733445,983.1501485
0.4350,185.5771201,37.65112067,983.1451551
0.4400,185.5449813,37.60516349,983.1399897
0.4450,185.5139347,37.56013655,983.1346374
0.4500,185.484982,37.5148182,983.1290686
0.4550,185.4569692,37.47022463,983.1235821
0.4600,185.4301219,37.42604085,983.117946
0.4650,185.4033693,37.38222278,983.1123804
0.4700,185.3764768,37.33809655,983.1066743
0.4750,185.3489406,37.29500755,983.1012445
0.4800,185.3212334,37.25314651,983.095821
0.4850,185.2925026,37.2107058,983.0906411
0.4900,185.2619176,37.16911057,983.0856388
0.4950,185.2293664,37.12793696,983.0809238
0.5000,185.1941743,37.08605255,983.0762372
0.5050,185.1561707,37.04367132,983.0717255
0.5100,185.1159593,37.00191703,983.0676105
0.5150,185.074855,36.95917558,983.0632454
0.5200,185.0316454,36.91674288,983.0591766
0.5250,184.9852452,36.87521211,983.0556755
0.5300,184.9366484,36.83469707,983.0524363
0.5350,184.8847427,36.79417468,983.0495275
0.5400,184.831316,36.75412223,983.0469434
0.5450,184.7761175,36.71424715,983.0446086
0.5500,184.718367,36.67476806,983.0425701
0.5550,184.6587601,36.63483202,983.0406383
0.5600,184.5981953,36.59452027,983.0386507
0.5650,184.5352059,36.55307883,983.0369294
0.5700,184.4701708,36.51210395,983.0355817
0.5750,184.4033516,36.47121279,983.0344551
0.5800,184.3341594,36.42904401,983.0333427
0.5850,184.2648194,36.38526493,983.0321035
0.5900,184.1928103,36.34045333,983.0309842
0.5950,184.119525,36.29375273,983.0298044
0.6000,184.0438917,36.24498727,983.0286206
0.6050,183.9681823,36.19459772,983.0272217
0.6100,183.8908176,36.14267067,983.0257981
0.6150,183.8135072,36.08843997,983.024039
0.6200,183.7371738,36.03158212,983.0219806
0.6250,183.6610062,35.97255367,983.0194293
0.6300,183.5853315,35.91215188,983.0165925
0.6350,183.5092456,35.84946611,983.0133676
0.6400,183.4339033,35.78506911,983.0098856
0.6450,183.3597999,35.71806574,983.0059244
0.6500,183.2854389,35.65009274,983.0017144
0.6550,183.212572,35.57950263,982.9969384
0.6600,183.1405867,35.50684245,982.9917099
0.6650,183.0679088,35.43248308,982.9863456
0.6700,182.9966392,35.35703536,982.9807536
0.6750,182.9264193,35.28039671,982.9748982
0.6800,182.8568525,35.20155394,982.9687287
0.6850,182.7875952,35.12190619,982.9623694
