type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon Ultium-RT BRACHIORAD.","s",0.00000,2000,51080,"uV"

time,value
0.00000,-55.83761233
0.00050,-43.62983602
0.00100,-35.99997583
0.00150,-34.7791982
0.00200,-31.11686531
0.00250,-22.26622748
0.00300,-14.9415617
0.00350,-12.80520084
0.00400,-7.616895912
0.00450,7.642824473
0.00500,28.7012386
0.00550,43.35057017
0.00600,46.40251425
0.00650,40.2986261
0.00700,31.14279387
0.00750,21.98696163
0.00800,14.96749026
0.00850,10.69476855
0.00900,7.032435657
0.00950,3.064908357
0.01000,-0.5974245352
0.01050,-3.038979797
0.01100,-3.038979797
0.01150,-0.5974245352
0.01200,3.675297173
0.01250,7.337630065
0.01300,6.422046842
0.01350,0.6233530956
0.01400,-5.175340651
0.01450,-6.396118282
0.01500,-2.428590981
0.01550,1.233741911
0.01600,0.3181586879
0.01650,-4.564951835
0.01700,-7.311701505
0.01750,-3.649368612
0.01800,2.454519542
0.01850,5.201269211
0.01900,2.75971395
0.01950,-1.207813351
0.02000,-5.480535058
0.02050,-10.05845117
0.02100,-14.9415617
0.02150,-17.38311696
0.02200,-17.99350577
0.02250,-19.21428341
0.02300,-20.74025544
0.02350,-20.43506104
0.02400,-18.909089
0.02450,-17.38311696
0.02500,-13.41558966
0.02550,-3.95456302
0.02600,5.811658027
0.02650,6.72724125
0.02700,-0.9026189429
0.02750,-5.480535058
0.02800,-0.2922301275
0.02850,8.558407696
0.02900,13.44151822
0.02950,15.57787907
0.03000,18.62982315
0.03050,19.24021197
0.03100,14.05190703
0.03150,8.558407696
0.03200,10.99996296
0.03250,18.62982315
0.03300,19.85060078
0.03350,10.38957414
0.03400,-2.428590981
0.03450,-12.50000644
0.03500,-21.96103307
0.03550,-32.64283734
0.03600,-38.7467255
0.03650,-34.16880938
0.03700,-24.40258834
0.03750,-21.96103307
0.03800,-28.37011564
0.03850,-32.33764294
0.03900,-24.09739393
0.03950,-7.92209032
0.04000,6.422046842
0.04050,16.4934623
0.04100,25.03890571
0.04150,32.3635715
0.04200,33.88954354
0.04250,28.7012386
0.04300,23.51293367
0.04350,23.51293367
0.04400,28.09084979
0.04450,33.27915472
0.04500,36.3310988
0.04550,35.41551557
0.04600,29.61682183
0.04650,20.4609896
0.04700,13.13632381
0.04750,11.30515737
0.04800,13.13632381
0.04850,12.22074059
0.04900,3.98049158
0.04950,-9.142867951
