type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon Ultium-RT LAT. TRICEPS","s",0.00000,2000,51080,"uV"

time,value
0.00000,4.188530147
0.00050,4.493724555
0.00100,3.272946924
0.00150,2.052169293
0.00200,2.357363701
0.00250,5.10411337
0.00300,6.630085409
0.00350,4.798918962
0.00400,0.5261972547
0.00450,-2.525746822
0.00500,-3.746524453
0.00550,-3.441330045
0.00600,-2.525746822
0.00650,-1.610163599
0.00700,-1.304969192
0.00750,-0.9997747838
0.00800,-0.6945803761
0.00850,-0.08419156075
0.00900,0.221002847
0.00950,0.221002847
0.01000,-0.08419156075
0.01050,-1.915358007
0.01100,-4.051718861
0.01150,-4.967302084
0.01200,-4.051718861
0.01250,-1.915358007
0.01300,-0.08419156075
0.01350,0.5261972547
0.01400,1.441780478
0.01450,2.357363701
0.01500,2.662558109
0.01550,1.746974885
0.01600,2.052169293
0.01650,3.272946924
0.01700,3.578141332
0.01750,1.441780478
0.01800,-0.3893859684
0.01850,-0.3893859684
0.01900,0.5261972547
0.01950,0.5261972547
0.02000,-0.08419156075
0.02050,-0.3893859684
0.02100,-0.3893859684
0.02150,-0.9997747838
0.02200,-2.220552415
0.02250,-1.915358007
0.02300,-0.6945803761
0.02350,-0.08419156075
0.02400,-0.9997747838
0.02450,-1.915358007
0.02500,-1.304969192
0.02550,-1.304969192
0.02600,-2.525746822
0.02650,-3.441330045
0.02700,-3.136135638
0.02750,-3.441330045
0.02800,-4.967302084
0.02850,-5.882885307
0.02900,-4.662107676
0.02950,-1.915358007
0.03000,-0.3893859684
0.03050,-0.6945803761
0.03100,-0.6945803761
0.03150,-0.08419156075
0.03200,0.5261972547
0.03250,1.13658607
0.03300,2.662558109
0.03350,4.493724555
0.03400,4.493724555
0.03450,2.357363701
0.03500,-0.08419156075
0.03550,-0.08419156075
0.03600,-0.08419156075
0.03650,-0.6945803761
0.03700,-2.83094123
0.03750,-4.051718861
0.03800,-3.746524453
0.03850,-3.136135638
0.03900,-2.220552415
0.03950,-1.304969192
0.04000,-0.3893859684
0.04050,-0.08419156075
0.04100,-0.3893859684
0.04150,-0.6945803761
0.04200,-0.6945803761
0.04250,-1.304969192
0.04300,-2.220552415
0.04350,-2.525746822
0.04400,-1.610163599
0.04450,-1.610163599
0.04500,-2.83094123
0.04550,-4.051718861
0.04600,-3.441330045
0.04650,-1.610163599
0.04700,-0.9997747838
0.04750,-1.610163599
0.04800,-1.610163599
0.04850,-0.6945803761
0.04900,-0.08419156075
0.04950,-0.9997747838
0.05000,-2.220552415
0.05050,-2.220552415
0.05100,-0.9997747838
0.05150,0.221002847
0.05200,1.746974885
0.05250,2.052169293
0.05300,1.746974885
0.05350,1.746974885
0.05400,3.578141332
0.05450,5.409307778
0.05500,5.10411337
0.05550,3.272946924
0.05600,2.052169293
0.05650,2.052169293
0.05700,0.8313916624
0.05750,-2.525746822
0.05800,-5.272496492
0.05850,-5.272496492
0.05900,-3.441330045
0.05950,-1.610163599
0.06000,-0.08419156075
0.06050,0.221002847
0.06100,-0.08419156075
0.06150,-2.525746822
0.06200,-4.051718861
0.06250,-3.441330045
0.06300,-2.220552415
0.06350,-1.915358007
0.06400,-2.220552415
0.06450,-1.304969192
0.06500,0.221002847
0.06550,1.13658607
0.06600,0.8313916624
0.06650,0.5261972547
0.06700,0.8313916624
0.06750,1.13658607
0.06800,1.746974885
0.06850,2.052169293
0.06900,2.662558109
0.06950,3.272946924
0.07000,3.578141332
0.07050,3.578141332
0.07100,2.052169293
0.07150,0.221002847
0.07200,-0.08419156075
0.07250,1.13658607
0.07300,2.357363701
0.07350,1.746974885
0.07400,0.8313916624
0.07450,1.13658607
0.07500,2.357363701
0.07550,3.272946924
0.07600,2.967752516
0.07650,2.052169293
0.07700,0.8313916624
0.07750,0.221002847
0.07800,0.221002847
0.07850,1.746974885
0.07900,3.272946924
0.07950,3.272946924
0.08000,2.662558109
0.08050,2.357363701
0.08100,3.272946924
0.08150,4.798918962
0.08200,6.935279816
0.08250,7.850863039
0.08300,7.240474224
0.08350,5.409307778
0.08400,4.188530147
0.08450,4.493724555
0.08500,3.578141332
0.08550,-0.08419156075
0.08600,-4.051718861
0.08650,-4.662107676
0.08700,-2.525746822
0.08750,-1.304969192
0.08800,-3.441330045
0.08850,-5.272496492
0.08900,-4.051718861
0.08950,-1.915358007
0.09000,-2.220552415
0.09050,-4.662107676
0.09100,-6.188079715
0.09150,-5.882885307
0.09200,-5.882885307
0.09250,-4.967302084
0.09300,-2.220552415
0.09350,1.441780478
0.09400,2.357363701
0.09450,-0.08419156075
0.09500,-2.525746822
0.09550,-1.610163599
0.09600,0.5261972547
0.09650,1.746974885
0.09700,2.052169293
0.09750,2.967752516
0.09800,4.188530147
0.09850,3.883335739
0.09900,2.357363701
0.09950,0.5261972547
0.10000,-0.08419156075
0.10050,-0.3893859684
0.10100,-0.6945803761
0.10150,-0.08419156075
0.10200,0.221002847
0.10250,0.5261972547
0.10300,-0.08419156075
0.10350,-0.6945803761
0.10400,-1.304969192
0.10450,-0.9997747838
0.10500,-0.3893859684
0.10550,0.221002847
0.10600,0.8313916624
0.10650,1.441780478
0.10700,2.052169293
0.10750,2.052169293
0.10800,1.746974885
0.10850,1.746974885
0.10900,2.662558109
0.10950,4.493724555
0.11000,5.409307778
0.11050,4.188530147
0.11100,2.052169293
0.11150,1.13658607
0.11200,1.441780478
0.11250,2.357363701
0.11300,3.272946924
0.11350,2.662558109
0.11400,-0.08419156075
0.11450,-3.136135638
0.11500,-5.272496492
0.11550,-5.272496492
0.11600,-3.441330045
0.11650,-1.304969192
0.11700,-0.08419156075
0.11750,-0.08419156075
0.11800,-0.6945803761
0.11850,-1.304969192
0.11900,-0.3893859684
0.11950,1.746974885
0.12000,3.578141332
0.12050,3.578141332
0.12100,3.578141332
0.12150,4.188530147
0.12200,4.798918962
0.12250,4.493724555
0.12300,4.188530147
0.12350,3.578141332
0.12400,2.052169293
0.12450,-0.08419156075
0.12500,-0.08419156075
0.12550,1.13658607
0.12600,2.662558109
0.12650,1.441780478
0.12700,-0.3893859684
0.12750,-1.610163599
0.12800,-2.525746822
0.12850,-4.051718861
0.12900,-5.577690899
0.12950,-4.967302084
0.13000,-3.136135638
0.13050,-2.220552415
0.13100,-2.220552415
0.13150,-1.610163599
0.13200,-0.08419156075
0.13250,0.221002847
0.13300,-0.6945803761
0.13350,-1.915358007
0.13400,-2.220552415
0.13450,-2.220552415
0.13500,-1.915358007
0.13550,-0.6945803761
0.13600,0.8313916624
0.13650,0.8313916624
0.13700,-1.304969192
0.13750,-3.746524453
0.13800,-4.662107676
0.13850,-4.356913269
0.13900,-4.051718861
0.13950,-3.746524453
0.14000,-2.83094123
0.14050,-2.525746822
0.14100,-3.441330045
0.14150,-4.051718861
0.14200,-3.746524453
0.14250,-2.83094123
0.14300,-2.83094123
0.14350,-3.746524453
0.14400,-4.356913269
0.14450,-4.662107676
0.14500,-4.662107676
0.14550,-4.356913269
0.14600,-3.136135638
0.14650,-1.304969192
0.14700,-0.3893859684
0.14750,-0.9997747838
0.14800,-2.525746822
0.14850,-3.441330045
0.14900,-3.746524453
0.14950,-3.746524453
0.15000,-4.051718861
0.15050,-4.356913269
0.15100,-4.356913269
0.15150,-3.746524453
0.15200,-2.83094123
0.15250,-1.915358007
0.15300,-0.9997747838
0.15350,-0.6945803761
0.15400,-1.304969192
0.15450,-1.915358007
0.15500,-1.304969192
0.15550,-0.08419156075
0.15600,1.441780478
0.15650,0.8313916624
0.15700,-0.3893859684
0.15750,-0.9997747838
0.15800,-0.08419156075
0.15850,-0.08419156075
0.15900,-2.220552415
0.15950,-4.356913269
0.16000,-4.356913269
0.16050,-2.83094123
0.16100,-1.915358007
0.16150,-2.525746822
0.16200,-3.441330045
0.16250,-4.356913269
0.16300,-5.577690899
0.16350,-6.79846853
0.16400,-7.714051753
0.16450,-8.324440569
0.16500,-8.019246161
0.16550,-5.577690899
0.16600,-0.6945803761
0.16650,2.357363701
0.16700,1.13658607
0.16750,-1.915358007
0.16800,-2.83094123
0.16850,-0.9997747838
0.16900,-0.3893859684
0.16950,-2.220552415
0.17000,-4.051718861
0.17050,-3.441330045
0.17100,-2.220552415
0.17150,-2.525746822
0.17200,-3.136135638
0.17250,-2.525746822
0.17300,-1.304969192
0.17350,-1.610163599
0.17400,-2.220552415
0.17450,-1.915358007
0.17500,-0.9997747838
0.17550,-0.6945803761
0.17600,-0.6945803761
0.17650,-0.08419156075
0.17700,-0.08419156075
0.17750,-0.08419156075
0.17800,-0.6945803761
0.17850,-0.08419156075
0.17900,1.13658607
0.17950,2.662558109
0.18000,3.272946924
0.18050,3.272946924
0.18100,3.578141332
0.18150,4.188530147
0.18200,4.798918962
0.18250,4.493724555
0.18300,2.662558109
0.18350,0.5261972547
0.18400,-0.6945803761
0.18450,-1.915358007
0.18500,-3.136135638
0.18550,-3.136135638
0.18600,-1.610163599
0.18650,-0.9997747838
0.18700,-2.220552415
0.18750,-3.441330045
0.18800,-2.220552415
0.18850,-0.08419156075
0.18900,1.441780478
0.18950,2.357363701
0.19000,5.409307778
0.19050,9.987223893
0.19100,11.51319593
0.19150,9.376835078
0.19200,6.019696593
0.19250,4.798918962
0.19300,5.10411337
0.19350,4.798918962
0.19400,4.493724555
0.19450,3.578141332
0.19500,1.746974885
0.19550,-0.08419156075
0.19600,0.5261972547
0.19650,3.883335739
0.19700,6.935279816
0.19750,7.850863039
0.19800,6.935279816
0.19850,6.324891001
0.19900,6.324891001
0.19950,5.714502186
0.20000,5.10411337
0.20050,5.409307778
0.20100,5.714502186
0.20150,5.409307778
0.20200,4.493724555
0.20250,4.798918962
0.20300,5.10411337
0.20350,4.798918962
0.20400,3.883335739
0.20450,2.967752516
0.20500,1.746974885
0.20550,-0.08419156075
0.20600,-1.610163599
0.20650,-0.9997747838
0.20700,0.5261972547
0.20750,1.746974885
0.20800,2.662558109
0.20850,3.272946924
0.20900,2.052169293
0.20950,-1.304969192
0.21000,-3.746524453
0.21050,-2.220552415
0.21100,1.441780478
0.21150,3.578141332
0.21200,3.272946924
0.21250,2.967752516
0.21300,3.578141332
0.21350,3.883335739
0.21400,2.662558109
0.21450,3.272946924
0.21500,5.409307778
0.21550,6.935279816
0.21600,5.409307778
0.21650,3.578141332
0.21700,3.272946924
0.21750,3.272946924
0.21800,1.746974885
0.21850,-0.08419156075
0.21900,-0.9997747838
0.21950,-0.9997747838
0.22000,-1.304969192
0.22050,-1.915358007
0.22100,-1.610163599
0.22150,-0.3893859684
0.22200,-0.08419156075
0.22250,-0.6945803761
0.22300,-1.610163599
0.22350,-1.915358007
0.22400,-2.220552415
0.22450,-2.83094123
0.22500,-4.356913269
0.22550,-6.188079715
0.22600,-7.103662938
0.22650,-6.493274122
0.22700,-4.967302084
0.22750,-4.356913269
0.22800,-3.441330045
0.22850,-1.915358007
0.22900,-0.3893859684
0.22950,-0.6945803761
0.23000,-1.610163599
0.23050,-0.3893859684
0.23100,1.441780478
0.23150,1.13658607
0.23200,-2.220552415
0.23250,-4.356913269
0.23300,-1.915358007
0.23350,1.441780478
0.23400,2.052169293
0.23450,1.13658607
0.23500,1.13658607
0.23550,2.662558109
0.23600,3.883335739
0.23650,5.409307778
0.23700,7.240474224
0.23750,6.324891001
0.23800,0.221002847
0.23850,-7.103662938
0.23900,-10.15560701
0.23950,-7.408857346
0.24000,-4.051718861
0.24050,-3.136135638
0.24100,-2.83094123
0.24150,-1.610163599
0.24200,-1.304969192
0.24250,-3.746524453
0.24300,-6.79846853
0.24350,-8.324440569
0.24400,-8.019246161
0.24450,-7.408857346
0.24500,-6.79846853
0.24550,-5.882885307
0.24600,-4.051718861
0.24650,-2.220552415
0.24700,-0.3893859684
0.24750,0.8313916624
0.24800,1.13658607
0.24850,0.5261972547
0.24900,-0.3893859684
0.24950,-0.9997747838
0.25000,-1.304969192
0.25050,-0.6945803761
0.25100,0.5261972547
0.25150,2.357363701
0.25200,3.272946924
0.25250,2.967752516
0.25300,2.052169293
0.25350,2.052169293
0.25400,2.662558109
0.25450,3.272946924
0.25500,3.272946924
0.25550,2.967752516
0.25600,2.662558109
0.25650,2.052169293
0.25700,1.441780478
0.25750,0.8313916624
0.25800,1.13658607
0.25850,2.052169293
0.25900,3.272946924
0.25950,4.188530147
0.26000,3.578141332
0.26050,2.357363701
0.26100,1.441780478
0.26150,1.746974885
0.26200,2.967752516
0.26250,4.798918962
0.26300,6.019696593
0.26350,5.10411337
0.26400,2.967752516
0.26450,1.13658607
0.26500,1.13658607
0.26550,1.746974885
0.26600,1.441780478
0.26650,0.221002847
0.26700,0.221002847
0.26750,1.13658607
0.26800,1.746974885
0.26850,2.052169293
0.26900,1.746974885
0.26950,1.441780478
0.27000,0.5261972547
0.27050,0.8313916624
0.27100,2.662558109
0.27150,4.493724555
0.27200,4.188530147
0.27250,1.441780478
0.27300,-0.3893859684
0.27350,-0.6945803761
0.27400,-0.08419156075
0.27450,-0.08419156075
0.27500,-0.9997747838
0.27550,-1.304969192
0.27600,-1.610163599
0.27650,-1.915358007
0.27700,-2.83094123
0.27750,-4.356913269
0.27800,-6.493274122
0.27850,-8.629634976
0.27900,-8.324440569
0.27950,-4.662107676
0.28000,-0.3893859684
0.28050,2.357363701
0.28100,3.578141332
0.28150,3.578141332
0.28200,2.967752516
0.28250,0.8313916624
0.28300,-1.915358007
0.28350,-3.136135638
0.28400,-2.83094123
0.28450,-2.83094123
0.28500,-4.967302084
0.28550,-6.79846853
0.28600,-6.79846853
0.28650,-4.662107676
0.28700,-3.441330045
0.28750,-4.051718861
0.28800,-5.272496492
0.28850,-4.662107676
0.28900,-3.136135638
0.28950,-1.304969192
0.29000,-0.3893859684
0.29050,-0.3893859684
0.29100,-0.9997747838
0.29150,-1.304969192
0.29200,-0.6945803761
0.29250,-0.6945803761
0.29300,-0.6945803761
0.29350,-0.6945803761
0.29400,1.13658607
0.29450,3.883335739
0.29500,4.798918962
0.29550,3.578141332
0.29600,1.13658607
0.29650,-0.3893859684
0.29700,-2.525746822
0.29750,-4.662107676
0.29800,-5.577690899
0.29850,-4.051718861
0.29900,-0.9997747838
0.29950,0.8313916624
0.30000,1.746974885
0.30050,2.052169293
0.30100,2.357363701
0.30150,2.662558109
0.30200,2.662558109
0.30250,2.662558109
0.30300,2.052169293
0.30350,0.8313916624
0.30400,-0.08419156075
0.30450,1.13658607
0.30500,3.578141332
0.30550,5.409307778
0.30600,5.10411337
0.30650,4.798918962
0.30700,5.714502186
0.30750,6.630085409
0.30800,6.019696593
0.30850,4.188530147
0.30900,2.662558109
0.30950,1.441780478
0.31000,1.441780478
0.31050,2.662558109
0.31100,4.798918962
0.31150,6.019696593
0.31200,5.409307778
0.31250,4.493724555
0.31300,4.493724555
0.31350,5.10411337
0.31400,5.10411337
0.31450,4.493724555
0.31500,3.578141332
0.31550,2.052169293
0.31600,0.8313916624
0.31650,0.8313916624
0.31700,1.746974885
0.31750,2.662558109
0.31800,2.662558109
0.31850,2.967752516
0.31900,3.883335739
0.31950,3.578141332
0.32000,2.052169293
0.32050,0.5261972547
0.32100,0.8313916624
0.32150,2.052169293
0.32200,2.357363701
0.32250,2.052169293
0.32300,2.357363701
0.32350,3.578141332
0.32400,5.409307778
0.32450,6.324891001
0.32500,5.409307778
0.32550,2.662558109
0.32600,-0.6945803761
0.32650,-2.525746822
0.32700,-1.915358007
0.32750,-0.08419156075
0.32800,0.8313916624
0.32850,0.8313916624
0.32900,0.8313916624
0.32950,1.441780478
0.33000,2.662558109
0.33050,2.967752516
0.33100,2.967752516
0.33150,2.357363701
0.33200,2.357363701
0.33250,2.357363701
0.33300,1.441780478
0.33350,-0.6945803761
0.33400,-2.525746822
0.33450,-2.525746822
0.33500,-1.304969192
0.33550,-0.6945803761
0.33600,-1.915358007
0.33650,-3.136135638
0.33700,-2.83094123
0.33750,-1.610163599
0.33800,-0.6945803761
0.33850,-0.6945803761
0.33900,-2.220552415
0.33950,-4.356913269
0.34000,-5.577690899
0.34050,-4.356913269
0.34100,-1.915358007
0.34150,-0.08419156075
0.34200,0.221002847
0.34250,-0.08419156075
0.34300,-0.08419156075
0.34350,2.052169293
0.34400,4.493724555
0.34450,5.10411337
0.34500,2.052169293
0.34550,-2.525746822
0.34600,-5.577690899
0.34650,-4.662107676
0.34700,-2.220552415
0.34750,-0.6945803761
0.34800,-0.3893859684
0.34850,0.221002847
0.34900,0.8313916624
0.34950,0.8313916624
0.35000,0.5261972547
0.35050,0.8313916624
0.35100,1.746974885
0.35150,1.746974885
0.35200,0.8313916624
0.35250,-0.6945803761
0.35300,-3.136135638
0.35350,-4.967302084
0.35400,-5.272496492
0.35450,-3.441330045
0.35500,-1.304969192
0.35550,-0.9997747838
0.35600,-1.304969192
0.35650,-0.3893859684
0.35700,0.8313916624
0.35750,1.13658607
0.35800,0.221002847
0.35850,0.5261972547
0.35900,2.052169293
0.35950,2.357363701
0.36000,0.221002847
0.36050,-0.6945803761
0.36100,-0.3893859684
0.36150,-0.08419156075
0.36200,-1.610163599
0.36250,-3.136135638
0.36300,-3.746524453
0.36350,-4.662107676
0.36400,-7.103662938
0.36450,-8.629634976
0.36500,-7.714051753
0.36550,-5.272496492
0.36600,-4.662107676
0.36650,-4.662107676
0.36700,-4.356913269
0.36750,-3.746524453
0.36800,-4.356913269
0.36850,-4.662107676
0.36900,-3.746524453
0.36950,-1.915358007
0.37000,-0.9997747838
0.37050,-1.304969192
0.37100,-2.220552415
0.37150,-3.441330045
0.37200,-4.051718861
0.37250,-2.83094123
0.37300,0.8313916624
0.37350,3.883335739
0.37400,2.662558109
0.37450,-0.9997747838
