type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Forearm RT-Acceleration","s",0.0000,200,5172,"mG"

time,x,y,z
0.0000,3.27058773,23.69242145,-8.387124669
0.0050,10.54204499,12.63614784,-5.497528355
0.0100,17.95573027,10.49520791,-10.96975831
0.0150,37.83663252,-0.02125260397,-7.175273236
0.0200,27.20154154,-17.21072324,-3.585311376
0.0250,37.65039726,-4.521167649,1.930949677
0.0300,32.5600292,-7.325179647,0.5635016754
0.0350,31.9420325,-18.74953295,-3.59285474
0.0400,36.90295899,-10.13246673,-1.605074881
0.0450,47.71764551,-14.41754206,-7.904558148
0.0500,52.9463411,-19.63647481,-19.16708145
0.0550,48.5479213,-39.56365277,-27.93538622
0.0600,48.89948811,-46.58843922,-21.31686743
0.0650,41.44494123,-39.8895095,-22.5145168
0.0700,35.02547821,-45.122331,-11.59225035
0.0750,22.16619598,-36.65291096,-18.71923614
0.0800,26.58379765,-24.80605924,-3.445245999
0.0850,21.88484744,-31.36149468,-4.023435683
0.0900,15.41505026,-11.03221852,-4.149601096
0.0950,25.86080979,-25.97196169,-1.39038786
0.1000,34.41906024,-9.602784288,-8.874412516
0.1050,35.79444568,-22.99432379,-13.09983468
0.1100,47.59890597,-23.21782962,-10.22317691
0.1150,53.72461258,-15.7964771,-14.61030021
0.1200,45.9133447,-28.56385428,-13.95084476
0.1250,45.20139996,-25.92574491,-6.766663391
0.1300,31.50676025,-18.49408769,-1.858670439
0.1350,30.99331889,-16.55441056,-1.878647174
0.1400,22.64791302,-5.317212673,-0.9600909384
0.1450,9.124540079,-14.38123653,-6.786927172
0.1500,23.87687712,-3.612270939,-2.658793265
0.1550,17.45574744,-8.181656751,-6.098721839
0.1600,9.50051137,-13.72022987,-14.02474939
0.1650,22.55637586,1.294178457,-15.87135677
0.1700,13.23781381,-4.791434377,-17.17550904
0.1750,25.84798171,-7.937431469,-7.481612902
0.1800,27.09118297,-14.48879734,-2.3712407
0.1850,26.84803396,-4.312993772,-3.811033413
0.1900,31.36853893,-5.766187088,3.328198295
0.1950,21.51012697,-2.297155075,-4.076418214
0.2000,17.81712736,-4.948161363,0.5210262368
0.2050,22.23981839,-11.21583579,7.23614853
0.2100,11.63016233,-7.302893878,5.044846163
0.2150,19.15468508,-12.00237027,13.10180431
0.2200,20.73856189,-0.6088618388,11.11334585
0.2250,15.59166135,-11.39120167,11.32808662
0.2300,22.6090743,-2.7159901,14.06541738
0.2350,22.46627869,-5.573735377,16.0589249
0.2400,30.9690134,-5.50888477,12.32750917
0.2450,26.284442,-4.33221212,8.237356404
0.2500,33.7427974,-0.5557021117,9.400430522
0.2550,34.00183011,-3.65180098,6.763347308
