type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Pitch","s",0.0000,200,5088,"deg"

time,value
0.0000,14.28009564
0.0050,14.26855966
0.0100,14.25702396
0.0150,14.24548853
0.0200,14.23355763
0.0250,14.22140176
0.0300,14.20920036
0.0350,14.19713424
0.0400,14.1853799
0.0450,14.17410514
0.0500,14.163464
0.0550,14.15359175
0.0600,14.14460173
0.0650,14.13658375
0.0700,14.1296027
0.0750,14.12369749
0.0800,14.11888133
0.0850,14.11514335
0.0900,14.11245046
0.0950,14.11074969
0.1000,14.10997078
0.1050,14.11002835
0.1100,14.11082381
0.1150,14.11224803
0.1200,14.11418485
0.1250,14.11651493
0.1300,14.11911893
0.1350,14.12187943
0.1400,14.124682
0.1450,14.12741608
0.1500,14.1299762
0.1550,14.12327934
0.1600,14.1163976
0.1650,14.10919761
0.1700,14.10177605
0.1750,14.09403802
0.1800,14.08597933
0.1850,14.07745959
0.1900,14.06844424
0.1950,14.05895497
0.2000,14.04907351
0.2050,14.03869354
0.2100,14.02784538
0.2150,14.01660951
0.2200,14.00515979
0.2250,13.99342284
0.2300,13.98136227
0.2350,13.96914704
0.2400,13.95676659
0.2450,13.94409829
0.2500,13.93140034
0.2550,13.91865763
0.2600,13.90593963
0.2650,13.89312815
0.2700,13.88025419
0.2750,13.8674491
0.2800,13.85473506
0.2850,13.84201461
0.2900,13.82950678
0.2950,13.81723097
0.3000,13.80509489
0.3050,13.7933485
0.3100,13.78186076
0.3150,13.7709167
0.3200,13.76039761
0.3250,13.75034017
0.3300,13.74089407
0.3350,13.73211631
0.3400,13.72395467
0.3450,13.71631933
0.3500,13.70939917
0.3550,13.70310749
0.3600,13.69743841
0.3650,13.69239582
0.3700,13.68802928
0.3750,13.68424348
0.3800,13.6810343
0.3850,13.67850275
0.3900,13.6765431
0.3950,13.67532388
0.4000,13.67491327
0.4050,13.67521257
0.4100,13.67634969
0.4150,13.67824649
0.4200,13.68093441
0.4250,13.6844633
0.4300,13.68869402
0.4350,13.69376256
0.4400,13.69946509
0.4450,13.70568092
0.4500,13.71266175
0.4550,13.72030121
0.4600,13.72839574
0.4650,13.73719993
0.4700,13.7465209
0.4750,13.75637887
0.4800,13.76672661
0.4850,13.7776449
0.4900,13.78898103
0.4950,13.80083113
0.5000,13.81345469
0.5050,13.82663103
0.5100,13.8404884
0.5150,13.85499701
0.5200,13.87016988
0.5250,13.88595934
0.5300,13.90232842
0.5350,13.91920063
0.5400,13.93676414
0.5450,13.95498062
0.5500,13.97376041
0.5550,13.99316066
0.5600,14.01299603
0.5650,14.0336032
0.5700,14.05497894
0.5750,14.07679956
0.5800,14.09935657
0.5850,14.12260359
0.5900,14.14661061
0.5950,14.17113689
0.6000,14.1963769
0.6050,14.22221935
0.6100,14.24877582
0.6150,14.27594432
0.6200,14.30394254
0.6250,14.33278703
0.6300,14.36248001
0.6350,14.39311588
0.6400,14.42470303
0.6450,14.45742707
0.6500,14.49114133
0.6550,14.52593339
0.6600,14.56182539
0.6650,14.59888896
0.6700,14.63714699
0.6750,14.67663925
0.6800,14.71732536
0.6850,14.75911188
0.6900,14.80224137
0.6950,14.84663143
0.7000,14.89206219
0.7050,14.93856649
0.7100,14.9862904
0.7150,15.03534803
0.7200,15.08560778
0.7250,15.13716366
0.7300,15.19017799
0.7350,15.24444981
0.7400,15.30027746
0.7450,15.35760841
0.7500,15.41640294
0.7550,15.47684424
0.7600,15.53912613
0.7650,15.60330677
0.7700,15.66946483
0.7750,15.73763448
0.7800,15.80793941
0.7850,15.8804328
0.7900,15.95534317
0.7950,16.0325568
0.8000,16.11211904
0.8050,16.19412455
0.8100,16.27845628
0.8150,16.3654123
0.8200,16.45480311
0.8250,16.54696764
0.8300,16.641922
