type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Course","s",0.0000,200,5008,"deg"

time,value
0.0000,-31.14206609
0.0050,-31.1379476
0.0100,-31.13382909
0.0150,-31.12971055
0.0200,-31.12536456
0.0250,-31.12083196
0.0300,-31.11615498
0.0350,-31.11137463
0.0400,-31.1065283
0.0450,-31.10164774
0.0500,-31.09675816
0.0550,-31.09187886
0.0600,-31.08702417
0.0650,-31.0822038
0.0700,-31.07742301
0.0750,-31.07268435
0.0800,-31.06799025
0.0850,-31.06334576
0.0900,-31.05875985
0.0950,-31.05424446
0.1000,-31.04981222
0.1050,-31.04547487
0.1100,-31.0412431
0.1150,-31.03712692
0.1200,-31.03313649
0.1250,-31.02928354
0.1300,-31.02558308
0.1350,-31.02205433
0.1400,-31.01872102
0.1450,-31.01561118
0.1500,-31.01275638
0.1550,-31.00800133
0.1600,-31.00378746
0.1650,-31.00011094
0.1700,-30.99684967
0.1750,-30.99411169
0.1800,-30.9919053
0.1850,-30.99018703
0.1900,-30.98907795
0.1950,-30.98846486
0.2000,-30.98814698
0.2050,-30.9880745
0.2100,-30.98845324
0.2150,-30.98922956
0.2200,-30.99026169
0.2250,-30.99157055
0.2300,-30.99308392
0.2350,-30.99476639
0.2400,-30.99673354
0.2450,-30.99895026
0.2500,-31.00113666
0.2550,-31.00335618
0.2600,-31.00548618
0.2650,-31.00760199
0.2700,-31.00964346
0.2750,-31.01149332
0.2800,-31.01313497
0.2850,-31.01444939
0.2900,-31.01538634
0.2950,-31.0159287
0.3000,-31.01600878
0.3050,-31.01547257
0.3100,-31.01421603
0.3150,-31.0123621
0.3200,-31.00996678
0.3250,-31.00696953
0.3300,-31.00336229
0.3350,-30.99928468
0.3400,-30.99475735
0.3450,-30.98969908
0.3500,-30.98423901
0.3550,-30.97853569
0.3600,-30.97242765
0.3650,-30.96603928
0.3700,-30.95944838
0.3750,-30.95259651
0.3800,-30.94560124
0.3850,-30.9387735
0.3900,-30.93196483
0.3950,-30.92541099
0.4000,-30.91890005
0.4050,-30.91271981
0.4100,-30.90665161
0.4150,-30.90097211
0.4200,-30.89544548
0.4250,-30.89022098
0.4300,-30.88530879
0.4350,-30.88076808
0.4400,-30.87648445
0.4450,-30.87264048
0.4500,-30.86920826
0.4550,-30.86618589
0.4600,-30.8634603
0.4650,-30.86102784
0.4700,-30.85899043
0.4750,-30.85714923
0.4800,-30.85552518
0.4850,-30.85392174
0.4900,-30.85219789
0.4950,-30.84997041
0.5000,-30.84742812
0.5050,-30.84414081
0.5100,-30.83986219
0.5150,-30.83467794
0.5200,-30.82839463
0.5250,-30.8211028
0.5300,-30.81254448
0.5350,-30.80256219
0.5400,-30.79085548
0.5450,-30.77718419
0.5500,-30.76150408
0.5550,-30.74342093
0.5600,-30.72277712
0.5650,-30.69929253
0.5700,-30.67286965
0.5750,-30.64350354
0.5800,-30.61128919
0.5850,-30.57647417
0.5900,-30.53907455
0.5950,-30.4993161
0.6000,-30.45739606
0.6050,-30.41352136
0.6100,-30.36784755
0.6150,-30.32057928
0.6200,-30.27158246
0.6250,-30.22099396
0.6300,-30.16905616
0.6350,-30.11607682
0.6400,-30.06188848
0.6450,-30.00704941
0.6500,-29.95165407
0.6550,-29.8959525
0.6600,-29.84011547
0.6650,-29.78451697
0.6700,-29.72915207
0.6750,-29.67433624
0.6800,-29.62004687
0.6850,-29.566186
0.6900,-29.51300001
0.6950,-29.46023008
0.7000,-29.40828788
