type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Elbow RT","s",0.0000,200,5008,"mm"

time,x,y,z
0.0000,171.0528159,-33.00533743,1237.244643
0.0050,171.0669475,-33.00885779,1237.241942
0.0100,171.081079,-33.01237938,1237.239242
0.0150,171.0952103,-33.01590221,1237.236543
0.0200,171.1102097,-33.01973021,1237.23367
0.0250,171.1259468,-33.02383361,1237.230648
0.0300,171.1422727,-33.02818408,1237.227505
0.0350,171.1590276,-33.03276324,1237.224271
0.0400,171.1760497,-33.037565,1237.220973
0.0450,171.1931841,-33.042591,1237.217638
0.0500,171.2102851,-33.04784429,1237.214291
0.0550,171.227215,-33.05332691,1237.210953
0.0600,171.2438411,-33.05903723,1237.207648
0.0650,171.2600365,-33.06496238,1237.204397
0.0700,171.2756847,-33.07107119,1237.201223
0.0750,171.2906859,-33.07731497,1237.198147
0.0800,171.3049578,-33.08363344,1237.195188
0.0850,171.3184318,-33.08996141,1237.192362
0.0900,171.3310511,-33.09623628,1237.189685
0.0950,171.3427722,-33.10240522,1237.187168
0.1000,171.3535638,-33.10842927,1237.184821
0.1050,171.3634029,-33.1142835,1237.182648
0.1100,171.3722746,-33.1199544,1237.180654
0.1150,171.3801737,-33.12543832,1237.178839
0.1200,171.3871011,-33.13073952,1237.177202
0.1250,171.3930584,-33.13586437,1237.175744
0.1300,171.3980461,-33.1408152,1237.174463
0.1350,171.4020647,-33.14558862,1237.17336
0.1400,171.405116,-33.15017492,1237.172437
0.1450,171.4072106,-33.15455586,1237.171694
0.1500,171.4083814,-33.15870298,1237.171129
0.1550,171.4210968,-33.15874895,1237.168992
0.1600,171.4330277,-33.15849528,1237.167015
0.1650,171.4443225,-33.15786874,1237.165171
0.1700,171.45511,-33.1563035,1237.163498
0.1750,171.4664346,-33.15210141,1237.161981
0.1800,171.4771241,-33.14681914,1237.160664
0.1850,171.4873336,-33.1398545,1237.159587
0.1900,171.4974048,-33.13215151,1237.158605
0.1950,171.5073591,-33.12361228,1237.157716
0.2000,171.5178251,-33.11415249,1237.156815
0.2050,171.5288466,-33.10375733,1237.155903
0.2100,171.5393463,-33.09253661,1237.15515
0.2150,171.5503975,-33.0804069,1237.154395
0.2200,171.5609677,-33.06702659,1237.153829
0.2250,171.5729364,-33.05272941,1237.153103
0.2300,171.5852343,-33.03720663,1237.152432
0.2350,171.5978072,-33.02105946,1237.151771
0.2400,171.6099681,-33.00397144,1237.151264
0.2450,171.6222247,-32.98650503,1237.150769
0.2500,171.6348897,-32.96768984,1237.150316
0.2550,171.6482345,-32.94907886,1237.149737
0.2600,171.6603999,-32.93000859,1237.14939
0.2650,171.6725663,-32.91089601,1237.149036
0.2700,171.6852586,-32.89176453,1237.148585
0.2750,171.6978168,-32.87320554,1237.148094
0.2800,171.7101631,-32.85385304,1237.147702
0.2850,171.7229008,-32.8347017,1237.147217
0.2900,171.7353572,-32.81540527,1237.146786
0.2950,171.7460777,-32.79719438,1237.146535
0.3000,171.7564641,-32.77847239,1237.146372
0.3050,171.7660005,-32.76090751,1237.14623
0.3100,171.7751212,-32.7440744,1237.146075
0.3150,171.7832083,-32.72762039,1237.146054
0.3200,171.7913137,-32.71155001,1237.14598
0.3250,171.8003021,-32.69630852,1237.145662
0.3300,171.8097139,-32.68206986,1237.14517
0.3350,171.8179594,-32.668071,1237.144846
0.3400,171.8257704,-32.65521139,1237.144475
0.3450,171.8321623,-32.64309999,1237.144269
0.3500,171.8386996,-32.63243448,1237.1439
0.3550,171.8448818,-32.6222421,1237.143548
0.3600,171.8502912,-32.6134519,1237.143196
0.3650,171.8556572,-32.60536885,1237.142787
0.3700,171.8602847,-32.59791009,1237.142448
0.3750,171.8635711,-32.59153454,1237.142244
0.3800,171.8656456,-32.58609378,1237.142156
0.3850,171.8669995,-32.5814061,1237.142127
0.3900,171.8678997,-32.57682406,1237.142163
0.3950,171.8679411,-32.5737187,1237.14222
0.4000,171.8673437,-32.57003728,1237.142447
0.4050,171.8661944,-32.56716617,1237.142704
0.4100,171.8648911,-32.5645273,1237.142975
0.4150,171.8631201,-32.5610924,1237.143408
0.4200,171.8614996,-32.55772886,1237.14382
0.4250,171.8585113,-32.55413911,1237.1445
0.4300,171.8556028,-32.55109885,1237.145115
0.4350,171.8525519,-32.5471712,1237.14585
0.4400,171.8484733,-32.54347396,1237.146741
0.4450,171.843892,-32.53946503,1237.147763
0.4500,171.8397099,-32.53458196,1237.148804
0.4550,171.8355841,-32.53035283,1237.14979
0.4600,171.8314695,-32.52582936,1237.150818
0.4650,171.8260544,-32.52123351,1237.152081
0.4700,171.8213998,-32.51684256,1237.153206
0.4750,171.8161173,-32.5133763,1237.154356
0.4800,171.8112485,-32.51025327,1237.155411
0.4850,171.806513,-32.50706648,1237.156457
0.4900,171.8024034,-32.50280329,1237.157494
0.4950,171.7989176,-32.49949401,1237.158342
0.5000,171.7964595,-32.49514687,1237.159106
0.5050,171.7959688,-32.49115747,1237.159497
0.5100,171.7982526,-32.48691092,1237.159432
0.5150,171.8025632,-32.48293981,1237.158974
0.5200,171.809204,-32.47917012,1237.158082
0.5250,171.8175536,-32.47509063,1237.156911
0.5300,171.8290353,-32.47143339,1237.155137
0.5350,171.8438812,-32.46763111,1237.152772
0.5400,171.8625411,-32.46400161,1237.149707
0.5450,171.8852352,-32.45996424,1237.145968
0.5500,171.9109189,-32.45609089,1237.141669
0.5550,171.9400049,-32.45177277,1237.136789
0.5600,171.9730733,-32.44741112,1237.131184
0.5650,172.0100129,-32.44252129,1237.124931
0.5700,172.0509014,-32.43710878,1237.118003
0.5750,172.09421,-32.43098422,1237.110672
0.5800,172.1403146,-32.42413592,1237.102884
0.5850,172.1891497,-32.41715469,1237.094591
0.5900,172.2399654,-32.41077774,1237.085854
0.5950,172.2934632,-32.40257515,1237.076781
0.6000,172.3488693,-32.39433388,1237.06735
0.6050,172.4059464,-32.38621792,1237.057581
0.6100,172.4647771,-32.37785148,1237.047498
0.6150,172.525142,-32.36998093,1237.037064
0.6200,172.5856437,-32.36287149,1237.026501
0.6250,172.6459805,-32.35625618,1237.015874
0.6300,172.7062305,-32.35022351,1237.005171
0.6350,172.7664432,-32.34538448,1236.994337
0.6400,172.8258644,-32.34242452,1236.983435
0.6450,172.8845195,-32.34091871,1236.972505
0.6500,172.9409766,-32.34103302,1236.961771
0.6550,172.9952776,-32.34364117,1236.95114
0.6600,173.0462742,-32.34825008,1236.94086
0.6650,173.0934444,-32.35576209,1236.930938
0.6700,173.1372407,-32.36439009,1236.921459
0.6750,173.1776835,-32.37478241,1236.912365
0.6800,173.2128039,-32.38679354,1236.904006
0.6850,173.2426818,-32.4000499,1236.896397
0.6900,173.2673778,-32.41411124,1236.889572
0.6950,173.2865896,-32.42809789,1236.883669
0.7000,173.2993264,-32.4422833,1236.878827
0.7050,173.3058707,-32.45576321,1236.875079
0.7100,173.3067436,-32.46861444,1236.872344
0.7150,173.301161,-32.48022142,1236.870808
0.7200,173.2897198,-32.49084538,1236.870354
0.7250,173.2729898,-32.49984702,1236.870943
0.7300,173.2497523,-32.50642807,1236.872869
0.7350,173.2205637,-32.51258146,1236.87585
0.7400,173.1856332,-32.51696356,1236.879984
0.7450,173.1457622,-32.52116259,1236.884986
0.7500,173.1006123,-32.52601915,1236.890835
0.7550,173.0515187,-32.53076208,1236.897389
0.7600,172.9988383,-32.53614478,1236.904514
0.7650,172.9438905,-32.54239153,1236.911971
0.7700,172.88605,-32.54998194,1236.919823
0.7750,172.8268028,-32.55964607,1236.927757
0.7800,172.7663712,-32.57126286,1236.935739
0.7850,172.7060282,-32.5864699,1236.943416
0.7900,172.6451589,-32.60570565,1236.950844
0.7950,172.5847493,-32.62808014,1236.95795
0.8000,172.5247191,-32.65428617,1236.964688
0.8050,172.4651749,-32.68346227,1236.97112
0.8100,172.4058771,-32.71669683,1236.977172
0.8150,172.348533,-32.75277544,1236.982679
0.8200,172.2924817,-32.79171549,1236.987742
0.8250,172.2388793,-32.83333305,1236.992181
0.8300,172.187065,-32.87759767,1236.99612
0.8350,172.1378645,-32.92327304,1236.999528
0.8400,172.0904531,-32.97046112,1237.002524
0.8450,172.0456003,-33.01948717,1237.00494
0.8500,172.0045803,-33.07068769,1237.006546
0.8550,171.9666782,-33.12379017,1237.007472
0.8600,171.9322703,-33.17785525,1237.007743
0.8650,171.9018444,-33.23400084,1237.007168
0.8700,171.8745555,-33.29304624,1237.005821
0.8750,171.8522972,-33.35547614,1237.003344
0.8800,171.8353592,-33.42152341,1236.999656
0.8850,171.8234658,-33.4904412,1236.994869
0.8900,171.8171314,-33.56238585,1236.988877
0.8950,171.8167338,-33.63944012,1236.981444
0.9000,171.82207,-33.72075131,1236.972664
0.9050,171.8337406,-33.80525552,1236.962545
0.9100,171.8524835,-33.89388198,1236.950876
0.9150,171.8777006,-33.9850887,1236.937894
0.9200,171.9094992,-34.07976414,1236.923518
0.9250,171.9475502,-34.17719386,1236.907869
0.9300,171.9915098,-34.27770323,1236.890977
0.9350,172.0410154,-34.38004261,1236.873002
0.9400,172.0943119,-34.4836015,1236.854306
0.9450,172.1518874,-34.5889095,1236.834762
0.9500,172.2125431,-34.69526106,1236.814628
0.9550,172.2751953,-34.80090367,1236.79425
0.9600,172.33882,-34.9061012,1236.773768
0.9650,172.4024665,-35.01055222,1236.75336
0.9700,172.465778,-35.11492535,1236.733043
0.9750,172.5265195,-35.217702,1236.713308
0.9800,172.5852127,-35.3184969,1236.694091
0.9850,172.6406185,-35.41814946,1236.675524
0.9900,172.6909499,-35.51612908,1236.657954
0.9950,172.7360951,-35.61270699,1236.641368
1.0000,172.7768401,-35.7080231,1236.625606
1.0050,172.8115843,-35.80102445,1236.61103
1.0100,172.8398872,-35.89254571,1236.597638
1.0150,172.8627515,-35.98217075,1236.585293
1.0200,172.8790448,-36.06976362,1236.574201
1.0250,172.8890098,-36.15546082,1236.564307
1.0300,172.8924369,-36.23847202,1236.55571
1.0350,172.8906731,-36.3178361,1236.54826
1.0400,172.8831628,-36.39381235,1236.542034
1.0450,172.8700342,-36.46613352,1236.537034
1.0500,172.8516189,-36.53455693,1236.53323
1.0550,172.8264963,-36.5995552,1236.530814
