type,name,time_units,begin_time,frequency,count,units
signal_4d,"Noraxon MyoMotion-Segments-Forearm RT-Orientation","s",0.0000,200,4916,""

time,x,y,z,w
0.0000,0.1529458985,-0.6205938321,-0.7418248923,0.202895729
0.0050,0.1530172226,-0.6205800493,-0.7418031989,0.2029634108
0.0100,0.1530885452,-0.6205662602,-0.7417814977,0.2030310905
0.0150,0.1531598661,-0.6205524646,-0.7417597889,0.2030987681
0.0200,0.153236026,-0.6205376176,-0.7417364947,0.2031717449
0.0250,0.1533163978,-0.6205218217,-0.7417117738,0.2032495893
0.0300,0.1534002819,-0.6205051935,-0.7416858039,0.2033318143
0.0350,0.1534869517,-0.6204878529,-0.7416587719,0.2034179101
0.0400,0.1535756859,-0.6204699172,-0.741630866,0.2035073688
0.0450,0.1536657871,-0.6204514985,-0.7416022706,0.2035996957
0.0500,0.1537565894,-0.6204326999,-0.741573167,0.2036944135
0.0550,0.1538474648,-0.6204136081,-0.741543737,0.2037910662
0.0600,0.1539378306,-0.6203942916,-0.7415141627,0.2038892196
0.0650,0.1540271539,-0.6203748043,-0.741484624,0.2039884565
0.0700,0.1541149452,-0.620355188,-0.7414552998,0.2040883701
0.0750,0.1542007399,-0.6203354728,-0.7414263733,0.2041885553
0.0800,0.1542840795,-0.6203156781,-0.7413980377,0.2042885996
0.0850,0.1543645039,-0.6202958196,-0.741370494,0.2043880787
0.0900,0.1544415571,-0.6202759196,-0.7413439394,0.2044865582
0.0950,0.1545148004,-0.6202560162,-0.7413185564,0.2045835984
0.1000,0.1545838219,-0.6202361645,-0.7412945092,0.2046787555
0.1050,0.1546482478,-0.6202164309,-0.7412719463,0.20477158
0.1100,0.1547077564,-0.6201968856,-0.7412510038,0.204861618
0.1150,0.1547620871,-0.6201776,-0.7412318048,0.2049484141
0.1200,0.1548110402,-0.6201586444,-0.741214459,0.2050315179
0.1250,0.1548544761,-0.6201400839,-0.7411990628,0.2051104992
0.1300,0.1548923208,-0.6201219715,-0.7411856986,0.2051849644
0.1350,0.1549245712,-0.6201043424,-0.741174436,0.2052545669
0.1400,0.1549512938,-0.6200872115,-0.7411653316,0.2053190151
0.1450,0.1549726269,-0.6200705765,-0.7411584225,0.2053780852
0.1500,0.1549887908,-0.6200544218,-0.7411537145,0.2054316434
0.1550,0.1550682132,-0.6200247041,-0.7411213212,0.2055782159
0.1600,0.1551422854,-0.6199958142,-0.7410905595,0.205720306
0.1650,0.1552114909,-0.6199682555,-0.7410612253,0.2058567842
0.1700,0.1552773071,-0.6199416373,-0.7410335208,0.2059870027
0.1750,0.1553371534,-0.6199166956,-0.7410067468,0.2061132226
0.1800,0.1553925604,-0.6198935879,-0.7409809748,0.2062335737
0.1850,0.1554447464,-0.619872126,-0.7409558081,0.2063491427
0.1900,0.1554945345,-0.619851814,-0.7409312128,0.2064609318
0.1950,0.1555424161,-0.6198335,-0.7409061617,0.2065697187
0.2000,0.1555895223,-0.6198175139,-0.7408802211,0.2066752235
0.2050,0.1556352023,-0.619803251,-0.7408537784,0.2067783664
0.2100,0.1556812898,-0.6197908801,-0.740826197,0.2068795467
0.2150,0.1557269183,-0.6197796072,-0.7407983256,0.2069787576
0.2200,0.1557742716,-0.6197707893,-0.740768329,0.2070768645
0.2250,0.1558215983,-0.6197639567,-0.74073694,0.2071739682
0.2300,0.1558709336,-0.6197578447,-0.7407048699,0.2072697797
0.2350,0.155919945,-0.6197533751,-0.7406716631,0.2073649256
0.2400,0.1559696378,-0.6197501675,-0.7406376324,0.2074586693
0.2450,0.1560197703,-0.6197490578,-0.7406017644,0.2075523143
0.2500,0.1560703424,-0.6197500317,-0.7405640343,0.2076459911
0.2550,0.1561228349,-0.6197530909,-0.740524322,0.2077390077
0.2600,0.1561757063,-0.6197574105,-0.7404835056,0.2078318521
0.2650,0.1562313743,-0.6197639056,-0.740440197,0.207924923
0.2700,0.156287916,-0.619771348,-0.7403959567,0.2080177656
0.2750,0.156345035,-0.6197813533,-0.7403495359,0.2081102326
0.2800,0.1564020162,-0.6197927981,-0.7403021607,0.2082018434
0.2850,0.1564581717,-0.6198057146,-0.740253752,0.2082933012
0.2900,0.1565122879,-0.6198201463,-0.7402049954,0.2083829525
0.2950,0.1565639738,-0.6198354655,-0.7401563888,0.2084711919
0.3000,0.1566127124,-0.6198522977,-0.7401076945,0.2085573971
0.3050,0.1566577521,-0.6198699282,-0.7400593626,0.2086426625
0.3100,0.1567003405,-0.6198876829,-0.7400118049,0.2087265976
0.3150,0.1567391084,-0.6199068379,-0.7399647757,0.2088073155
0.3200,0.1567743714,-0.6199271377,-0.739918031,0.2088862078
0.3250,0.1568050928,-0.6199480266,-0.7398721119,0.2089637893
0.3300,0.1568331108,-0.6199698217,-0.7398263265,0.2090401927
0.3350,0.1568583471,-0.6199923057,-0.7397808854,0.2091153781
0.3400,0.1568785911,-0.6200158274,-0.7397365623,0.2091872364
0.3450,0.1568949139,-0.6200394439,-0.7396935635,0.2092570337
0.3500,0.1569066276,-0.6200631147,-0.7396522734,0.2093240514
0.3550,0.1569150182,-0.620085693,-0.7396134933,0.2093878958
0.3600,0.1569192373,-0.6201075185,-0.7395766219,0.2094503251
0.3650,0.1569199035,-0.620128363,-0.7395421695,0.2095097536
0.3700,0.1569152758,-0.6201488704,-0.7395094483,0.2095680095
0.3750,0.1569064035,-0.6201682497,-0.7394794238,0.2096232439
0.3800,0.1568932977,-0.6201871906,-0.7394514486,0.2096756947
0.3850,0.1568784709,-0.6202050179,-0.7394252196,0.2097265498
0.3900,0.1568603518,-0.6202219892,-0.739401056,0.2097751001
0.3950,0.1568406919,-0.6202378015,-0.7393784695,0.2098226534
0.4000,0.1568207378,-0.6202521866,-0.7393577107,0.2098681893
0.4050,0.1567998601,-0.6202662066,-0.7393381563,0.209911237
0.4100,0.1567790923,-0.6202796925,-0.7393197979,0.2099515557
0.4150,0.1567566137,-0.6202930491,-0.7393026699,0.2099891894
0.4200,0.1567328597,-0.6203056911,-0.7392872869,0.2100237313
0.4250,0.1567085224,-0.6203190543,-0.7392719397,0.2100564425
0.4300,0.1566833776,-0.6203328879,-0.739256939,0.2100871381
0.4350,0.1566574331,-0.6203463597,-0.7392428685,0.2101162155
0.4400,0.1566303823,-0.6203604906,-0.7392292582,0.2101425443
0.4450,0.1566023095,-0.6203761027,-0.7392153098,0.2101664428
0.4500,0.1565739392,-0.6203915082,-0.7392018259,0.2101895305
0.4550,0.1565442779,-0.6204074531,-0.7391885184,0.2102113588
0.4600,0.1565128629,-0.6204234646,-0.7391761735,0.2102309033
0.4650,0.1564807236,-0.6204396748,-0.7391640068,0.2102497662
0.4700,0.1564454741,-0.6204561004,-0.7391527501,0.2102670997
0.4750,0.1564111559,-0.6204721021,-0.7391421798,0.2102825693
0.4800,0.156375828,-0.620488487,-0.7391315064,0.2102980126
0.4850,0.1563392525,-0.6205050619,-0.7391212076,0.2103124977
0.4900,0.1563020434,-0.620522158,-0.7391110633,0.2103253639
0.4950,0.1562634117,-0.6205387999,-0.7391017349,0.2103377508
0.5000,0.1562237707,-0.6205558988,-0.739092708,0.2103484699
0.5050,0.1561821303,-0.6205730709,-0.7390843475,0.210358107
0.5100,0.1561377094,-0.6205905589,-0.7390768115,0.2103659681
0.5150,0.156091366,-0.6206092709,-0.7390688436,0.2103731512
0.5200,0.1560431034,-0.620627158,-0.739061985,0.2103802817
0.5250,0.1559919537,-0.620644718,-0.7390557453,0.210388331
0.5300,0.15593544,-0.6206631458,-0.7390495214,0.2103977257
0.5350,0.1558739402,-0.6206798682,-0.7390452688,0.2104089035
0.5400,0.1558044674,-0.6206959481,-0.7390423846,0.2104230539
0.5450,0.1557265596,-0.6207098587,-0.7390424507,0.2104394593
0.5500,0.1556393321,-0.6207223322,-0.7390449509,0.2104584165
0.5550,0.1555409925,-0.6207330208,-0.7390501451,0.2104813521
0.5600,0.1554309394,-0.6207419499,-0.7390580969,0.2105083944
0.5650,0.1553090802,-0.6207486756,-0.7390692086,0.2105394887
0.5700,0.1551767136,-0.6207528282,-0.7390835075,0.2105746491
0.5750,0.1550344687,-0.6207538438,-0.7391008899,0.2106154162
0.5800,0.1548808189,-0.6207521545,-0.739120729,0.2106638141
0.5850,0.1547167824,-0.6207474123,-0.7391437257,0.2107176311
0.5900,0.1545424985,-0.620739935,-0.7391694495,0.2107773093
0.5950,0.1543564223,-0.6207304342,-0.7391976599,0.2108426963
0.6000,0.1541557895,-0.6207185888,-0.7392293369,0.2109132842
0.6050,0.1539413269,-0.6207047271,-0.7392641034,0.2109888506
0.6100,0.1537118285,-0.6206879743,-0.7393029016,0.2110694956
0.6150,0.1534664977,-0.620669234,-0.7393450873,0.2111553407
0.6200,0.153205099,-0.6206469639,-0.7393913342,0.2112486655
0.6250,0.1529280883,-0.6206202933,-0.7394423994,0.2113489751
0.6300,0.1526341842,-0.6205892901,-0.7394978038,0.2114585939
0.6350,0.1523250111,-0.6205531674,-0.7395577226,0.2115779581
0.6400,0.1520015556,-0.6205110941,-0.7396218149,0.2117098961
0.6450,0.1516645091,-0.6204631203,-0.7396898463,0.2118544885
0.6500,0.15131421,-0.6204084309,-0.7397620308,0.212013034
0.6550,0.1509518999,-0.6203482187,-0.73983694,0.2121860356
0.6600,0.1505767066,-0.6202818334,-0.739915822,0.2123715586
0.6650,0.1501894209,-0.6202090534,-0.7399978951,0.2125723011
0.6700,0.1497915109,-0.6201292692,-0.740083794,0.2127866786
0.6750,0.1493824486,-0.6200428855,-0.7401727826,0.2130163282
0.6800,0.1489638564,-0.6199490238,-0.7402652292,0.2132612665
0.6850,0.1485328733,-0.6198485156,-0.7403612874,0.2135204145
0.6900,0.148092558,-0.619740836,-0.7404606508,0.2137940952
0.6950,0.147642487,-0.6196266907,-0.7405634958,0.214079819
0.7000,0.1471829675,-0.6195049454,-0.7406703226,0.2143788
0.7050,0.1467167225,-0.6193753658,-0.7407814758,0.2146885296
0.7100,0.1462430779,-0.6192388361,-0.7408960282,0.2150100029
0.7150,0.1457656334,-0.6190939907,-0.7410146129,0.2153424115
0.7200,0.1452843847,-0.6189418997,-0.7411366829,0.2156844679
0.7250,0.1447983785,-0.6187829442,-0.7412627349,0.216033922
0.7300,0.144309711,-0.618617166,-0.7413927219,0.2163893275
0.7350,0.1438167194,-0.6184456272,-0.7415260399,0.2167507545
0.7400,0.1433202021,-0.6182670123,-0.7416644636,0.2171152795
0.7450,0.1428189368,-0.6180809813,-0.7418079811,0.2174846455
0.7500,0.1423142918,-0.6178884953,-0.7419563365,0.2178560178
0.7550,0.1418059559,-0.617688562,-0.7421100149,0.2182306968
0.7600,0.1412949468,-0.6174805736,-0.7422692439,0.2186088944
0.7650,0.1407816252,-0.6172645305,-0.7424335312,0.2189919753
0.7700,0.1402650881,-0.6170400785,-0.7426031309,0.2193805748
0.7750,0.1397446216,-0.6168071317,-0.7427780069,0.2197754208
0.7800,0.1392221235,-0.6165647191,-0.7429586865,0.2201761513
0.7850,0.138698085,-0.6163122386,-0.7431449026,0.2205849486
0.7900,0.1381725078,-0.6160490703,-0.743336253,0.2210047875
0.7950,0.1376459713,-0.6157758294,-0.7435324045,0.2214345905
0.8000,0.1371179801,-0.6154915841,-0.7437332811,0.2218773896
0.8050,0.1365905854,-0.6151959177,-0.7439384987,0.2223342191
0.8100,0.1360630062,-0.6148894836,-0.7441476235,0.2228050621
0.8150,0.1355334777,-0.614570136,-0.7443623188,0.2232912063
0.8200,0.1350030359,-0.6142390836,-0.744581009,0.2237937653
0.8250,0.1344724614,-0.6138968539,-0.7448035555,0.2243111091
0.8300,0.1339428787,-0.6135425269,-0.7450297362,0.2248456472
0.8350,0.1334145174,-0.6131776365,-0.7452579124,0.2253983068
0.8400,0.1328903603,-0.6128004648,-0.7454891099,0.225968426
0.8450,0.1323699974,-0.6124137408,-0.7457210307,0.2265562586
0.8500,0.1318530862,-0.6120158602,-0.7459546087,0.227163096
0.8550,0.1313411909,-0.6116078769,-0.746188721,0.2277886939
0.8600,0.1308351454,-0.61118897,-0.7464239774,0.2284326022
0.8650,0.1303336131,-0.6107595563,-0.7466600417,0.2290953859
0.8700,0.1298345795,-0.6103215239,-0.7468965118,0.2297742809
0.8750,0.1293359673,-0.6098740584,-0.7471344142,0.2304691032
