type,name,time_units,begin_time,frequency,count,units
signal_4d,"Noraxon MyoMotion-Segments-Upper arm RT-Orientation","s",0.0000,200,4916,""

time,x,y,z,w
0.0000,-0.01201496959,-0.6613082544,-0.7354380247,0.1471663855
0.0050,-0.01194597142,-0.6613067544,-0.7354264975,0.1472363305
0.0100,-0.01187697315,-0.661305248,-0.7354149632,0.147306274
0.0150,-0.01180797478,-0.6613037351,-0.7354034216,0.147376216
0.0200,-0.01173372163,-0.6613023963,-0.7353907136,0.147451547
0.0250,-0.01165466839,-0.6613012661,-0.7353768939,0.147531787
0.0300,-0.01157134531,-0.6613003684,-0.735362042,0.1476163744
0.0350,-0.01148434538,-0.6612997189,-0.7353462566,0.1477046865
0.0400,-0.01139431061,-0.661299328,-0.73532965,0.1477960566
0.0450,-0.01130191483,-0.6612992065,-0.7353123389,0.1478897912
0.0500,-0.01120784403,-0.6612993723,-0.735294437,0.1479851862
0.0550,-0.01111278127,-0.6612998481,-0.7352760536,0.1480815384
0.0600,-0.01101740096,-0.6613006578,-0.7352572949,0.1481781603
0.0650,-0.01092236601,-0.661301827,-0.7352382596,0.1482743981
0.0700,-0.01082832395,-0.6613033857,-0.7352190337,0.1483696463
0.0750,-0.01073590367,-0.6613053643,-0.7351996927,0.1484633536
0.0800,-0.01064571159,-0.6613077838,-0.73518031,0.1485550256
0.0850,-0.01055832683,-0.6613106498,-0.7351609618,0.1486442275
0.0900,-0.01047430087,-0.6613139567,-0.7351417246,0.1487305763
0.0950,-0.01039416253,-0.6613176985,-0.7351226691,0.1488137238
0.1000,-0.01031842427,-0.6613218751,-0.735103857,0.1488933413
0.1050,-0.01024758837,-0.6613264927,-0.7350853428,0.1489691101
0.1100,-0.01018214922,-0.6613315615,-0.735067177,0.1490407156
0.1150,-0.01012258583,-0.6613370949,-0.7350494073,0.1491078438
0.1200,-0.01006934415,-0.6613431051,-0.7350320822,0.1491701841
0.1250,-0.0100228158,-0.6613495959,-0.7350152562,0.1492274378
0.1300,-0.009983318469,-0.6613565575,-0.7349989922,0.149279331
0.1350,-0.009951078063,-0.6613639645,-0.7349833597,0.1493256287
0.1400,-0.009926212636,-0.6613717766,-0.7349684315,0.1493661546
0.1450,-0.009908718977,-0.6613799407,-0.7349542766,0.1494008121
0.1500,-0.009898458032,-0.6613883931,-0.7349409557,0.149429601
0.1550,-0.00981852348,-0.6614012991,-0.734907915,0.1495402109
0.1600,-0.009744517938,-0.661415471,-0.7348748654,0.1496447506
0.1650,-0.009676392049,-0.6614296396,-0.7348427702,0.1497441229
0.1700,-0.009614457528,-0.6614441796,-0.7348111703,0.1498389255
0.1750,-0.009556845336,-0.6614584631,-0.7347805681,0.1499296006
0.1800,-0.009503604217,-0.6614731822,-0.734750639,0.1500146965
0.1850,-0.009454347935,-0.6614874286,-0.7347217284,0.1500965651
0.1900,-0.009406463185,-0.6615017361,-0.7346933826,0.1501752477
0.1950,-0.009360964761,-0.6615149211,-0.7346665301,0.1502513599
0.2000,-0.009316891811,-0.6615278581,-0.7346401996,0.1503258647
0.2050,-0.009272701908,-0.6615409699,-0.7346138364,0.1503997128
0.2100,-0.009226501439,-0.6615525304,-0.7345888885,0.1504735395
0.2150,-0.009178454467,-0.6615636502,-0.7345644451,0.1505468988
0.2200,-0.009126832772,-0.6615730826,-0.7345413649,0.150621182
0.2250,-0.009071019178,-0.6615818579,-0.7345186409,0.1506968083
0.2300,-0.009011045474,-0.66159057,-0.7344957751,0.150773589
0.2350,-0.008946612388,-0.6615981916,-0.7344736641,0.1508516747
0.2400,-0.008877053299,-0.6616046351,-0.7344520833,0.1509325744
0.2450,-0.008803456028,-0.6616100572,-0.7344310288,0.1510155463
0.2500,-0.008724434721,-0.6616156023,-0.7344093944,0.1511010274
0.2550,-0.008641830524,-0.6616208127,-0.7343874966,0.1511893642
0.2600,-0.008555050228,-0.6616249027,-0.7343662934,0.1512793652
0.2650,-0.008465636421,-0.6616289769,-0.7343446036,0.1513718373
