type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle RT","s",0.0000,200,4916,"mm"

time,x,y,z
0.0000,191.8030376,-17.32071478,1238.610823
0.0050,191.7973967,-17.32488814,1238.611185
0.0100,191.7917566,-17.32906258,1238.611547
0.0150,191.7861173,-17.33323811,1238.611909
0.0200,191.7800411,-17.33800959,1238.612247
0.0250,191.7735769,-17.34336966,1238.612549
0.0300,191.7667814,-17.34929426,1238.612803
0.0350,191.7597143,-17.35574643,1238.612997
0.0400,191.7524356,-17.36268065,1238.613119
0.0450,191.7450054,-17.37004993,1238.613157
0.0500,191.7374842,-17.37781215,1238.613101
0.0550,191.7299338,-17.38592979,1238.612937
0.0600,191.7224119,-17.39436772,1238.612653
0.0650,191.7149642,-17.4030966,1238.612242
0.0700,191.7076191,-17.41209721,1238.611696
0.0750,191.7003857,-17.42135755,1238.611015
0.0800,191.6932529,-17.43086412,1238.610201
0.0850,191.6861902,-17.44059619,1238.609263
0.0900,191.6791519,-17.45052879,1238.608213
0.0950,191.6720844,-17.46064,1238.607067
0.1000,191.6649315,-17.4709153,1238.60584
0.1050,191.6576373,-17.48134652,1238.604549
0.1100,191.6501471,-17.49192961,1238.60321
0.1150,191.6424133,-17.5026628,1238.601842
0.1200,191.6344007,-17.5135419,1238.600464
0.1250,191.6260909,-17.52455334,1238.599091
0.1300,191.6174842,-17.53566998,1238.59774
0.1350,191.6085996,-17.54685063,1238.596424
0.1400,191.599472,-17.55804209,1238.595157
0.1450,191.5901476,-17.56918357,1238.59395
0.1500,191.5806819,-17.58020999,1238.592813
0.1550,191.5603237,-17.60247807,1238.590941
0.1600,191.5405799,-17.62541039,1238.588874
0.1650,191.520905,-17.64798262,1238.586888
0.1700,191.5008956,-17.67066861,1238.585086
0.1750,191.4810777,-17.69278385,1238.583268
0.1800,191.4622308,-17.71477654,1238.581369
0.1850,191.4432498,-17.73613625,1238.579645
0.1900,191.4252992,-17.75718923,1238.577841
