type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon Ultium-RT BRACHIORAD.","s",0.00000,2000,49160,"uV"

time,value
0.00000,-7.616895912
0.00050,-2.123396574
0.00100,2.149325134
0.00150,5.506463619
0.00200,5.506463619
0.00250,2.149325134
0.00300,-0.2922301275
0.00350,2.75971395
0.00400,10.38957414
0.00450,15.27268467
0.00500,13.44151822
0.00550,8.253213288
0.00600,3.98049158
0.00650,0.9285475033
0.00700,-0.5974245352
0.00750,-2.123396574
0.00800,-2.733785389
0.00850,-3.95456302
0.00900,-6.396118282
0.00950,-8.837673543
0.01000,-9.753256766
0.01050,-7.006507097
0.01100,0.01296428019
0.01150,7.337630065
0.01200,9.473990919
0.01250,5.811658027
0.01300,2.75971395
0.01350,4.590880396
0.01400,7.642824473
0.01450,4.285685988
0.01500,-3.95456302
0.01550,-10.05845117
0.01600,-11.2792288
0.01650,-11.2792288
0.01700,-12.50000644
0.01750,-11.2792288
0.01800,-7.006507097
0.01850,-3.344174205
0.01900,-3.038979797
0.01950,-3.344174205
0.02000,-2.428590981
0.02050,-3.95456302
0.02100,-9.448062359
0.02150,-13.72078407
0.02200,-12.19481203
0.02250,-6.701312689
0.02300,-2.428590981
0.02350,-0.5974245352
0.02400,0.3181586879
0.02450,0.3181586879
0.02500,-3.038979797
0.02550,-10.05845117
0.02600,-17.68831137
0.02650,-23.18181071
0.02700,-25.62336597
0.02750,-25.62336597
0.02800,-23.18181071
0.02850,-18.60389459
0.02900,-13.41558966
0.02950,-10.9740344
0.03000,-13.72078407
0.03050,-18.909089
0.03100,-23.18181071
0.03150,-25.01297715
0.03200,-27.14933801
0.03250,-31.42205971
0.03300,-34.47400379
0.03350,-34.47400379
0.03400,-33.55842057
0.03450,-33.25322616
0.03500,-30.8116709
0.03550,-21.65583867
0.03600,-6.090923874
0.03650,9.779185327
0.03700,23.51293367
0.03750,35.11032117
0.03800,44.2661534
0.03850,48.2336807
0.03900,45.79212544
0.03950,41.21420932
0.04000,36.3310988
0.04050,30.22721064
0.04100,21.07137841
0.04150,9.473990919
0.04200,-0.9026189429
0.04250,-9.448062359
0.04300,-16.46753374
0.04350,-22.26622748
0.04400,-27.45453241
0.04450,-30.8116709
0.04500,-30.50647649
0.04550,-28.06492123
0.04600,-25.92856037
0.04650,-24.70778274
0.04700,-19.51947781
0.04750,-6.090923874
0.04800,14.05190703
0.04850,35.11032117
0.04900,51.28562477
0.04950,58.61029056
0.05000,54.33756885
0.05050,39.68823728
0.05100,21.98696163
0.05150,10.08437973
0.05200,4.896074803
0.05250,2.75971395
0.05300,1.844130726
0.05350,3.370102765
0.05400,7.032435657
0.05450,7.337630065
0.05500,3.064908357
0.05550,-1.513007758
0.05600,-1.818202166
0.05650,2.454519542
0.05700,9.473990919
0.05750,14.96749026
0.05800,13.13632381
0.05850,0.6233530956
0.05900,-16.46753374
0.05950,-27.14933801
0.06000,-26.53894919
0.06050,-21.04544985
0.06100,-18.29870018
0.06150,-17.68831137
0.06200,-15.2467561
0.06250,-10.66883999
0.06300,-7.311701505
0.06350,-4.870146243
0.06400,-0.5974245352
0.06450,5.506463619
0.06500,10.99996296
0.06550,12.525935
0.06600,11.91554618
0.06650,10.99996296
0.06700,10.69476855
0.06750,9.779185327
0.06800,8.558407696
0.06850,7.94801888
0.06900,6.422046842
0.06950,1.538936319
0.07000,-7.311701505
0.07050,-17.68831137
0.07100,-23.79219952
0.07150,-24.09739393
0.07200,-22.8766163
0.07250,-23.48700511
0.07300,-25.62336597
0.07350,-25.31817156
0.07400,-21.96103307
0.07450,-17.38311696
0.07500,-13.41558966
0.07550,-9.448062359
0.07600,-3.95456302
0.07650,3.064908357
0.07700,11.91554618
0.07750,19.54540637
0.07800,22.90254486
0.07850,21.07137841
0.07900,16.4934623
0.07950,12.8311294
0.08000,12.525935
0.08050,14.66229585
0.08100,16.7986567
0.08150,16.18826789
0.08200,13.13632381
0.08250,10.99996296
0.08300,11.61035177
0.08350,13.44151822
0.08400,12.525935
0.08450,9.168796511
0.08500,6.422046842
0.08550,4.896074803
0.08600,3.064908357
0.08650,0.6233530956
0.08700,-0.2922301275
0.08750,-1.207813351
0.08800,-4.870146243
0.08850,-10.66883999
0.08900,-13.11039525
0.08950,-11.2792288
0.09000,-9.142867951
0.09050,-6.396118282
0.09100,0.01296428019
0.09150,6.422046842
0.09200,3.675297173
0.09250,-12.80520084
0.09300,-31.11686531
0.09350,-38.13633668
0.09400,-35.38958701
0.09450,-35.69478142
0.09500,-43.01944721
0.09550,-47.90255773
0.09600,-43.32464161
0.09650,-32.64283734
0.09700,-22.8766163
0.09750,-14.9415617
0.09800,-5.480535058
0.09850,5.811658027
0.09900,15.88307348
0.09950,21.07137841
0.10000,22.90254486
0.10050,25.34410012
0.10100,30.22721064
0.10150,35.11032117
0.10200,35.41551557
0.10250,30.83759946
0.10300,21.98696163
0.10350,8.558407696
0.10400,-9.753256766
0.10450,-28.98050445
0.10500,-39.96750313
0.10550,-38.7467255
0.10600,-31.42205971
0.10650,-26.53894919
0.10700,-24.70778274
0.10750,-21.04544985
0.10800,-15.85714492
0.10850,-17.99350577
0.10900,-33.55842057
0.10950,-53.39605707
0.11000,-59.19475081
0.11050,-43.01944721
0.11100,-17.07792255
0.11150,-0.5974245352
0.11200,-0.2922301275
0.11250,-5.480535058
0.11300,-6.701312689
0.11350,-6.090923874
0.11400,-5.175340651
0.11450,2.75971395
0.11500,25.95448893
0.11550,57.38951293
0.11600,79.9738991
0.11650,87.9089537
0.11700,89.74012014
0.11750,91.876481
0.11800,89.12973133
0.11850,75.39598298
0.11900,55.25315207
0.11950,38.16226524
0.12000,26.87007216
0.12050,18.93501756
0.12100,14.05190703
0.12150,13.74671263
0.12200,14.96749026
0.12250,14.35710144
0.12300,11.61035177
0.12350,11.61035177
0.12400,15.27268467
0.12450,19.24021197
0.12500,21.37657282
0.12550,22.90254486
0.12600,22.29215604
0.12650,16.18826789
0.12700,4.896074803
0.12750,-3.649368612
0.12800,-2.733785389
0.12850,4.285685988
0.12900,9.473990919
0.12950,10.08437973
0.13000,10.99996296
0.13050,15.27268467
0.13100,18.93501756
0.13150,17.10385111
0.13200,12.22074059
0.13250,8.558407696
0.13300,7.337630065
0.13350,6.116852434
0.13400,4.590880396
0.13450,3.98049158
0.13500,2.75971395
0.13550,-0.5974245352
0.13600,-5.785729466
0.13650,-8.532479135
0.13700,-7.616895912
0.13750,-5.785729466
0.13800,-5.785729466
0.13850,-7.616895912
0.13900,-10.66883999
0.13950,-12.19481203
0.14000,-10.9740344
0.14050,-6.396118282
0.14100,-0.9026189429
0.14150,0.6233530956
0.14200,-2.428590981
0.14250,-6.701312689
0.14300,-6.701312689
0.14350,-0.9026189429
0.14400,7.337630065
0.14450,13.44151822
0.14500,14.66229585
0.14550,12.22074059
0.14600,9.168796511
0.14650,6.72724125
0.14700,4.590880396
0.14750,2.75971395
0.14800,-0.2922301275
0.14850,-6.701312689
0.14900,-16.46753374
