type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Upper arm RT-Acceleration","s",0.0000,200,4984,"mG"

time,x,y,z
0.0000,-35.5090579,15.7013117,10.53805635
0.0050,-30.14765453,20.9051463,12.24022584
0.0100,-24.13911474,16.60819258,10.74738505
0.0150,-19.41130007,23.46423491,9.682667254
0.0200,-13.8195535,22.1495909,7.460685379
0.0250,-13.01514138,29.7588321,6.521428244
0.0300,-2.845041602,24.52840673,-0.2780850747
0.0350,8.350992579,27.94945525,-0.3927501345
0.0400,6.314357963,7.405532625,7.910878282
0.0450,7.51861582,16.2214617,-3.284935209
0.0500,17.7353026,8.775184383,-8.172559575
0.0550,13.07770376,0.537090702,2.506625665
0.0600,10.67590408,5.181194111,-6.324818942
0.0650,27.26023716,0.4600964074,-4.32505852
0.0700,11.98017991,-4.267946492,-6.69351879
0.0750,21.75402522,-0.5987829928,-6.949901086
0.0800,18.0941628,-2.848337799,-7.015666985
0.0850,24.57817963,5.580630655,-7.091795889
0.0900,16.73231098,2.497832319,-13.11612207
0.0950,20.1472154,-4.668927911,1.326760588
0.1000,15.10911937,2.010663176,-0.01924716013
0.1050,4.789781084,1.307448723,-4.739835857
0.1100,11.17360359,6.616086008,-4.887275082
0.1150,1.76019866,7.913345977,1.391557587
0.1200,-2.110516493,13.46047896,-4.442740965
0.1250,-10.33480493,14.85089566,-1.549256224
0.1300,-10.08361075,18.04613849,-4.141730356
0.1350,-14.56985444,11.15272125,0.333602748
0.1400,-17.69178624,21.88526244,-4.559988028
0.1450,-16.96748795,20.48709002,-5.97533162
0.1500,-30.58335866,22.08483848,-7.128713927
0.1550,-23.26492393,22.96925428,-9.34268918
0.1600,-29.32795215,21.87453129,-14.35190758
0.1650,-24.22316298,12.34535449,-10.69342097
0.1700,-28.13318285,19.81434613,-16.01034889
0.1750,-20.8875421,14.11023512,-14.32583404
0.1800,-16.89997673,11.19593885,-13.6379961
0.1850,-6.514239549,16.99183353,-17.02908047
0.1900,-9.037338179,-1.81588429,-7.35200696
0.1950,-9.6793119,-0.03554341742,-13.25377801
0.2000,13.54014964,-10.04549433,-15.77205495
