type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Course","s",0.0000,200,4984,"deg"

time,value
0.0000,-15.31998541
0.0050,-15.33135483
0.0100,-15.34272417
0.0150,-15.35409343
0.0200,-15.36639744
0.0250,-15.37955714
0.0300,-15.39347326
0.0350,-15.40802987
0.0400,-15.42309869
0.0450,-15.43854403
0.0500,-15.45422745
0.0550,-15.47001165
0.0600,-15.48576464
0.0650,-15.501364
0.0700,-15.51670023
0.0750,-15.53167876
0.0800,-15.54622248
0.0850,-15.56027459
0.0900,-15.57380031
0.0950,-15.5867875
0.1000,-15.59924722
0.1050,-15.61121444
0.1100,-15.62274749
0.1150,-15.63392552
0.1200,-15.6448449
0.1250,-15.65561611
0.1300,-15.66636033
0.1350,-15.67720486
0.1400,-15.68827779
0.1450,-15.69970305
0.1500,-15.71159592
0.1550,-15.73829085
0.1600,-15.76518916
0.1650,-15.79227949
0.1700,-15.81942879
0.1750,-15.84656222
0.1800,-15.8736895
0.1850,-15.90067182
0.1900,-15.92727852
0.1950,-15.95360916
0.2000,-15.9794002
0.2050,-16.00436129
0.2100,-16.02832817
0.2150,-16.05102988
0.2200,-16.07231141
0.2250,-16.0918018
0.2300,-16.10910179
0.2350,-16.12429373
0.2400,-16.13700769
0.2450,-16.14728966
0.2500,-16.15488713
0.2550,-16.15977071
0.2600,-16.16218472
0.2650,-16.16210875
0.2700,-16.15967467
0.2750,-16.15502144
0.2800,-16.14833166
0.2850,-16.13989826
0.2900,-16.12982252
0.2950,-16.11838277
0.3000,-16.10563246
0.3050,-16.0917568
0.3100,-16.07696217
0.3150,-16.06145148
0.3200,-16.04527538
0.3250,-16.02866964
0.3300,-16.01159317
0.3350,-15.99427339
0.3400,-15.97668807
0.3450,-15.95919952
0.3500,-15.9418612
0.3550,-15.92477951
0.3600,-15.90818359
0.3650,-15.89221279
0.3700,-15.87691709
0.3750,-15.86261504
0.3800,-15.84953312
0.3850,-15.83782425
0.3900,-15.82745039
0.3950,-15.81861245
0.4000,-15.8114252
0.4050,-15.80579656
0.4100,-15.80174523
0.4150,-15.79891498
0.4200,-15.79708139
0.4250,-15.79602878
0.4300,-15.79526327
0.4350,-15.7943519
0.4400,-15.79308977
0.4450,-15.7910516
0.4500,-15.78760876
0.4550,-15.78261765
0.4600,-15.7756836
0.4650,-15.76670387
0.4700,-15.75554696
0.4750,-15.74218618
0.4800,-15.72645802
0.4850,-15.70857991
0.4900,-15.68853636
0.4950,-15.66635772
0.5000,-15.64223095
0.5050,-15.61653531
0.5100,-15.58932932
0.5150,-15.56106464
0.5200,-15.53191485
0.5250,-15.50226004
0.5300,-15.47247159
0.5350,-15.44271618
0.5400,-15.41328882
0.5450,-15.38436738
0.5500,-15.35618314
0.5550,-15.32898697
0.5600,-15.30264802
0.5650,-15.27745084
0.5700,-15.25341943
0.5750,-15.23039268
0.5800,-15.20861427
0.5850,-15.18797674
0.5900,-15.16832247
0.5950,-15.14975131
0.6000,-15.13227595
0.6050,-15.11593285
0.6100,-15.10059912
0.6150,-15.08641693
0.6200,-15.07345969
0.6250,-15.06153797
0.6300,-15.05065484
0.6350,-15.04081195
0.6400,-15.03205284
0.6450,-15.02386991
0.6500,-15.01644817
0.6550,-15.00945592
0.6600,-15.00290692
0.6650,-14.99639575
0.6700,-14.98980762
0.6750,-14.98291157
0.6800,-14.97551126
0.6850,-14.96708758
0.6900,-14.95754181
0.6950,-14.94636372
0.7000,-14.93353425
0.7050,-14.91874824
0.7100,-14.90175099
0.7150,-14.88273976
0.7200,-14.86149086
0.7250,-14.83822009
0.7300,-14.81309269
0.7350,-14.78628219
0.7400,-14.7580232
0.7450,-14.72863498
0.7500,-14.6984094
0.7550,-14.66749041
0.7600,-14.63623296
0.7650,-14.6047037
0.7700,-14.5732062
0.7750,-14.54192559
0.7800,-14.51122879
0.7850,-14.48111075
0.7900,-14.45191387
0.7950,-14.42383002
0.8000,-14.39711718
0.8050,-14.3717521
0.8100,-14.34805477
0.8150,-14.32591171
0.8200,-14.30561737
0.8250,-14.2869648
0.8300,-14.27004227
0.8350,-14.25469087
0.8400,-14.24101693
0.8450,-14.22868213
0.8500,-14.21762452
0.8550,-14.20772817
0.8600,-14.19889322
0.8650,-14.19097812
0.8700,-14.18362873
0.8750,-14.17686966
0.8800,-14.1704794
0.8850,-14.16433392
0.8900,-14.15837992
0.8950,-14.1526452
0.9000,-14.14683187
0.9050,-14.14091112
0.9100,-14.13493453
0.9150,-14.12850332
0.9200,-14.12184681
0.9250,-14.1148264
0.9300,-14.10747407
0.9350,-14.09981768
0.9400,-14.09178793
0.9450,-14.08367281
0.9500,-14.07537305
0.9550,-14.06706099
0.9600,-14.05875783
0.9650,-14.0507677
0.9700,-14.04287481
0.9750,-14.03518028
0.9800,-14.02774449
0.9850,-14.02078332
0.9900,-14.01448784
0.9950,-14.00903209
1.0000,-14.00429399
1.0050,-14.00033337
1.0100,-13.99715366
1.0150,-13.99437972
1.0200,-13.99202816
1.0250,-13.98986511
1.0300,-13.98783013
1.0350,-13.98573084
1.0400,-13.98361097
1.0450,-13.98125569
1.0500,-13.97887089
1.0550,-13.97640218
1.0600,-13.97399369
1.0650,-13.97171059
1.0700,-13.96973033
1.0750,-13.96799929
1.0800,-13.96667587
1.0850,-13.9661571
1.0900,-13.96670967
1.0950,-13.96846313
1.1000,-13.97167508
1.1050,-13.97657991
1.1100,-13.98321655
1.1150,-13.99169359
1.1200,-14.00184292
1.1250,-14.01396451
1.1300,-14.0276382
1.1350,-14.0429629
1.1400,-14.05944663
1.1450,-14.07718602
1.1500,-14.09596676
1.1550,-14.11548744
1.1600,-14.13548304
1.1650,-14.1555269
1.1700,-14.17556956
1.1750,-14.19542833
1.1800,-14.2147645
1.1850,-14.23369259
1.1900,-14.25207762
1.1950,-14.26986615
1.2000,-14.2871226
1.2050,-14.30389221
1.2100,-14.32010163
1.2150,-14.33590895
1.2200,-14.35090536
1.2250,-14.36521177
1.2300,-14.37875506
1.2350,-14.39131633
1.2400,-14.40304821
1.2450,-14.41387622
1.2500,-14.42352653
1.2550,-14.4318875
1.2600,-14.43877905
1.2650,-14.44403303
1.2700,-14.44762305
1.2750,-14.44947603
1.2800,-14.44966454
1.2850,-14.44809273
1.2900,-14.44475078
1.2950,-14.43954298
1.3000,-14.43275541
1.3050,-14.42444613
1.3100,-14.41492107
1.3150,-14.40447957
1.3200,-14.39322758
1.3250,-14.38125881
1.3300,-14.3688708
1.3350,-14.35620786
1.3400,-14.34344482
1.3450,-14.33064666
1.3500,-14.31783406
1.3550,-14.30525574
1.3600,-14.29294801
1.3650,-14.28093836
1.3700,-14.26923855
1.3750,-14.25833166
1.3800,-14.24832361
1.3850,-14.23925479
1.3900,-14.23127256
1.3950,-14.22431787
1.4000,-14.21845962
1.4050,-14.21375939
1.4100,-14.21025612
1.4150,-14.20810177
1.4200,-14.20740149
1.4250,-14.20806399
1.4300,-14.21035252
1.4350,-14.21430866
1.4400,-14.22003569
1.4450,-14.22742
1.4500,-14.2363828
1.4550,-14.24678033
1.4600,-14.25880531
1.4650,-14.27246119
1.4700,-14.28776885
1.4750,-14.30452965
1.4800,-14.3228061
1.4850,-14.34250229
1.4900,-14.36344998
1.4950,-14.38552073
1.5000,-14.40878693
1.5050,-14.43323856
1.5100,-14.45880436
1.5150,-14.48555859
1.5200,-14.51371932
1.5250,-14.54343707
1.5300,-14.57462577
1.5350,-14.60747291
1.5400,-14.64194555
1.5450,-14.67803588
1.5500,-14.71608677
1.5550,-14.75588132
1.5600,-14.79754954
1.5650,-14.84092772
1.5700,-14.88597783
1.5750,-14.93242323
1.5800,-14.97992821
1.5850,-15.02849307
1.5900,-15.07778718
1.5950,-15.12770611
1.6000,-15.17775789
1.6050,-15.22808868
1.6100,-15.27828733
1.6150,-15.32845497
1.6200,-15.37867159
1.6250,-15.42905495
1.6300,-15.47945804
1.6350,-15.53008769
1.6400,-15.58079277
1.6450,-15.6317848
1.6500,-15.68290455
1.6550,-15.73421063
1.6600,-15.78542441
1.6650,-15.83676887
1.6700,-15.88838257
1.6750,-15.94002449
1.6800,-15.99157762
1.6850,-16.04295934
1.6900,-16.09389223
1.6950,-16.14441033
1.7000,-16.19437024
1.7050,-16.24396226
1.7100,-16.29307178
1.7150,-16.34188133
1.7200,-16.39033428
1.7250,-16.43852549
1.7300,-16.48646294
1.7350,-16.53406482
1.7400,-16.58141589
1.7450,-16.62840326
1.7500,-16.67484903
1.7550,-16.72059916
1.7600,-16.76533359
1.7650,-16.80913255
1.7700,-16.85189976
1.7750,-16.89373575
1.7800,-16.93464404
1.7850,-16.97441699
1.7900,-17.0132564
1.7950,-17.05086078
1.8000,-17.08691931
1.8050,-17.12134491
1.8100,-17.15429073
1.8150,-17.1855552
1.8200,-17.21508761
1.8250,-17.24269919
1.8300,-17.26868967
1.8350,-17.29299591
1.8400,-17.31568843
1.8450,-17.33677756
1.8500,-17.35631046
1.8550,-17.37471788
1.8600,-17.39199975
1.8650,-17.40823649
1.8700,-17.42356215
1.8750,-17.43793469
1.8800,-17.45144978
1.8850,-17.4639687
1.8900,-17.47552138
1.8950,-17.48622815
1.9000,-17.49625009
1.9050,-17.50567554
1.9100,-17.51486209
1.9150,-17.5238071
1.9200,-17.532566
1.9250,-17.54107012
1.9300,-17.54927043
1.9350,-17.55709422
1.9400,-17.56465361
1.9450,-17.57210192
1.9500,-17.57946969
1.9550,-17.5868093
1.9600,-17.59442539
1.9650,-17.60223096
1.9700,-17.61031614
1.9750,-17.61896322
1.9800,-17.6284624
1.9850,-17.63876897
1.9900,-17.65003509
1.9950,-17.66238297
2.0000,-17.67573809
2.0050,-17.68978082
2.0100,-17.70438144
2.0150,-17.71915346
2.0200,-17.73426722
2.0250,-17.74945631
2.0300,-17.76464637
2.0350,-17.77972499
2.0400,-17.79480128
2.0450,-17.80987418
2.0500,-17.82517767
2.0550,-17.84082767
2.0600,-17.85677305
2.0650,-17.87303973
2.0700,-17.88940177
2.0750,-17.90552678
2.0800,-17.92142177
2.0850,-17.93704019
2.0900,-17.95229975
2.0950,-17.96722515
2.1000,-17.98193735
2.1050,-17.9962813
2.1100,-18.01008684
2.1150,-18.02343514
2.1200,-18.03642507
2.1250,-18.04917393
2.1300,-18.06135817
2.1350,-18.07307367
2.1400,-18.08421894
2.1450,-18.09490582
2.1500,-18.10474884
2.1550,-18.11365076
2.1600,-18.12143505
2.1650,-18.12819394
2.1700,-18.13408816
2.1750,-18.13903181
2.1800,-18.14319341
2.1850,-18.14665114
2.1900,-18.14939559
2.1950,-18.15130773
2.2000,-18.15244726
2.2050,-18.15229887
2.2100,-18.15048647
2.2150,-18.14723273
2.2200,-18.1422191
2.2250,-18.13547716
2.2300,-18.12666986
2.2350,-18.11564911
2.2400,-18.10222906
2.2450,-18.08606621
2.2500,-18.0675528
2.2550,-18.04662852
2.2600,-18.02371182
2.2650,-17.99897985
2.2700,-17.9725461
2.2750,-17.9445198
2.2800,-17.91482809
2.2850,-17.88371374
2.2900,-17.85154636
2.2950,-17.81846078
2.3000,-17.78476595
2.3050,-17.75054296
2.3100,-17.71611109
2.3150,-17.68145739
2.3200,-17.64649437
2.3250,-17.61144194
2.3300,-17.57634891
2.3350,-17.54138871
2.3400,-17.50630027
2.3450,-17.4711219
2.3500,-17.43556624
2.3550,-17.3996925
2.3600,-17.36354722
2.3650,-17.32690659
2.3700,-17.28974506
2.3750,-17.25216747
2.3800,-17.21383194
2.3850,-17.17476798
2.3900,-17.13515781
2.3950,-17.09528177
2.4000,-17.05537578
2.4050,-17.01572357
2.4100,-16.97649215
2.4150,-16.93801986
2.4200,-16.9001332
2.4250,-16.86271318
2.4300,-16.82597843
2.4350,-16.78961183
2.4400,-16.75366408
2.4450,-16.71810714
2.4500,-16.68319972
2.4550,-16.64851004
2.4600,-16.61403442
2.4650,-16.57953931
2.4700,-16.54495557
2.4750,-16.51049878
2.4800,-16.476107
2.4850,-16.44169472
2.4900,-16.40727028
2.4950,-16.3727311
2.5000,-16.33797507
2.5050,-16.30314412
2.5100,-16.26859313
2.5150,-16.2339988
2.5200,-16.19962147
2.5250,-16.16544399
2.5300,-16.13178163
2.5350,-16.09860958
2.5400,-16.06607788
2.5450,-16.0344482
2.5500,-16.00343405
2.5550,-15.97313037
2.5600,-15.94321302
2.5650,-15.91373259
2.5700,-15.88444234
2.5750,-15.85520679
2.5800,-15.82620577
2.5850,-15.79758225
2.5900,-15.76903648
2.5950,-15.74052391
2.6000,-15.71192978
2.6050,-15.68337335
2.6100,-15.65501996
2.6150,-15.62719315
2.6200,-15.59982872
2.6250,-15.5728768
2.6300,-15.54623741
2.6350,-15.51980658
2.6400,-15.49343737
2.6450,-15.46685528
2.6500,-15.44024138
2.6550,-15.41350344
2.6600,-15.38656999
2.6650,-15.3593826
2.6700,-15.33186714
2.6750,-15.30402029
2.6800,-15.27579178
2.6850,-15.24714214
2.6900,-15.21799264
2.6950,-15.18824624
2.7000,-15.15787346
2.7050,-15.12691496
2.7100,-15.095123
2.7150,-15.06213569
2.7200,-15.02818896
2.7250,-14.99339995
2.7300,-14.95770094
2.7350,-14.92165711
2.7400,-14.88488439
2.7450,-14.84741445
2.7500,-14.80898525
2.7550,-14.76970584
2.7600,-14.72970645
