type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Roll","s",0.0000,200,4984,"deg"

time,value
0.0000,11.96976923
0.0050,11.97051381
0.0100,11.97125936
0.0150,11.97200588
0.0200,11.97252734
0.0250,11.97275849
0.0300,11.97263095
0.0350,11.97207598
0.0400,11.97102789
0.0450,11.96942655
0.0500,11.9672185
0.0550,11.96435825
0.0600,11.96081041
0.0650,11.95655077
0.0700,11.95156607
0.0750,11.94585327
0.0800,11.93941855
0.0850,11.93227653
0.0900,11.92445057
0.0950,11.91597362
0.1000,11.90688929
0.1050,11.89725281
0.1100,11.88713158
0.1150,11.87660604
0.1200,11.86577068
0.1250,11.85473434
0.1300,11.84361966
0.1350,11.83256214
0.1400,11.82170801
0.1450,11.81121097
0.1500,11.80122806
0.1550,11.79286893
0.1600,11.7855915
0.1650,11.77946616
0.1700,11.77445984
0.1750,11.77080812
0.1800,11.76866937
0.1850,11.76798722
0.1900,11.7687995
0.1950,11.77122882
0.2000,11.77520498
0.2050,11.78053773
0.2100,11.78733527
0.2150,11.79558111
0.2200,11.80500335
0.2250,11.8156192
0.2300,11.82739762
0.2350,11.83995575
0.2400,11.85304649
0.2450,11.86664252
0.2500,11.88045924
0.2550,11.89441474
0.2600,11.90831144
0.2650,11.92192785
0.2700,11.93525174
0.2750,11.94816897
0.2800,11.96067362
0.2850,11.97256853
0.2900,11.98389257
0.2950,11.99465525
0.3000,12.00479531
0.3050,12.01419113
0.3100,12.02273359
0.3150,12.03048055
0.3200,12.03751615
0.3250,12.04385197
0.3300,12.04940206
0.3350,12.05420579
0.3400,12.05825496
0.3450,12.06152004
0.3500,12.06413315
0.3550,12.06596263
0.3600,12.06694399
0.3650,12.06740939
0.3700,12.06716584
0.3750,12.06643219
0.3800,12.06509601
0.3850,12.06327933
0.3900,12.06121541
0.3950,12.05872244
0.4000,12.05620274
0.4050,12.05345447
0.4100,12.05088968
0.4150,12.0483983
0.4200,12.04605809
0.4250,12.04417135
0.4300,12.04277879
0.4350,12.0417268
0.4400,12.04119116
0.4450,12.04110392
0.4500,12.04141911
0.4550,12.042193
0.4600,12.04325459
0.4650,12.0446512
0.4700,12.04623597
0.4750,12.04787645
0.4800,12.04957861
0.4850,12.05129006
0.4900,12.05300295
0.4950,12.05450137
0.5000,12.05585732
0.5050,12.05701807
0.5100,12.05784436
0.5150,12.05839603
0.5200,12.05862657
0.5250,12.05852481
0.5300,12.05790848
0.5350,12.0568714
0.5400,12.05549051
0.5450,12.05366374
0.5500,12.05138188
0.5550,12.04869798
0.5600,12.04575053
0.5650,12.04241766
0.5700,12.03896837
0.5750,12.03532244
0.5800,12.0313933
0.5850,12.02747806
0.5900,12.02348494
0.5950,12.01962367
0.6000,12.01586965
0.6050,12.01243768
0.6100,12.00941662
0.6150,12.00676651
0.6200,12.00450762
0.6250,12.00277766
0.6300,12.00159071
0.6350,12.00106607
0.6400,12.00128997
0.6450,12.00223826
0.6500,12.00387538
0.6550,12.00633784
0.6600,12.00946622
0.6650,12.01318319
0.6700,12.01750237
0.6750,12.02227775
0.6800,12.02746226
0.6850,12.03309193
0.6900,12.03898754
0.6950,12.04522615
0.7000,12.05130422
0.7050,12.05736724
0.7100,12.06342052
0.7150,12.06928089
0.7200,12.07501022
0.7250,12.08047754
0.7300,12.08545698
0.7350,12.09023264
0.7400,12.09440602
0.7450,12.09807318
0.7500,12.10136545
0.7550,12.10423747
0.7600,12.10667299
0.7650,12.10889778
0.7700,12.11093718
0.7750,12.11288768
0.7800,12.11479018
0.7850,12.11668656
0.7900,12.1187422
0.7950,12.12119481
