type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Joints-Elbow RT-Flexion","s",0.0000,200,5068,"deg"

time,value
0.0000,2.167595218
0.0050,2.166034645
0.0100,2.164474176
0.0150,2.162913811
0.0200,2.161285722
0.0250,2.159606711
0.0300,2.157891709
0.0350,2.156153256
0.0400,2.154403194
0.0450,2.15265523
0.0500,2.150926354
0.0550,2.149236738
0.0600,2.147608976
0.0650,2.146066737
0.0700,2.14463274
0.0750,2.143327207
0.0800,2.142167585
0.0850,2.14116904
0.0900,2.140344545
0.0950,2.139704047
0.1000,2.139253325
0.1050,2.138992787
0.1100,2.138916377
0.1150,2.139011456
0.1200,2.139259673
0.1250,2.139638454
0.1300,2.14012339
0.1350,2.140690758
0.1400,2.141318405
0.1450,2.141984869
0.1500,2.142668117
0.1550,2.143610519
0.1600,2.144827822
0.1650,2.146390261
0.1700,2.148016004
0.1750,2.149737802
0.1800,2.151385846
0.1850,2.152933899
0.1900,2.154302531
0.1950,2.155535563
0.2000,2.156836077
0.2050,2.158047144
0.2100,2.159317364
0.2150,2.160735326
0.2200,2.162171485
0.2250,2.163724136
0.2300,2.16536319
0.2350,2.166937258
0.2400,2.168761571
0.2450,2.170773282
0.2500,2.1729288
0.2550,2.175353212
0.2600,2.17803164
0.2650,2.18079574
0.2700,2.183830131
0.2750,2.187012208
0.2800,2.190247374
0.2850,2.193515435
0.2900,2.197065072
0.2950,2.200664707
0.3000,2.204461108
0.3050,2.208163992
0.3100,2.212013229
0.3150,2.215814926
0.3200,2.219156984
0.3250,2.222299884
0.3300,2.225395556
0.3350,2.228209267
0.3400,2.230609432
0.3450,2.232911919
0.3500,2.234762582
0.3550,2.2363043
0.3600,2.237371129
0.3650,2.238162354
0.3700,2.238516805
0.3750,2.238532453
0.3800,2.23815829
0.3850,2.237496055
0.3900,2.236452891
0.3950,2.235026264
0.4000,2.233574785
0.4050,2.232090048
0.4100,2.230461656
0.4150,2.228921017
0.4200,2.227450286
0.4250,2.226099085
0.4300,2.224835554
0.4350,2.22373743
0.4400,2.222933113
0.4450,2.222091715
0.4500,2.22161278
0.4550,2.221256239
0.4600,2.220912236
0.4650,2.220469643
0.4700,2.220184013
0.4750,2.219903364
0.4800,2.21979692
0.4850,2.219593146
0.4900,2.219486721
0.4950,2.219183119
0.5000,2.218773411
0.5050,2.218272286
0.5100,2.217499167
0.5150,2.216628099
0.5200,2.215649366
0.5250,2.214436717
0.5300,2.213015129
0.5350,2.211571358
0.5400,2.210159944
0.5450,2.208716148
0.5500,2.207211685
0.5550,2.205521547
0.5600,2.203967002
0.5650,2.202472931
0.5700,2.200998312
0.5750,2.199482711
0.5800,2.198014481
0.5850,2.196731754
0.5900,2.195375799
0.5950,2.194085219
0.6000,2.192896472
0.6050,2.191751162
0.6100,2.190240945
0.6150,2.188791357
0.6200,2.187638198
0.6250,2.186389664
0.6300,2.184868447
0.6350,2.183338729
0.6400,2.181801932
0.6450,2.180101813
0.6500,2.17850139
0.6550,2.176779035
0.6600,2.17504688
0.6650,2.173399087
0.6700,2.171736245
0.6750,2.170196922
0.6800,2.168502383
0.6850,2.166886362
0.6900,2.165343944
0.6950,2.163727755
0.7000,2.162219824
0.7050,2.160669465
0.7100,2.159217036
0.7150,2.157670606
0.7200,2.156185709
0.7250,2.154767887
0.7300,2.153362141
0.7350,2.152027646
0.7400,2.150867071
0.7450,2.149756685
0.7500,2.148784977
0.7550,2.147836052
0.7600,2.146939195
0.7650,2.146160338
0.7700,2.145358818
0.7750,2.144676319
0.7800,2.143905643
0.7850,2.143218531
0.7900,2.142550436
0.7950,2.141916633
0.8000,2.141269454
0.8050,2.140688874
0.8100,2.140155044
0.8150,2.139474142
0.8200,2.13874621
0.8250,2.138082906
0.8300,2.137487355
0.8350,2.137004038
0.8400,2.136429715
0.8450,2.136077128
0.8500,2.135840793
0.8550,2.135792055
0.8600,2.135622594
0.8650,2.13557367
0.8700,2.135430495
0.8750,2.135309822
0.8800,2.135142123
0.8850,2.134892206
0.8900,2.134700847
0.8950,2.134486896
