type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Roll","s",0.0000,200,5108,"deg"

time,value
0.0000,-0.8375105845
0.0050,-0.8424336154
0.0100,-0.8473568005
0.0150,-0.8522801394
0.0200,-0.8561977277
0.0250,-0.8588344401
0.0300,-0.8599244718
0.0350,-0.8592204649
0.0400,-0.8565017282
0.0450,-0.8515808229
0.0500,-0.8443080443
0.0550,-0.8345747613
0.0600,-0.8223154324
0.0650,-0.8075068415
0.0700,-0.7901653992
0.0750,-0.7703446485
0.0800,-0.7481331671
0.0850,-0.7236522961
0.0900,-0.6970538352
0.0950,-0.6685181524
0.1000,-0.6382529681
0.1050,-0.606492392
0.1100,-0.5734952668
0.1150,-0.5395424078
0.1200,-0.5049337898
0.1250,-0.469986694
0.1300,-0.4350338763
0.1350,-0.4004201711
0.1400,-0.3664971788
0.1450,-0.3336169522
0.1500,-0.302125358
0.1550,-0.2634939665
0.1600,-0.2263866112
0.1650,-0.1911608401
0.1700,-0.158212015
0.1750,-0.1277119545
0.1800,-0.09999520072
0.1850,-0.07519122296
0.1900,-0.05343146367
0.1950,-0.03491277339
0.2000,-0.01966420986
0.2050,-0.007752345578
0.2100,0.0008059755725
0.2150,0.005932771841
0.2200,0.008062636078
0.2250,0.007139737581
0.2300,0.003532884553
0.2350,-0.002548216815
0.2400,-0.01076833341
0.2450,-0.02087982766
0.2500,-0.03243943279
0.2550,-0.04515601985
0.2600,-0.05867362183
0.2650,-0.07296983981
0.2700,-0.08723176399
0.2750,-0.1014296228
0.2800,-0.1152346243
0.2850,-0.1284590614
0.2900,-0.1408925105
0.2950,-0.1522773749
0.3000,-0.1624915521
0.3050,-0.1714751758
0.3100,-0.178960483
0.3150,-0.1848114002
0.3200,-0.1891511163
0.3250,-0.191876803
0.3300,-0.1928206515
0.3350,-0.1922928197
0.3400,-0.1901597927
0.3450,-0.1864729843
0.3500,-0.1812567879
0.3550,-0.174729865
0.3600,-0.1667131258
0.3650,-0.1575895895
0.3700,-0.1471466335
0.3750,-0.1358552509
0.3800,-0.1236695757
0.3850,-0.1107456707
0.3900,-0.09733582127
0.3950,-0.08358279846
0.4000,-0.06962936337
0.4050,-0.05552217636
0.4100,-0.04152367819
0.4150,-0.02794638949
0.4200,-0.0148303268
0.4250,-0.002222879961
0.4300,0.009713928185
0.4350,0.02070480169
0.4400,0.0309939763
0.4450,0.04032326257
0.4500,0.04879677671
0.4550,0.05635765464
0.4600,0.06298786468
0.4650,0.06885465744
0.4700,0.07396650634
0.4750,0.0783747343
0.4800,0.0820897823
0.4850,0.08531336488
0.4900,0.08816414859
0.4950,0.09067613481
0.5000,0.09291329887
0.5050,0.09506567025
0.5100,0.09722482957
0.5150,0.09932454883
0.5200,0.1014524924
0.5250,0.1037228805
0.5300,0.1061349629
0.5350,0.1085099635
0.5400,0.1110338366
0.5450,0.1137102748
0.5500,0.1164778391
0.5550,0.1192386805
0.5600,0.1220406339
0.5650,0.1250061348
0.5700,0.1278383404
0.5750,0.1306886026
0.5800,0.1336136294
0.5850,0.1363631452
0.5900,0.1388654757
0.5950,0.1412796517
0.6000,0.1434999822
0.6050,0.1454741162
0.6100,0.1470828796
0.6150,0.1482058633
0.6200,0.1490229986
0.6250,0.1491836927
0.6300,0.1487174605
0.6350,0.1477283945
0.6400,0.1461126848
0.6450,0.1438082064
0.6500,0.1408290721
0.6550,0.1372071725
0.6600,0.1329660209
0.6650,0.1281781454
0.6700,0.1227065237
0.6750,0.1166272176
0.6800,0.1098899248
0.6850,0.1025444933
0.6900,0.09465601868
0.6950,0.08659413015
0.7000,0.07824485344
0.7050,0.06975466938
0.7100,0.06128382877
0.7150,0.05319701203
0.7200,0.04551993854
0.7250,0.03833973932
0.7300,0.03165914864
0.7350,0.02563719543
0.7400,0.02004524061
0.7450,0.01510196735
0.7500,0.01068421803
0.7550,0.006800302618
0.7600,0.003325108573
0.7650,0.0004688130923
0.7700,-0.001983316121
0.7750,-0.003940265681
0.7800,-0.00525702184
0.7850,-0.00607683403
0.7900,-0.006411325074
0.7950,-0.006168778882
0.8000,-0.005234224309
0.8050,-0.003575724149
0.8100,-0.001221407511
0.8150,0.001951374421
0.8200,0.00591481849
0.8250,0.01060408463
0.8300,0.01599287857
0.8350,0.02206348405
0.8400,0.02867001037
0.8450,0.03587442044
0.8500,0.04342043427
0.8550,0.05135347087
0.8600,0.05951334719
0.8650,0.0679947226
0.8700,0.07668426555
0.8750,0.08553099556
0.8800,0.0945232785
0.8850,0.1039030376
0.8900,0.1137204043
0.8950,0.1239352701
0.9000,0.134844116
0.9050,0.1464766869
0.9100,0.1590357909
0.9150,0.1728243698
0.9200,0.1880512036
0.9250,0.2049363544
0.9300,0.223565823
0.9350,0.24429011
0.9400,0.2670689435
0.9450,0.2923240321
0.9500,0.3201422702
0.9550,0.3507049855
0.9600,0.3839927859
0.9650,0.4201263768
0.9700,0.4591359912
0.9750,0.5010406514
0.9800,0.5458612493
0.9850,0.5935833479
0.9900,0.644254944
0.9950,0.6975811564
1.0000,0.7537459155
1.0050,0.8125599015
1.0100,0.8739613488
1.0150,0.937831083
1.0200,1.004030311
1.0250,1.072273886
1.0300,1.142755307
1.0350,1.215157301
1.0400,1.289403315
1.0450,1.365208578
1.0500,1.442401307
1.0550,1.520757102
1.0600,1.600287003
1.0650,1.680684513
1.0700,1.761869568
1.0750,1.843608532
1.0800,1.92549421
1.0850,2.007567846
1.0900,2.089508647
1.0950,2.171260968
1.1000,2.252505496
1.1050,2.333355864
1.1100,2.413598161
1.1150,2.493291119
1.1200,2.572342334
1.1250,2.65083107
1.1300,2.728739789
1.1350,2.806319282
1.1400,2.883635949
1.1450,2.960434315
1.1500,3.037082648
1.1550,3.113578765
1.1600,3.190271436
1.1650,3.267401889
1.1700,3.345277796
1.1750,3.424030824
1.1800,3.503792377
1.1850,3.584752604
1.1900,3.666901311
1.1950,3.75067361
1.2000,3.83601064
