type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Ulnar styloid process RT","s",0.0000,200,5108,"mm"

time,x,y,z
0.0000,138.4611286,57.64472295,993.0057908
0.0050,138.4289684,57.67644885,993.014836
0.0100,138.3968103,57.70817713,993.0238883
0.0150,138.3646541,57.73990779,993.0329474
0.0200,138.3220063,57.77131658,993.0436176
0.0250,138.2676008,57.80168257,993.0560032
0.0300,138.2002592,57.83026732,993.07019
0.0350,138.1189309,57.85634926,993.0862442
0.0400,138.022729,57.87925607,993.1042111
0.0450,137.9109561,57.89839053,993.1241156
0.0500,137.7831201,57.91325284,993.1459639
0.0550,137.6389463,57.92346141,993.1697462
0.0600,137.4783894,57.92876844,993.1954392
0.0650,137.3016392,57.92906772,993.2230079
0.0700,137.1091195,57.92439701,993.252407
0.0750,136.9014886,57.91493422,993.2835805
0.0800,136.679645,57.90098589,993.3164587
0.0850,136.444729,57.8829733,993.350956
0.0900,136.1981178,57.86141841,993.3869684
0.0950,135.941415,57.83692675,993.4243727
0.1000,135.6764401,57.81016702,993.4630238
0.1050,135.4052178,57.78184912,993.5027516
0.1100,135.1299667,57.75270269,993.5433573
0.1150,134.8530834,57.72345781,993.5846111
0.1200,134.5771211,57.69482756,993.6262503
0.1250,134.3047659,57.66749152,993.6679787
0.1300,134.0388047,57.64207885,993.7094664
0.1350,133.7820737,57.6191498,993.750353
0.1400,133.5373888,57.59917112,993.7902524
0.1450,133.3074718,57.58248803,993.8287581
0.1500,133.0948744,57.56930531,993.8654514
0.1550,132.7907618,57.53784467,993.9133965
0.1600,132.5063558,57.50755716,993.9586509
0.1650,132.2437766,57.47736845,994.0006849
0.1700,132.0047652,57.44795731,994.0391244
0.1750,131.78934,57.41852344,994.0737648
0.1800,131.5999693,57.38832102,994.1039212
0.1850,131.4353805,57.35698132,994.1296696
0.1900,131.2951983,57.32480583,994.1509473
0.1950,131.1810926,57.29029615,994.1671126
0.2000,131.0901811,57.25423329,994.1786425
0.2050,131.0218245,57.21590142,994.185419
0.2100,130.9747751,57.17557493,994.1875806
0.2150,130.9466179,57.13287989,994.1854039
0.2200,130.9350981,57.08732096,994.1791711
0.2250,130.938482,57.03927451,994.1691971
0.2300,130.9527229,56.98937588,994.1562778
0.2350,130.9774259,56.93672429,994.1402796
0.2400,131.0098741,56.88316379,994.1220359
0.2450,131.0476374,56.82759729,994.1017961
0.2500,131.0880321,56.76993571,994.080081
0.2550,131.1295008,56.7105208,994.0573417
0.2600,131.1699955,56.64934867,994.0339409
0.2650,131.2085768,56.58638662,994.0101137
0.2700,131.2433489,56.52155194,993.9863185
0.2750,131.2729803,56.45386274,993.9625867
0.2800,131.2976301,56.38485451,993.9392937
0.2850,131.3170513,56.31232765,993.9162155
0.2900,131.3313361,56.23868713,993.8938596
0.2950,131.3386947,56.1618181,993.8721454
0.3000,131.3398633,56.08138351,993.8510046
0.3050,131.3345233,55.99776558,993.8306064
0.3100,131.322149,55.91032229,993.8108712
0.3150,131.3043311,55.81916161,993.7917389
0.3200,131.2809955,55.72354163,993.7730495
0.3250,131.2526322,55.6233568,993.7547712
0.3300,131.2181568,55.51870788,993.7370657
0.3350,131.1801766,55.41038065,993.7196453
0.3400,131.1370514,55.29940772,993.703001
0.3450,131.089106,55.18522496,993.6869179
0.3500,131.0367091,55.06816573,993.6713971
0.3550,130.9803308,54.94921253,993.65658
0.3600,130.918406,54.8273529,993.6424594
0.3650,130.8532471,54.70402065,993.6288365
0.3700,130.7854777,54.58014365,993.6158737
0.3750,130.7158181,54.45602207,993.603436
0.3800,130.6434904,54.33295601,993.5918307
0.3850,130.5698943,54.21146917,993.5810432
0.3900,130.4948151,54.09138757,993.5710094
0.3950,130.4201913,53.97288031,993.5614116
0.4000,130.3465072,53.85510117,993.5519077
0.4050,130.2734934,53.74060002,993.5430827
