type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Forearm RT-Sensor Acceleration","s",0.0000,200,5068,"mG"

time,x,y,z
0.0000,-999.0234375,170.4101563,133.7890625
0.0050,-993.1640625,168.4570313,127.9296875
0.0100,-993.6523438,164.5507813,123.046875
0.0150,-992.6757813,162.5976563,128.4179688
0.0200,-1003.90625,158.203125,126.4648438
0.0250,-999.5117188,166.015625,129.3945313
0.0300,-1004.394531,164.5507813,139.6484375
0.0350,-1002.441406,170.4101563,121.5820313
0.0400,-1010.253906,167.4804688,149.4140625
0.0450,-1003.90625,181.1523438,145.5078125
0.0500,-1006.835938,177.734375,145.9960938
0.0550,-1005.371094,188.9648438,159.6679688
0.0600,-1011.71875,188.9648438,154.7851563
0.0650,-1003.90625,195.8007813,156.25
0.0700,-1002.441406,196.7773438,156.25
0.0750,-979.0039063,209.9609375,159.1796875
0.0800,-985.3515625,199.7070313,167.4804688
0.0850,-969.7265625,210.4492188,167.4804688
0.0900,-962.4023438,217.7734375,169.921875
0.0950,-966.3085938,214.3554688,165.0390625
0.1000,-961.4257813,227.5390625,168.9453125
0.1050,-955.078125,231.4453125,171.3867188
0.1100,-947.7539063,234.8632813,170.8984375
0.1150,-936.5234375,243.1640625,166.9921875
0.1200,-933.59375,237.3046875,166.5039063
0.1250,-924.3164063,234.8632813,165.0390625
0.1300,-913.0859375,242.1875,169.4335938
0.1350,-915.5273438,228.515625,162.5976563
0.1400,-911.6210938,221.6796875,166.9921875
0.1450,-904.296875,216.3085938,162.5976563
0.1500,-903.3203125,211.4257813,168.9453125
0.1550,-900.390625,200.6835938,162.5976563
0.1600,-905.7617188,194.3359375,163.5742188
0.1650,-914.5507813,186.0351563,156.7382813
0.1700,-916.015625,183.1054688,159.6679688
0.1750,-922.8515625,176.2695313,166.5039063
0.1800,-927.2460938,173.3398438,157.2265625
0.1850,-936.5234375,164.5507813,159.6679688
0.1900,-947.265625,159.1796875,159.1796875
0.1950,-946.2890625,158.6914063,152.34375
0.2000,-942.8710938,157.7148438,141.1132813
0.2050,-943.8476563,150.390625,158.203125
0.2100,-949.21875,143.0664063,125.4882813
0.2150,-947.265625,136.2304688,128.90625
0.2200,-959.9609375,122.0703125,119.6289063
0.2250,-971.1914063,113.28125,99.609375
0.2300,-967.7734375,111.328125,103.0273438
0.2350,-976.0742188,112.3046875,76.66015625
0.2400,-978.0273438,110.3515625,87.40234375
0.2450,-974.1210938,115.234375,86.9140625
0.2500,-976.0742188,121.5820313,90.33203125
0.2550,-968.75,125.9765625,83.49609375
0.2600,-975.0976563,126.953125,86.9140625
0.2650,-968.2617188,132.8125,82.51953125
0.2700,-963.3789063,132.3242188,98.14453125
0.2750,-970.2148438,130.3710938,106.4453125
0.2800,-969.7265625,134.2773438,100.5859375
0.2850,-961.9140625,144.0429688,115.234375
0.2900,-973.6328125,135.2539063,116.2109375
0.2950,-967.2851563,138.1835938,123.046875
0.3000,-967.7734375,140.625,119.140625
0.3050,-968.2617188,147.4609375,136.71875
0.3100,-965.8203125,149.4140625,128.4179688
0.3150,-958.984375,152.8320313,125
0.3200,-960.4492188,159.6679688,140.625
0.3250,-957.03125,164.5507813,132.3242188
0.3300,-954.1015625,180.1757813,126.4648438
0.3350,-959.4726563,188.9648438,128.4179688
0.3400,-962.4023438,205.5664063,144.53125
0.3450,-969.7265625,218.2617188,153.3203125
0.3500,-975.0976563,225.0976563,167.4804688
0.3550,-968.75,235.3515625,167.96875
0.3600,-966.3085938,251.4648438,180.6640625
0.3650,-970.703125,245.1171875,191.40625
0.3700,-967.2851563,251.953125,186.0351563
0.3750,-962.890625,252.9296875,200.6835938
0.3800,-971.1914063,256.8359375,188.9648438
0.3850,-973.6328125,254.3945313,187.0117188
0.3900,-971.6796875,256.3476563,186.5234375
0.3950,-974.1210938,247.5585938,184.0820313
0.4000,-980.9570313,243.6523438,168.9453125
0.4050,-985.8398438,235.8398438,170.8984375
0.4100,-983.8867188,236.8164063,173.3398438
0.4150,-992.1875,220.703125,164.5507813
0.4200,-991.2109375,217.2851563,166.015625
0.4250,-981.4453125,216.796875,146.9726563
0.4300,-983.8867188,203.125,151.8554688
0.4350,-976.5625,202.6367188,146.484375
0.4400,-978.0273438,192.8710938,130.3710938
0.4450,-976.5625,175.2929688,133.7890625
0.4500,-973.1445313,164.0625,126.4648438
0.4550,-973.6328125,152.34375,127.9296875
0.4600,-967.7734375,155.2734375,111.328125
0.4650,-970.703125,150.390625,113.7695313
0.4700,-969.2382813,148.4375,122.0703125
0.4750,-974.609375,144.53125,119.140625
0.4800,-963.3789063,156.7382813,117.6757813
0.4850,-968.75,150.8789063,102.5390625
0.4900,-966.3085938,160.15625,121.5820313
0.4950,-971.1914063,162.5976563,126.953125
0.5000,-970.703125,169.4335938,119.140625
0.5050,-968.2617188,171.3867188,124.5117188
0.5100,-968.2617188,171.875,125.9765625
0.5150,-963.8671875,171.875,110.8398438
0.5200,-962.4023438,175.78125,116.6992188
0.5250,-961.4257813,181.1523438,118.6523438
0.5300,-966.796875,187.9882813,125.4882813
0.5350,-965.3320313,193.359375,118.1640625
0.5400,-958.984375,203.125,138.671875
0.5450,-965.8203125,190.4296875,132.8125
0.5500,-960.4492188,195.3125,143.0664063
0.5550,-959.9609375,195.8007813,127.9296875
0.5600,-962.890625,203.125,139.6484375
0.5650,-976.0742188,197.7539063,137.2070313
0.5700,-972.1679688,208.4960938,142.578125
0.5750,-975.0976563,208.4960938,145.0195313
0.5800,-969.7265625,218.2617188,140.625
0.5850,-978.0273438,212.890625,156.7382813
0.5900,-972.1679688,216.3085938,145.5078125
0.5950,-977.0507813,213.8671875,154.7851563
0.6000,-976.0742188,215.8203125,145.0195313
0.6050,-973.1445313,219.7265625,142.0898438
0.6100,-974.609375,216.796875,150.8789063
0.6150,-967.7734375,214.84375,136.71875
0.6200,-970.2148438,214.3554688,131.8359375
0.6250,-968.75,210.9375,132.8125
0.6300,-975.0976563,209.4726563,127.4414063
0.6350,-972.65625,205.5664063,122.0703125
0.6400,-974.609375,197.265625,123.5351563
0.6450,-969.7265625,180.6640625,131.3476563
0.6500,-962.890625,169.4335938,127.4414063
0.6550,-961.4257813,151.3671875,141.6015625
0.6600,-970.2148438,134.765625,140.1367188
0.6650,-966.796875,124.0234375,133.7890625
0.6700,-967.7734375,118.6523438,135.2539063
0.6750,-973.1445313,116.2109375,134.765625
0.6800,-965.3320313,127.4414063,117.1875
0.6850,-963.8671875,136.2304688,120.1171875
0.6900,-955.5664063,169.921875,111.8164063
0.6950,-963.3789063,171.3867188,110.3515625
0.7000,-961.9140625,189.9414063,106.9335938
0.7050,-960.4492188,203.125,105.9570313
0.7100,-960.4492188,217.7734375,95.703125
