type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Pitch","s",0.0000,200,5068,"deg"

time,value
0.0000,9.412919718
0.0050,9.418658605
0.0100,9.424396252
0.0150,9.43013266
0.0200,9.436181982
0.0250,9.442484504
0.0300,9.448976939
0.0350,9.455595952
0.0400,9.462281075
0.0450,9.46897705
0.0500,9.475636281
0.0550,9.48222055
0.0600,9.488700793
0.0650,9.495056187
0.0700,9.501274197
0.0750,9.507350844
0.0800,9.513290416
0.0850,9.519105615
0.0900,9.524817755
0.0950,9.530455416
0.1000,9.536052138
0.1050,9.541644673
0.1100,9.547271609
0.1150,9.552971892
0.1200,9.558783511
0.1250,9.564742474
0.1300,9.57088174
0.1350,9.577229825
0.1400,9.583809051
0.1450,9.59063393
0.1500,9.597710648
0.1550,9.607816116
0.1600,9.617801052
0.1650,9.627532556
0.1700,9.636901624
0.1750,9.646005551
0.1800,9.654610494
0.1850,9.662687915
0.1900,9.670309966
0.1950,9.677122962
0.2000,9.683110731
0.2050,9.688222419
0.2100,9.692435993
0.2150,9.69556297
0.2200,9.697426679
0.2250,9.698095414
0.2300,9.697462178
0.2350,9.695378084
0.2400,9.69203014
0.2450,9.687552359
0.2500,9.681741474
0.2550,9.674611239
0.2600,9.666411329
0.2650,9.657023593
0.2700,9.646506139
0.2750,9.635037615
0.2800,9.622551101
0.2850,9.609251178
0.2900,9.595280993
0.2950,9.580725357
0.3000,9.565550977
0.3050,9.549912897
0.3100,9.534082494
0.3150,9.518091081
0.3200,9.501917572
0.3250,9.485722103
0.3300,9.469416049
0.3350,9.453337484
0.3400,9.437362299
0.3450,9.421760856
0.3500,9.406736236
0.3550,9.392155208
0.3600,9.378037644
0.3650,9.364603192
0.3700,9.351861
0.3750,9.339907091
0.3800,9.328693925
0.3850,9.318316455
0.3900,9.308752155
0.3950,9.29982817
0.4000,9.291622154
0.4050,9.284018193
0.4100,9.276895698
0.4150,9.270223939
0.4200,9.264051171
0.4250,9.258131102
0.4300,9.252288225
0.4350,9.246651583
0.4400,9.240856157
0.4450,9.234817815
0.4500,9.228593806
0.4550,9.222109119
0.4600,9.214986276
0.4650,9.207276223
0.4700,9.199081815
0.4750,9.190162565
0.4800,9.180636223
0.4850,9.170600453
0.4900,9.159968324
0.4950,9.148985731
0.5000,9.137492574
0.5050,9.125691303
0.5100,9.113450129
0.5150,9.100705705
0.5200,9.08755686
0.5250,9.073992566
0.5300,9.060064093
0.5350,9.045841908
0.5400,9.031425108
0.5450,9.016695655
0.5500,9.001705934
0.5550,8.986741719
0.5600,8.971566112
0.5650,8.956318258
0.5700,8.941073101
0.5750,8.925792376
0.5800,8.910721576
0.5850,8.895665396
0.5900,8.88069711
0.5950,8.865888121
0.6000,8.85130599
0.6050,8.836897532
0.6100,8.822618807
0.6150,8.808418291
0.6200,8.794251241
0.6250,8.780123061
0.6300,8.765903725
0.6350,8.751639372
0.6400,8.737254789
0.6450,8.722636533
0.6500,8.707536775
0.6550,8.692266931
0.6600,8.676566855
0.6650,8.660443432
0.6700,8.64375143
0.6750,8.626511721
0.6800,8.608633742
0.6850,8.590000806
0.6900,8.570661677
0.6950,8.550521039
0.7000,8.529640278
0.7050,8.508152211
0.7100,8.485886975
0.7150,8.463008623
0.7200,8.439366881
0.7250,8.415080383
0.7300,8.390340498
0.7350,8.36501023
0.7400,8.339281437
0.7450,8.313194863
0.7500,8.286730197
0.7550,8.260009196
0.7600,8.233221998
0.7650,8.206448129
0.7700,8.179716965
0.7750,8.153263993
0.7800,8.127085592
0.7850,8.101205612
0.7900,8.075698258
0.7950,8.050563244
0.8000,8.025886928
0.8050,8.001807916
0.8100,7.978443514
0.8150,7.955943032
0.8200,7.934277699
0.8250,7.913608308
0.8300,7.893856272
0.8350,7.875019458
0.8400,7.857000669
0.8450,7.839946524
0.8500,7.823721739
0.8550,7.808409944
0.8600,7.793998145
0.8650,7.780531035
0.8700,7.768034402
0.8750,7.756461883
0.8800,7.745946883
0.8850,7.736516997
0.8900,7.728183661
