type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Upper arm RT-Sensor Acceleration","s",0.0000,200,5068,"mG"

time,x,y,z
0.0000,971.1914063,-121.09375,-286.6210938
0.0050,979.9804688,-123.5351563,-285.15625
0.0100,988.28125,-117.1875,-277.34375
0.0150,981.4453125,-130.3710938,-295.8984375
0.0200,992.6757813,-121.5820313,-291.9921875
0.0250,991.2109375,-125,-283.203125
0.0300,985.8398438,-134.765625,-288.0859375
0.0350,993.1640625,-137.2070313,-315.4296875
0.0400,991.6992188,-138.1835938,-296.875
0.0450,993.1640625,-144.0429688,-313.4765625
0.0500,988.28125,-147.4609375,-310.0585938
0.0550,991.6992188,-142.578125,-319.3359375
0.0600,987.3046875,-146.9726563,-326.6601563
0.0650,986.328125,-151.8554688,-331.5429688
0.0700,975.5859375,-153.8085938,-323.7304688
0.0750,968.75,-157.7148438,-342.2851563
0.0800,954.1015625,-165.5273438,-341.3085938
0.0850,942.3828125,-159.6679688,-348.1445313
0.0900,930.6640625,-167.96875,-341.796875
0.0950,919.921875,-170.8984375,-353.515625
0.1000,914.0625,-172.8515625,-341.796875
0.1050,911.1328125,-171.3867188,-348.1445313
0.1100,905.7617188,-163.5742188,-335.4492188
0.1150,895.5078125,-166.015625,-346.1914063
0.1200,889.1601563,-159.1796875,-324.7070313
0.1250,879.3945313,-160.15625,-319.8242188
0.1300,870.6054688,-154.296875,-319.3359375
0.1350,864.7460938,-148.9257813,-309.5703125
0.1400,863.7695313,-136.71875,-299.3164063
0.1450,863.28125,-131.8359375,-282.7148438
0.1500,860.8398438,-133.3007813,-286.6210938
0.1550,872.0703125,-130.3710938,-275.390625
0.1600,870.6054688,-133.3007813,-245.6054688
0.1650,885.7421875,-128.90625,-244.6289063
0.1700,899.9023438,-127.9296875,-232.9101563
0.1750,910.6445313,-135.7421875,-239.2578125
0.1800,920.4101563,-134.765625,-214.84375
0.1850,938.4765625,-136.71875,-211.9140625
0.1900,942.3828125,-135.2539063,-212.4023438
0.1950,952.1484375,-138.671875,-197.7539063
0.2000,953.6132813,-138.671875,-207.5195313
0.2050,960.4492188,-122.5585938,-202.1484375
0.2100,949.7070313,-128.90625,-198.7304688
0.2150,963.8671875,-112.7929688,-201.171875
0.2200,950.6835938,-109.375,-203.125
0.2250,959.4726563,-108.3984375,-199.21875
0.2300,956.0546875,-101.5625,-209.4726563
0.2350,967.7734375,-94.23828125,-207.03125
0.2400,968.2617188,-82.51953125,-233.8867188
0.2450,964.84375,-81.54296875,-224.1210938
0.2500,963.8671875,-79.1015625,-223.1445313
0.2550,966.796875,-80.078125,-234.375
0.2600,953.6132813,-88.8671875,-238.28125
0.2650,951.171875,-83.984375,-229.4921875
0.2700,950.6835938,-86.42578125,-218.75
0.2750,947.265625,-96.6796875,-255.859375
0.2800,951.6601563,-90.33203125,-249.0234375
0.2850,950.6835938,-84.47265625,-249.5117188
0.2900,947.265625,-83.49609375,-256.3476563
0.2950,945.8007813,-76.66015625,-264.6484375
0.3000,940.9179688,-72.75390625,-259.765625
0.3050,940.9179688,-79.1015625,-268.0664063
0.3100,947.265625,-64.94140625,-289.5507813
0.3150,945.8007813,-74.21875,-292.4804688
0.3200,933.1054688,-83.49609375,-300.78125
0.3250,937.9882813,-87.890625,-310.546875
0.3300,927.2460938,-107.9101563,-312.5
0.3350,937.0117188,-113.28125,-323.7304688
0.3400,929.1992188,-138.671875,-334.4726563
0.3450,929.6875,-151.3671875,-333.984375
0.3500,925.78125,-170.8984375,-348.6328125
0.3550,934.0820313,-181.1523438,-372.5585938
0.3600,925.78125,-199.21875,-354.0039063
0.3650,926.2695313,-206.0546875,-366.2109375
0.3700,931.1523438,-207.03125,-354.0039063
0.3750,930.6640625,-213.3789063,-359.8632813
0.3800,927.734375,-211.9140625,-346.1914063
0.3850,941.40625,-196.2890625,-354.4921875
0.3900,940.4296875,-193.359375,-345.2148438
0.3950,943.359375,-189.9414063,-347.1679688
0.4000,955.078125,-173.828125,-328.6132813
0.4050,952.6367188,-173.3398438,-335.9375
0.4100,947.7539063,-165.5273438,-333.4960938
0.4150,959.4726563,-159.1796875,-327.6367188
0.4200,955.5664063,-154.7851563,-316.40625
0.4250,959.9609375,-150.8789063,-321.7773438
0.4300,958.984375,-153.3203125,-295.4101563
0.4350,965.3320313,-147.9492188,-306.640625
0.4400,962.890625,-146.9726563,-280.7617188
0.4450,971.1914063,-143.0664063,-280.2734375
0.4500,963.8671875,-132.8125,-277.8320313
0.4550,966.3085938,-125.9765625,-269.53125
0.4600,964.3554688,-119.6289063,-270.5078125
0.4650,960.4492188,-108.3984375,-260.7421875
0.4700,959.9609375,-97.65625,-281.25
0.4750,959.4726563,-90.8203125,-266.6015625
0.4800,952.1484375,-92.28515625,-283.203125
0.4850,957.5195313,-93.26171875,-279.296875
0.4900,947.7539063,-100.5859375,-287.5976563
0.4950,947.7539063,-106.4453125,-269.53125
0.5000,946.2890625,-103.515625,-286.6210938
0.5050,946.7773438,-108.8867188,-284.1796875
0.5100,944.3359375,-104.0039063,-291.015625
0.5150,935.0585938,-108.8867188,-293.4570313
0.5200,935.0585938,-103.0273438,-290.0390625
0.5250,934.5703125,-111.328125,-299.8046875
0.5300,938.9648438,-104.9804688,-295.8984375
0.5350,942.3828125,-109.8632813,-300.78125
0.5400,941.40625,-109.8632813,-302.2460938
0.5450,942.8710938,-117.1875,-311.5234375
0.5500,939.9414063,-120.6054688,-319.8242188
0.5550,937.0117188,-129.3945313,-312.9882813
0.5600,931.1523438,-137.6953125,-315.9179688
0.5650,933.59375,-134.765625,-332.5195313
0.5700,937.5,-141.6015625,-313.9648438
0.5750,943.359375,-145.0195313,-319.3359375
0.5800,947.265625,-142.0898438,-324.21875
0.5850,942.8710938,-154.296875,-322.7539063
0.5900,945.8007813,-140.625,-316.40625
0.5950,944.3359375,-140.1367188,-324.21875
0.6000,942.3828125,-138.671875,-321.2890625
0.6050,943.8476563,-137.6953125,-320.3125
0.6100,940.4296875,-136.71875,-297.3632813
0.6150,942.8710938,-126.953125,-315.9179688
0.6200,949.21875,-123.046875,-288.0859375
0.6250,952.1484375,-120.6054688,-277.8320313
0.6300,965.3320313,-108.8867188,-264.6484375
0.6350,966.796875,-114.2578125,-266.6015625
0.6400,980.9570313,-94.7265625,-243.1640625
0.6450,983.3984375,-105.9570313,-230.46875
0.6500,989.2578125,-108.3984375,-237.3046875
0.6550,999.0234375,-103.515625,-236.328125
0.6600,994.6289063,-106.9335938,-236.8164063
0.6650,980.9570313,-108.8867188,-239.7460938
0.6700,974.1210938,-102.0507813,-246.5820313
0.6750,962.4023438,-91.30859375,-260.2539063
0.6800,947.7539063,-75.1953125,-262.2070313
0.6850,947.265625,-71.77734375,-272.4609375
0.6900,941.40625,-75.1953125,-270.0195313
0.6950,941.40625,-71.2890625,-256.8359375
0.7000,942.8710938,-73.2421875,-270.0195313
0.7050,945.3125,-89.35546875,-254.3945313
0.7100,949.21875,-98.14453125,-266.1132813
0.7150,948.7304688,-112.7929688,-269.0429688
0.7200,945.8007813,-119.6289063,-286.1328125
0.7250,952.6367188,-117.6757813,-274.9023438
0.7300,950.6835938,-126.4648438,-305.1757813
0.7350,960.9375,-113.7695313,-311.0351563
0.7400,955.5664063,-117.1875,-310.0585938
0.7450,960.4492188,-114.7460938,-314.9414063
0.7500,952.1484375,-113.28125,-315.4296875
0.7550,955.078125,-118.1640625,-328.6132813
0.7600,957.03125,-111.8164063,-323.7304688
0.7650,950.1953125,-118.6523438,-337.4023438
0.7700,948.2421875,-111.328125,-328.125
0.7750,942.8710938,-117.1875,-329.1015625
0.7800,938.9648438,-122.5585938,-318.8476563
0.7850,943.359375,-119.140625,-325.1953125
0.7900,943.359375,-118.1640625,-319.8242188
0.7950,952.6367188,-121.5820313,-316.40625
0.8000,946.7773438,-125.4882813,-319.3359375
0.8050,956.5429688,-122.5585938,-298.828125
0.8100,959.9609375,-117.6757813,-311.5234375
0.8150,965.8203125,-121.5820313,-293.4570313
0.8200,966.796875,-117.1875,-304.1992188
0.8250,964.3554688,-119.6289063,-318.8476563
0.8300,963.3789063,-121.09375,-301.2695313
0.8350,967.7734375,-116.2109375,-309.0820313
0.8400,964.84375,-117.1875,-316.40625
0.8450,963.3789063,-122.0703125,-305.6640625
0.8500,964.84375,-125,-290.5273438
0.8550,973.6328125,-120.6054688,-286.6210938
