type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Body center of mass","s",0.0000,200,5068,"mm"

time,x,y,z
0.0000,0.1572637576,18.0413789,1075.466704
0.0050,0.15852573,18.04214169,1075.466575
0.0100,0.1597875761,18.04290468,1075.466446
0.0150,0.161049296,18.04366788,1075.466318
0.0200,0.1626620227,18.04441952,1075.466123
0.0250,0.164666462,18.04514204,1075.465851
0.0300,0.1671019272,18.04581792,1075.465493
0.0350,0.170005067,18.04643079,1075.46504
0.0400,0.1734083893,18.04696624,1075.464484
0.0450,0.1773388657,18.04741243,1075.463821
0.0500,0.1818169591,18.04776058,1075.463044
0.0550,0.1868560207,18.04800535,1075.462153
0.0600,0.1924617285,18.04814463,1075.461148
0.0650,0.1986314604,18.04817917,1075.460029
0.0700,0.2053537891,18.04811249,1075.458801
0.0750,0.2126081711,18.04795094,1075.45747
0.0800,0.2203647196,18.04770365,1075.456044
0.0850,0.2285841196,18.04738247,1075.454534
0.0900,0.2372179452,18.04700192,1075.452951
0.0950,0.2462094004,18.0465789,1075.45131
0.1000,0.2554942345,18.04613213,1075.449625
0.1050,0.26500178,18.04568183,1075.447913
0.1100,0.2746560995,18.04524943,1075.446192
0.1150,0.2843770955,18.04485705,1075.444479
0.1200,0.2940816847,18.04452691,1075.442794
0.1250,0.3036851993,18.04428065,1075.441153
0.1300,0.3131029445,18.04413867,1075.439574
0.1350,0.32225183,18.04411943,1075.438074
0.1400,0.3310520934,18.04423872,1075.436669
0.1450,0.339429095,18.04450891,1075.435371
0.1500,0.3473150417,18.04493851,1075.434192
0.1550,0.3572251098,18.04552359,1075.432716
0.1600,0.3664118392,18.04621254,1075.431383
0.1650,0.3748031986,18.0470106,1075.430211
0.1700,0.3823824728,18.04787554,1075.429189
0.1750,0.3891248995,18.04882743,1075.428323
0.1800,0.3950238017,18.04981437,1075.427603
0.1850,0.4001013726,18.05082554,1075.427019
0.1900,0.404337965,18.05187647,1075.426577
0.1950,0.4077111092,18.05289446,1075.426268
0.2000,0.4102381443,18.05384243,1075.426079
0.2050,0.4119145486,18.05470823,1075.426008
0.2100,0.4127865705,18.0554913,1075.426049
0.2150,0.4128689393,18.05612355,1075.426185
0.2200,0.4121647244,18.05655483,1075.426406
0.2250,0.4107278731,18.05678835,1075.426706
0.2300,0.4085798587,18.05680592,1075.427078
0.2350,0.4057593949,18.05656913,1075.42751
0.2400,0.4022688659,18.05611111,1075.428007
0.2450,0.3981497826,18.05545897,1075.428569
0.2500,0.3934471729,18.05457296,1075.42918
0.2550,0.388134921,18.05345523,1075.42985
0.2600,0.3823637525,18.05217741,1075.430565
0.2650,0.3761460691,18.05072222,1075.431323
0.2700,0.3695227648,18.04911072,1075.432122
0.2750,0.3625314159,18.04738157,1075.432965
0.2800,0.3552443578,18.04552725,1075.433838
0.2850,0.3477147776,18.04360091,1075.434745
0.2900,0.3399639639,18.04162961,1075.435689
0.2950,0.332114376,18.03963442,1075.436651
0.3000,0.3242416602,18.03761069,1075.437619
0.3050,0.3163324455,18.03557152,1075.438597
0.3100,0.3084994015,18.0335807,1075.439577
0.3150,0.3007993885,18.03162691,1075.440546
0.3200,0.293311702,18.02969687,1075.44149
0.3250,0.2860766817,18.02781207,1075.442405
0.3300,0.2791019335,18.02593626,1075.443283
0.3350,0.2724308953,18.02412481,1075.444127
0.3400,0.2661266769,18.02231953,1075.444913
0.3450,0.2601830464,18.02057107,1075.445649
0.3500,0.254659901,18.01890667,1075.44633
0.3550,0.2494993491,18.01727341,1075.446955
0.3600,0.2447108616,18.01566656,1075.447523
0.3650,0.240277671,18.01412377,1075.44804
0.3700,0.2361986874,18.01263313,1075.448506
0.3750,0.2324387305,18.0111962,1075.448922
0.3800,0.2289822251,18.00980393,1075.449291
0.3850,0.2258143312,18.00848861,1075.449619
0.3900,0.222862182,18.00724524,1075.44992
0.3950,0.2201438995,18.00602559,1075.450177
0.4000,0.2175787045,18.00486788,1075.450414
0.4050,0.2151800166,18.003741,1075.450622
0.4100,0.2129311198,18.00262881,1075.4508
0.4150,0.2108012398,18.00152207,1075.450951
