type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Medial humeral epicondyle RT","s",0.0000,200,5068,"mm"

time,x,y,z
0.0000,135.4081706,-4.024349748,1244.788272
0.0050,135.4373338,-4.007366133,1244.783835
0.0100,135.4664946,-3.990377371,1244.779404
0.0150,135.4956532,-3.973383461,1244.774979
0.0200,135.5326023,-3.957819507,1244.768268
0.0250,135.5782056,-3.944294707,1244.758933
0.0300,135.6332808,-3.933407679,1244.746644
0.0350,135.69857,-3.925715344,1244.731095
0.0400,135.7747056,-3.921707897,1244.712016
0.0450,135.862178,-3.921789527,1244.689184
0.0500,135.9613144,-3.926260089,1244.662433
0.0550,136.0722679,-3.935303156,1244.631658
0.0600,136.1950085,-3.948988339,1244.596819
0.0650,136.3293129,-3.967279639,1244.557942
0.0700,136.474758,-3.990037458,1244.515123
0.0750,136.6307184,-4.01701815,1244.468525
0.0800,136.7963662,-4.047877846,1244.418385
0.0850,136.9706736,-4.082175765,1244.365007
0.0900,137.152426,-4.119377105,1244.308764
0.0950,137.3402453,-4.158863944,1244.250088
0.1000,137.5326162,-4.199951659,1244.189463
0.1050,137.7279157,-4.24190257,1244.127419
0.1100,137.9244414,-4.283938356,1244.06452
0.1150,138.1204399,-4.325255398,1244.001356
0.1200,138.3141346,-4.365042445,1243.938535
0.1250,138.5037582,-4.402499699,1243.87667
0.1300,138.6875868,-4.436859232,1243.816366
0.1350,138.8639751,-4.467405983,1243.758213
0.1400,139.0313926,-4.493499311,1243.702765
0.1450,139.1884602,-4.514593924,1243.650535
0.1500,139.3339861,-4.530255209,1243.601978
0.1550,139.5182269,-4.5507323,1243.540666
0.1600,139.6871893,-4.566203361,1243.484353
0.1650,139.8395048,-4.576959718,1243.433368
0.1700,139.975335,-4.583729419,1243.387697
0.1750,140.0940722,-4.585685834,1243.347607
0.1800,140.196241,-4.584294875,1243.312907
0.1850,140.2825204,-4.579452191,1243.283514
0.1900,140.3531965,-4.570911843,1243.259607
0.1950,140.407671,-4.560836966,1243.240907
0.2000,140.4463436,-4.549651505,1243.22725
0.2050,140.4693764,-4.53776892,1243.218595
0.2100,140.4776856,-4.525627537,1243.214605
0.2150,140.4718228,-4.514715249,1243.214953
0.2200,140.4518238,-4.506438466,1243.219367
0.2250,140.4184344,-4.500809806,1243.227529
0.2300,140.3723438,-4.498425677,1243.239239
0.2350,140.3142637,-4.500459042,1243.25408
0.2400,140.2441742,-4.506101508,1243.272173
0.2450,140.1627741,-4.51467958,1243.29341
0.2500,140.0709849,-4.527263297,1243.317374
0.2550,139.967772,-4.543900297,1243.344172
0.2600,139.8565931,-4.562989392,1243.373306
0.2650,139.7373736,-4.585073699,1243.404604
0.2700,139.6108457,-4.609880825,1243.437891
0.2750,139.4773979,-4.636299721,1243.473139
0.2800,139.3386128,-4.664804787,1243.509885
0.2850,139.1955176,-4.694408386,1243.548001
0.2900,139.0481189,-4.724656396,1243.587412
0.2950,138.8990463,-4.754928825,1243.627575
0.3000,138.7500837,-4.7856333,1243.668017
0.3050,138.6007483,-4.816648401,1243.70878
