type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Radial styloid process RT","s",0.0000,200,5068,"mm"

time,x,y,z
0.0000,150.4918319,82.66364378,994.7311078
0.0050,150.5300971,82.68155154,994.726952
0.0100,150.568359,82.69946473,994.7228023
0.0150,150.6066177,82.71738333,994.7186587
0.0200,150.6559519,82.7355562,994.7129815
0.0250,150.7177011,82.75367294,994.7055703
0.0300,150.7931816,82.77142603,994.696235
0.0350,150.8836486,82.78853719,994.6848059
0.0400,150.9902514,82.80477817,994.6711454
0.0450,151.1139906,82.8199814,994.6551545
0.0500,151.2556866,82.83404778,994.6367778
0.0550,151.4159575,82.84695132,994.6160055
0.0600,151.5951962,82.85873031,994.5928729
0.0650,151.7935453,82.86947223,994.5674593
0.0700,152.0108743,82.87930934,994.5398878
0.0750,152.2467638,82.88842126,994.5103269
0.0800,152.5004921,82.89703437,994.4789909
0.0850,152.7710261,82.90542093,994.4461389
0.0900,153.0570229,82.91389901,994.4120721
0.0950,153.3568448,82.92282558,994.3771279
0.1000,153.6685789,82.93258615,994.3416732
0.1050,153.9900633,82.94359087,994.3060992
0.1100,154.3189177,82.95627211,994.2708154
0.1150,154.6525743,82.97107379,994.2362424
0.1200,154.9883122,82.98843367,994.2028021
0.1250,155.3232998,83.00876406,994.1709064
0.1300,155.654644,83.03243366,994.1409465
0.1350,155.9794437,83.05974854,994.1132818
0.1400,156.2948475,83.09093067,994.0882285
0.1450,156.5981144,83.12609839,994.0660485
0.1500,156.8866716,83.16525577,994.0469408
0.1550,157.2466037,83.21653276,994.0234241
0.1600,157.5825835,83.26905665,994.0031253
0.1650,157.892001,83.32378482,993.9867372
0.1700,158.1736127,83.37888905,993.9737158
0.1750,158.4267351,83.43454598,993.9640564
0.1800,158.6502354,83.48939774,993.9574715
0.1850,158.8445838,83.54268621,993.95353
0.1900,159.0081572,83.59488359,993.9523181
0.1950,159.140364,83.64444663,993.9537873
0.2000,159.2417545,83.68940802,993.9571896
0.2050,159.3118047,83.72954891,993.9624933
0.2100,159.3521733,83.76526219,993.9697018
0.2150,159.3629917,83.7941869,993.9781344
0.2200,159.3443847,83.81500031,993.9875559
0.2250,159.298747,83.82765714,993.9977394
0.2300,159.2264538,83.83189046,994.0085939
0.2350,159.1289636,83.82674818,994.019842
